id,response,choice
2,1,64
3,1,70
4,1,27
5,1,2
6,1,49
7,1,44
8,1,34
9,1,39
10,1,74
11,1,72
12,1,30
13,1,23
14,1,60
15,1,57
16,1,54
18,2,66
19,2,70
20,2,25
21,2,1
22,2,50
23,2,44
24,2,36
25,2,39
26,2,74
27,2,72
28,2,31
29,2,21
30,2,60
31,2,55
32,2,54
34,3,66
35,3,69
36,3,26
37,3,1
38,3,50
39,3,44
40,3,34
41,3,39
42,3,73
43,3,71
44,3,30
45,3,23
46,3,60
47,3,57
48,3,54
50,4,67
51,4,70
52,4,27
53,4,1
54,4,49
55,4,45
56,4,36
57,4,40
58,4,74
59,4,72
60,4,30
61,4,23
62,4,62
63,4,55
64,4,52
65,5,70
67,5,2
68,5,23
69,5,74
70,5,30
71,5,27
72,5,34
73,5,61
74,5,65
75,5,53
76,5,56
77,5,44
78,5,50
79,5,39
80,5,72
81,6,69
82,6,79
83,6,1
84,6,23
85,6,73
86,6,32
87,6,27
88,6,36
89,6,63
90,6,66
91,6,54
92,6,58
93,6,44
94,6,49
95,6,39
96,6,71
97,7,69
98,7,77
99,7,2
100,7,23
101,7,73
102,7,31
103,7,27
104,7,36
105,7,63
106,7,67
107,7,53
108,7,58
109,7,44
110,7,49
111,7,39
112,7,71
113,8,70
114,8,78
115,8,2
116,8,23
117,8,74
118,8,30
119,8,27
120,8,34
121,8,63
122,8,67
123,8,53
124,8,58
125,8,44
126,8,50
127,8,39
128,8,72
129,9,70
130,9,79
131,9,1
132,9,22
133,9,74
134,9,32
135,9,25
136,9,36
137,9,62
138,9,67
139,9,53
140,9,56
141,9,46
142,9,50
143,9,41
144,9,72
146,10,70
147,10,79
148,10,2
149,10,22
150,10,74
151,10,33
152,10,25
153,10,37
154,10,63
155,10,67
156,10,53
157,10,58
158,10,47
159,10,50
160,10,42
161,10,72
162,11,70
163,11,79
164,11,2
165,11,23
166,11,74
167,11,31
168,11,25
169,11,36
170,11,63
171,11,67
172,11,53
173,11,57
174,11,47
175,11,50
176,11,42
177,12,70
179,12,1
180,12,24
181,12,74
182,12,32
183,12,27
184,12,36
185,12,63
186,12,67
187,12,54
188,12,58
189,12,44
190,12,50
191,12,41
192,12,72
194,13,70
196,13,1
197,13,23
198,13,74
199,13,31
200,13,26
201,13,36
202,13,63
203,13,67
204,13,53
205,13,58
206,13,46
207,13,50
208,13,43
209,13,72
210,14,70
211,14,79
212,14,1
213,14,24
214,14,74
215,14,32
216,14,28
217,14,37
218,14,60
219,14,67
220,14,53
221,14,58
222,14,47
223,14,50
224,14,41
225,14,72
226,15,70
228,15,1
229,15,23
230,15,74
231,15,30
232,15,27
233,15,36
234,15,60
235,15,67
236,15,53
237,15,58
238,15,46
239,15,50
240,15,41
241,15,72
242,16,69
243,16,79
244,16,1
245,16,23
246,16,73
247,16,32
248,16,27
249,16,36
250,16,62
251,16,67
252,16,53
253,16,57
254,16,47
255,16,50
256,16,42
257,16,71
258,15,79
259,17,70
262,17,2
263,17,23
264,17,74
265,17,33
266,17,27
267,17,37
268,17,63
269,17,67
270,17,54
271,17,58
272,17,44
273,17,49
274,17,39
275,17,72
276,18,70
277,18,79
278,18,2
279,18,24
280,18,74
281,18,33
282,18,28
283,18,37
284,18,63
285,18,66
286,18,54
287,18,58
288,18,44
289,18,49
290,18,39
291,18,72
292,19,70
294,19,1
295,19,23
296,19,74
297,19,33
298,19,28
299,19,38
300,19,62
301,19,67
302,19,53
303,19,57
304,19,44
305,19,50
306,19,39
307,19,72
308,20,70
309,20,79
310,20,1
311,20,23
312,20,74
313,20,31
314,20,27
315,20,37
316,20,63
317,20,66
318,20,53
319,20,57
320,20,44
321,20,50
322,20,39
323,20,72
324,19,77
325,21,69
327,21,2
328,21,24
329,21,73
330,21,33
331,21,27
332,21,36
333,21,62
334,21,68
335,21,53
336,21,55
337,21,44
338,21,49
339,21,39
340,21,71
342,22,50
343,22,44
344,22,58
345,22,54
346,22,67
347,22,32
348,22,72
349,22,70
350,22,74
351,22,36
352,22,27
353,22,1
354,22,39
355,22,23
356,22,63
357,22,79
358,23,64
359,23,57
360,23,81
361,23,39
362,23,38
363,23,73
364,23,23
365,23,71
366,23,32
367,23,27
368,23,53
369,23,2
370,23,44
371,23,49
372,23,69
373,23,63
374,24,66
375,24,57
377,24,39
378,24,37
379,24,74
380,24,23
381,24,72
382,24,33
383,24,26
384,24,54
385,24,2
386,24,44
387,24,50
388,24,70
389,24,62
390,25,67
391,25,57
392,25,79
393,25,39
394,25,38
395,25,74
396,25,24
397,25,72
398,25,32
399,25,27
400,25,54
401,25,2
402,25,44
403,25,50
404,25,70
405,25,62
406,24,79
407,26,67
408,26,55
409,26,79
410,26,39
411,26,37
412,26,74
413,26,24
414,26,72
415,26,33
416,26,27
417,26,53
418,26,2
419,26,44
420,26,50
421,26,70
422,26,63
423,27,67
424,27,55
425,27,79
426,27,39
427,27,36
428,27,73
429,27,23
430,27,71
431,27,30
432,27,25
433,27,53
434,27,2
435,27,44
436,27,50
437,27,69
438,27,60
439,28,66
440,28,56
441,28,79
442,28,39
443,28,37
444,28,73
445,28,23
446,28,71
447,28,31
448,28,28
449,28,53
450,28,1
451,28,44
452,28,49
453,28,69
454,28,62
455,29,67
456,29,58
457,29,79
458,29,39
459,29,36
460,29,74
461,29,23
462,29,72
463,29,30
464,29,27
465,29,54
466,29,1
467,29,44
468,29,50
469,29,70
470,29,62
471,30,67
472,30,58
473,30,79
474,30,39
475,30,36
476,30,74
477,30,22
478,30,72
479,30,32
480,30,25
481,30,54
482,30,1
483,30,44
484,30,50
485,30,70
486,30,60
487,31,66
488,31,58
490,31,39
491,31,34
492,31,73
493,31,23
494,31,71
495,31,30
496,31,25
497,31,53
498,31,1
499,31,44
500,31,50
501,31,69
502,31,63
503,32,67
504,32,55
506,32,39
507,32,34
508,32,73
509,32,23
510,32,71
511,32,30
512,32,27
513,32,54
514,32,1
515,32,44
516,32,50
517,32,69
518,32,62
519,33,68
520,33,57
522,33,39
523,33,34
524,33,74
525,33,23
526,33,72
527,33,30
528,33,27
529,33,53
530,33,1
531,33,44
532,33,50
533,33,70
534,33,60
536,32,79
537,34,66
538,34,57
539,34,79
540,34,39
541,34,36
542,34,74
543,34,21
544,34,72
545,34,31
546,34,26
547,34,53
548,34,1
549,34,44
550,34,50
551,34,70
552,34,60
554,35,67
555,35,55
556,35,79
557,35,39
558,35,34
559,35,74
560,35,21
561,35,72
562,35,30
563,35,25
564,35,53
565,35,1
566,35,44
567,35,50
568,35,70
569,35,60
570,31,78
571,33,78
572,36,67
573,36,56
574,36,77
575,36,39
576,36,35
577,36,73
578,36,23
579,36,71
580,36,32
581,36,27
582,36,53
583,36,1
584,36,44
585,36,49
586,36,69
587,36,63
588,37,66
589,37,56
590,37,79
591,37,42
592,37,36
593,37,73
594,37,23
595,37,71
596,37,33
597,37,27
598,37,54
599,37,1
600,37,47
601,37,50
602,37,69
603,37,63
604,38,68
605,38,57
606,38,81
607,38,41
608,38,36
609,38,74
610,38,23
611,38,72
612,38,32
613,38,26
614,38,54
615,38,2
616,38,46
617,38,50
618,38,70
619,38,63
620,39,66
621,39,58
623,39,42
624,39,35
625,39,74
626,39,22
627,39,72
628,39,32
629,39,26
630,39,54
631,39,2
632,39,46
633,39,50
634,39,70
635,39,63
636,40,67
637,40,55
639,40,39
640,40,36
641,40,73
642,40,23
643,40,71
644,40,32
645,40,27
646,40,53
647,40,2
648,40,44
649,40,49
650,40,69
651,40,63
652,41,67
653,41,57
655,41,39
656,41,36
657,41,74
658,41,23
659,41,72
660,41,31
661,41,26
662,41,53
663,41,2
664,41,44
665,41,49
666,41,70
667,41,60
668,40,78
669,42,66
670,42,58
671,42,79
672,42,39
673,42,35
674,42,74
675,42,23
676,42,72
677,42,32
678,42,27
679,42,54
680,42,1
681,42,44
682,42,49
683,42,70
684,42,62
685,43,67
686,43,55
688,43,39
689,43,35
690,43,73
691,43,23
692,43,71
693,43,32
694,43,53
695,43,1
696,43,44
697,43,50
698,43,69
699,43,62
700,44,67
701,44,57
702,44,79
703,44,39
704,44,36
705,44,73
706,44,22
707,44,71
708,44,31
709,44,27
710,44,53
711,44,1
712,44,44
713,44,50
714,44,69
715,44,62
716,45,66
717,45,57
719,45,39
720,45,34
721,45,73
722,45,23
723,45,71
724,45,32
725,45,27
726,45,54
727,45,2
728,45,44
729,45,50
730,45,69
731,45,60
732,46,67
733,46,58
734,46,77
735,46,39
736,46,34
737,46,73
738,46,24
739,46,71
740,46,32
741,46,28
742,46,54
743,46,2
744,46,47
745,46,50
746,46,69
747,46,63
748,47,67
749,47,58
750,47,79
751,47,40
752,47,36
753,47,74
754,47,23
755,47,72
756,47,32
757,47,27
758,47,53
759,47,1
760,47,44
761,47,50
762,47,70
763,47,63
764,48,67
765,48,57
766,48,79
767,48,41
768,48,36
769,48,74
770,48,23
771,48,72
772,48,32
773,48,27
774,48,53
775,48,1
776,48,46
777,48,50
778,48,70
779,48,63
780,49,67
781,49,56
783,49,42
784,49,37
785,49,74
786,49,24
787,49,72
788,49,33
789,49,28
790,49,53
791,49,1
792,49,47
793,49,50
794,49,70
795,49,63
796,50,67
797,50,58
798,50,78
799,50,42
800,50,36
801,50,74
802,50,23
803,50,72
804,50,32
805,50,27
806,50,53
807,50,1
808,50,47
809,50,50
810,50,70
811,50,63
812,51,67
813,51,57
814,51,78
815,51,41
816,51,37
817,51,74
818,51,24
819,51,72
820,51,33
821,51,27
822,51,53
823,51,1
824,51,47
825,51,50
826,51,70
827,51,62
828,52,64
829,52,58
830,52,78
831,52,39
832,52,37
833,52,73
834,52,23
835,52,71
836,52,32
837,52,27
838,52,54
839,52,2
840,52,44
841,52,49
842,52,69
843,52,63
844,53,68
845,53,58
846,53,79
847,53,40
848,53,37
849,53,73
850,53,24
851,53,71
852,53,33
853,53,27
854,53,53
855,53,1
856,53,45
857,53,49
858,53,69
859,53,63
860,54,65
861,54,57
862,54,79
863,54,39
864,54,35
865,54,74
866,54,21
867,54,72
868,54,30
869,54,26
870,54,52
871,54,1
872,54,44
873,54,50
874,54,70
875,54,61
876,55,65
877,55,56
879,55,39
880,55,36
881,55,74
882,55,22
883,55,72
884,55,31
885,55,26
886,55,53
887,55,2
888,55,44
889,55,49
890,55,70
891,55,62
892,56,67
893,56,58
894,56,79
895,56,39
896,56,36
897,56,73
898,56,24
899,56,71
900,56,32
901,56,29
902,56,53
903,56,1
904,56,44
905,56,50
906,56,69
907,56,62
908,62,47
909,62,2
910,62,53
911,62,28
912,62,71
913,62,24
914,62,73
915,62,37
916,62,42
917,62,57
918,62,33
920,62,67
921,62,60
922,62,69
923,62,49
924,63,47
925,63,1
926,63,53
927,63,27
928,63,72
929,63,23
930,63,74
931,63,36
932,63,42
933,63,57
934,63,32
936,63,67
937,63,62
938,63,70
939,63,50
940,64,46
941,64,1
942,64,53
943,64,27
944,64,72
945,64,24
946,64,74
947,64,36
948,64,41
949,64,57
950,64,32
952,64,67
953,64,63
954,64,70
955,64,50
956,65,44
957,65,1
958,65,53
959,65,27
960,65,72
961,65,23
962,65,74
963,65,36
964,65,39
965,65,57
966,65,32
968,65,67
969,65,63
970,65,70
971,65,50
973,63,79
974,64,79
975,65,79
976,62,78
977,17,79
978,17,81
979,66,44
980,66,1
981,66,54
982,66,29
983,66,71
984,66,24
985,66,73
986,66,38
987,66,39
988,66,57
989,66,32
991,66,67
992,66,63
993,66,69
994,66,49
995,67,47
996,67,1
997,67,54
998,67,28
999,67,71
1000,67,24
1001,67,73
1002,67,37
1003,67,42
1004,67,58
1005,67,33
1007,67,66
1008,67,63
1009,67,69
1010,67,49
1011,68,27
1012,68,69
1013,68,1
1014,68,32
1015,68,36
1016,68,39
1017,68,73
1018,68,58
1019,68,54
1020,68,49
1021,68,44
1022,68,71
1023,68,24
1024,68,66
1025,68,63
1028,69,28
1029,69,69
1030,69,2
1031,69,32
1032,69,37
1033,69,39
1034,69,73
1035,69,57
1036,69,53
1037,69,49
1038,69,44
1039,69,71
1040,69,24
1041,69,67
1042,69,63
1045,70,27
1046,70,69
1047,70,1
1048,70,30
1049,70,37
1050,70,40
1051,70,75
1052,70,73
1053,70,55
1054,70,52
1055,70,49
1056,70,47
1057,70,24
1058,70,67
1059,70,63
1061,71,25
1062,71,70
1063,71,1
1064,71,32
1065,71,36
1066,71,39
1067,71,74
1068,71,57
1069,71,53
1070,71,50
1071,71,44
1072,71,72
1073,71,23
1074,71,67
1075,71,63
1078,72,26
1079,72,69
1080,72,2
1081,72,32
1082,72,36
1083,72,39
1084,72,73
1085,72,57
1086,72,52
1087,72,50
1088,72,44
1089,72,71
1090,72,23
1091,72,64
1092,72,60
1095,73,26
1096,73,70
1097,73,1
1098,73,32
1099,73,36
1100,73,39
1101,73,74
1102,73,55
1103,73,51
1104,73,50
1105,73,44
1106,73,72
1107,73,21
1108,73,64
1109,73,62
1112,74,26
1113,74,70
1114,74,1
1115,74,32
1116,74,36
1117,74,40
1118,74,74
1119,74,57
1120,74,53
1121,74,50
1122,74,44
1123,74,72
1124,74,23
1125,74,64
1126,74,60
1129,66,78
1130,67,77
1131,67,78
1132,68,78
1133,68,79
1134,69,77
1135,69,79
1137,71,78
1138,71,79
1139,72,78
1140,72,79
1141,73,79
1142,73,81
1143,74,79
1144,74,81
1146,75,29
1147,75,70
1148,75,1
1149,75,30
1150,75,36
1151,75,41
1152,75,74
1153,75,58
1154,75,54
1155,75,50
1156,75,46
1157,75,72
1158,75,23
1159,75,64
1160,75,63
1161,75,79
1162,75,81
1163,1,79
1164,2,79
1165,3,79
1166,4,79
1167,5,79
1168,76,36
1169,76,39
1170,76,74
1171,76,1
1172,76,70
1173,76,67
1174,76,63
1175,76,57
1176,76,23
1177,76,26
1178,76,33
1179,76,50
1180,76,44
1182,76,72
1183,76,53
1184,77,36
1185,77,42
1186,77,74
1187,77,2
1188,77,70
1189,77,67
