response_id,project,survey,neighborhood,response_date,entity_name,number_participant,number_female,number_male,GPS_latitude,GPS_longitude,use_adult
1,1,3,1,2014-02-27,097,1,1,1,12.91345,79.13925,False
2,1,3,1,2014-02-28,098,1,1,1,12.91284,79.139,False
3,1,3,1,2014-03-01,099,1,1,1,12.91214,79.14256,False
4,1,3,1,2014-03-01,100,1,1,1,12.91274,79.14223,False
5,1,3,1,2014-03-01,078,1,1,1,12.91225,79.14152,False
6,1,3,1,2014-03-03,031,1,1,1,12.9142,79.13995,False
7,1,3,1,2014-03-03,032,1,1,1,12.91418,79.13989,False
8,1,3,1,2014-03-03,033,1,1,1,12.9146,79.14033,False
9,1,3,1,2014-02-26,040,1,1,1,12.91178,79.14624,False
10,1,3,1,2014-02-26,041,1,1,1,12.91152,79.14672,False
11,1,3,1,2014-02-26,042,1,1,1,12.91124,79.14764,False
12,1,3,1,2014-02-26,045,1,1,1,12.91218,79.14606,False
13,1,3,1,2014-02-26,046,1,1,1,12.91228,79.14635,False
14,1,3,1,2014-02-27,051,1,1,1,12.91224,79.14664,False
15,1,3,1,2014-02-27,001,1,1,1,12.91194,79.14619,False
16,1,3,1,2014-03-01,039,1,1,1,12.91149,79.14703,False
17,1,3,1,2014-02-28,038,1,1,1,12.91322,79.14109,False
18,1,3,1,2014-02-28,070,1,1,1,12.91304,79.14124,False
19,1,3,1,2014-02-28,071,1,1,1,12.913,79.14069,False
20,1,3,1,2014-02-28,072,1,1,1,12.91284,79.14128,False
21,1,3,1,2014-02-28,073,1,1,1,12.91278,79.14038,False
22,1,3,1,2014-02-28,074,1,1,1,12.91314,79.1404,False
23,1,3,1,2014-03-03,079,1,1,1,12.9114,79.14133,False
24,1,3,1,2014-03-03,080,1,1,1,12.91273,79.14175,False
25,1,3,1,2014-03-03,081,1,1,1,12.91263,79.14173,False
26,1,3,1,2014-03-03,082,1,1,1,12.9127,79.13995,False
27,1,3,1,2014-02-26,087,1,1,1,12.91316,79.13804,False
28,1,3,1,2014-02-26,088,1,1,1,12.91262,79.13766,False
29,1,3,1,2014-02-26,089,1,1,1,12.91264,79.13847,False
30,1,3,1,2014-02-26,090,1,1,1,12.91253,79.1386,False
31,1,3,1,2014-02-26,091,1,1,1,12.91292,79.13811,False
32,1,3,1,2014-02-26,092,1,1,1,12.91252,79.13779,False
33,1,3,1,2014-02-27,093,1,1,1,12.91294,79.13876,False
34,1,3,1,2014-02-27,094,1,1,1,12.91253,79.13844,False
35,1,3,1,2014-02-27,095,1,1,1,12.91248,79.13867,False
36,1,3,1,2014-02-27,096,1,1,1,12.91372,79.13922,False
37,1,3,1,2014-02-24,021,1,1,1,12.91181,79.14563,False
38,1,3,1,2014-02-24,012,1,1,1,12.91177,79.14646,False
39,1,3,1,2014-02-24,008,1,1,1,12.9116,79.14676,False
40,1,3,1,2014-02-24,017,1,1,1,12.91265,79.14095,False
41,1,3,1,2014-02-25,004,1,1,1,12.91374,79.14148,False
42,1,3,1,2014-02-25,002,1,1,1,12.91371,79.14093,False
43,1,3,1,2014-02-26,084,1,1,1,12.91248,79.13972,False
44,1,3,1,2014-02-26,085,1,1,1,12.91223,79.13926,False
45,1,3,1,2014-02-26,086,1,1,1,12.91155,79.13879,False
46,1,3,1,2014-02-26,015,1,1,1,12.91307,79.13773,False
47,1,3,1,2014-02-26,043,1,1,1,12.91169,79.1458,False
48,1,3,1,2014-02-26,048,1,1,1,12.91214,79.14715,False
49,1,3,1,2014-02-26,049,1,1,1,12.91204,79.14716,False
50,1,3,1,2014-02-27,044,1,1,1,12.9116,79.14585,False
51,1,3,1,2014-02-27,050,1,1,1,12.91217,79.14694,False
52,1,3,1,2014-02-27,068,1,1,1,12.91243,79.14202,False
53,1,3,1,2014-02-27,069,1,1,1,12.91233,79.14212,False
54,1,3,1,2014-03-03,036,1,1,1,12.91426,79.14014,False
55,1,3,1,2014-03-03,037,1,1,1,12.91404,79.14056,False
56,1,3,1,2014-03-03,083,1,1,1,12.91203,79.13983,False
57,1,2,1,2014-03-06,GROUP-1(FEMALE),18,18,0,12.91137,79.14134,False
58,1,2,1,2014-03-07,GROUP-II FEMALE,18,18,0,12.91137,79.14134,False
59,1,2,1,2014-03-06,OLD TOWN-GROUP1(MALE),12,0,12,12.91137,79.14134,False
60,1,2,1,2014-03-07,GROUP-II MALE,16,0,16,12.91137,79.14134,False
61,1,1,1,2014-03-04,SCHOOL SURVEY-1 RCM UTHIRAMADHA SCHOLL,22,9,13,12.91347,79.13968,True
62,1,3,1,2014-02-01,052,1,1,1,12.9126,79.14416,False
63,1,3,1,2014-02-01,047,1,1,1,12.91256,79.14413,False
64,1,3,1,2014-03-03,053,1,1,1,12.91279,79.14195,False
65,1,3,1,2014-03-03,054,1,1,1,12.91303,79.14181,False
66,1,3,1,2014-02-24,016,1,1,1,12.91196,79.14265,False
67,1,3,1,2014-02-24,018,1,1,1,12.9122,79.14422,False
68,1,3,1,2014-02-24,014,1,1,1,12.91233,79.14439,False
69,1,3,1,2014-02-24,022,1,1,1,12.91278,79.14182,False
70,1,3,1,2014-02-24,019,1,1,1,12.91203,79.14248,False
71,1,3,1,2014-02-24,011,1,1,1,12.9126,79.14108,False
72,1,3,1,2014-02-24,003,1,1,1,12.91311,79.14149,False
73,1,3,1,2014-02-26,055,1,1,1,12.91239,79.14457,False
74,1,3,1,2014-02-26,057,1,1,1,12.9127,79.14207,False
75,1,3,1,2014-03-17,056,1,1,1,12.9122,79.14407,False
76,1,3,1,2014-02-24,024,1,1,1,12.9139,79.14124,False
77,1,3,1,2014-02-24,023,1,1,1,12.9143,79.1412,False
78,1,3,1,2014-02-24,005,1,1,1,12.91376,79.14146,False
79,1,3,1,2014-02-24,007,1,1,1,12.91432,79.14141,False
80,1,3,1,2014-02-24,025,1,1,1,12.91212,79.1387,False
81,1,3,1,2014-02-24,009,1,1,1,12.91307,79.14118,False
82,1,3,1,2014-02-24,006,1,1,1,12.91369,79.14117,False
83,1,3,1,2014-02-25,010,1,1,1,12.91298,79.14043,False
84,1,3,1,2014-02-25,020,1,1,1,12.91281,79.1382,False
85,1,3,1,2014-02-25,013,1,1,1,12.91291,79.14127,False
86,1,3,1,2014-02-26,058,1,1,1,12.91244,79.14219,False
87,1,3,1,2014-02-26,059,1,1,1,12.91244,79.14189,False
88,1,3,1,2014-02-26,060,1,1,1,12.91255,79.14232,False
89,1,3,1,2014-02-26,061,1,1,1,12.91258,79.14212,False
90,1,3,1,2014-02-26,062,1,1,1,12.91294,79.14216,False
91,1,3,1,2014-02-26,063,1,1,1,12.91276,79.14194,False
92,1,3,1,2014-02-27,064,1,1,1,12.91216,79.14396,False
93,1,3,1,2014-02-27,065,1,1,1,12.91244,79.14381,False
94,1,3,1,2014-02-27,066,1,1,1,12.9122,79.14223,False
95,1,3,1,2014-02-27,067,1,1,1,12.91217,79.1424,False
96,1,3,1,2014-02-28,026,1,1,1,12.91415,79.14146,False
97,1,3,1,2014-02-28,027,1,1,1,12.91426,79.14143,False
98,1,3,1,2014-02-28,028,1,1,1,12.91422,79.14127,False
99,1,3,1,2014-02-28,029,1,1,1,12.91422,79.1407,False
100,1,3,1,2014-02-28,030,1,1,1,12.91421,79.14063,False
101,1,3,1,2014-03-01,075,1,1,1,12.91338,79.14044,False
102,1,3,1,2014-03-01,076,1,1,1,12.91297,79.14163,False
103,1,3,1,2014-03-01,077,1,1,1,12.9125,79.14172,False
104,1,3,1,2014-03-01,034,1,1,1,12.91424,79.14062,False
105,1,3,1,2014-03-01,035,1,1,1,12.91427,79.14014,False
106,1,1,2,2014-03-19,1st SCHOOL SURVEY MUNICIPAL MIDSC,20,0,20,12.9023,79.12531,True
107,1,1,1,2014-03-14,3rd SCHOOL SURVEY RCM UTHIRAMADHA SCHOOL,19,9,0,12.91347,79.13968,True
108,1,1,2,2014-03-21,4th SCHOOL SURVEY P.U.P. SCHOOL,16,10,6,12.89944,79.12555,True
109,1,1,2,2014-03-19,2nd SCHOOL SURVEY MUNICIPAL MIDSC,22,22,0,12.9023,79.12531,True
110,1,1,2,2014-03-21,3rd SCHOOL SURVEY P.U.P.SCHOOL,13,4,9,12.89944,79.12555,True
111,1,1,1,2014-03-07,2nd SCHOOL SURVEY A.M.M.S,19,10,9,12.91396,79.1385,True
112,1,1,1,2014-03-14,4th SCHOOL SURVEY RCM UTHIRAMAMDHA SCHOOL,20,8,12,12.91347,79.13968,True
113,1,2,2,2014-03-11,GROUP 1 FEMALE,14,14,0,12.90126,79.12366,False
114,1,2,2,2014-03-20,GROUP II FEMALE,12,12,0,None,None,False
