id,transect_walk,key_point_type,location_name,street_name,GPS_latitude,GPS_longitude,closest_landmark,photo_taken
1,1,DRAINAGE,014,STUDY AREA BACK SIDE,12.91138,79.14129,STUDY AREA BACK SIDE,False
2,1,DRAINAGE,015,MGR NAGAR CHENGANATH ROAD,12.91218,79.14221,NEAR STUDY MOTHER HOUSE,True
3,1,PUBLIC TAP,W,MGR NAGAR CHENGANATH ROAD,12.91228,79.14338,NEAR OPEN DRAINAGE,True
4,1,PUBLIC TAP,X,MGR NAGAR CHENGANATH ROAD,12.91216,79.14378,DRAINAGE & RUBBISH,True
5,1,SOIL,Y,MGR NAGAR CHENGANATH ROAD,12.91198,79.14413,NEAR RUBBISH,True
6,1,BATHING WATER PUBLIC TAP,Z,MGR NAGAR END,12.91198,79.1444,NEAR SECURITY HOUSE,True
7,1,OPEN DEFECATION,aa,BHARADHIYAR NAGAR,12.91199,79.14481,NEAR HILL,True
8,1,PUBLIC WATER TANK,ab,BHARADHIYAR NAGAR,12.91185,79.14565,NEAR STUDY MOTHER HOUSE,True
9,1,DRAINAGE RUBBISH,ac,KAMATCHI AMMAN STREET,12.91101,79.14233,NEAR PALANI STORE,True
10,1,VEGETABLE MARKET,MAR 1,SALAVANPET,12.91022,79.14024,CLINIC BACK SIDE,False
11,1,GOVERNMENT HEALTH CENTRE,GVT 1,KUTTAMEDU,12.91124,79.13911,NEAR STUDY AREA,False
12,1,CHURCH,CHU 1,ANTHONIYAR KOIL STREET,12.9117,79.9117,NEAR STUDY AREA,False
13,2,ANIMAL SHED,ANI 1,SSK MANIYAM LAST STREET,12.91229,79.13896,NEAR CHURCH,False
14,2,PUBLIC TAP SOIL,PUB A1,SSK MANIYAM,12.91255,79.13816,NEAR NEEM TREE,False
15,2,PUBLIC TOILET,PUB T1,SSK MANIYAM,12.91242,79.13789,NEAR RJ TANK,False
16,2,SOIL,PUB AR,SSK MANIYAM,12.91282,79.13765,NEAR TEMPLE,False
17,2,PUBLIC TAP,PUBLIC TAP,SSK MANIYAM,12.9129,79.13799,NEAR STUDY MOTHER HOUSE,False
18,2,VEGETABLES,MAR 2,UMK STREET DOWN,12.91366,79.13927,NEAR UMK SCHOOL,False
19,2,PUBLIC TOILET,PUB T2,UMK STREET DOWN,12.91378,79.13932,NEAR STUDY MOTHER HOUSE,False
20,2,UMK SCHOOL,SCH 1,THOLKIDANGU STREET,12.91347,79.13968,NEAR POST OFFICE,False
21,2,CEMETRY,CMT,THOLKIDANGU STREET,12.91384,79.13972,NEAR MGR SILAI,False
22,2,PUBLIC TOILET,PUB T3,THOLKIDANGU STREET,12.91491,79.13997,NEAR AMMAN SILAI,True
23,2,BALWADI,BLD 1,MURUGAN KOIL STREET,12.91473,79.13988,NEAR AMMAN SILAI,False
24,2,BATHING WATER,PUB RJ1,MURUGAN KOIL STREET,12.91467,79.14012,NEAR STUDY MOTHER HOUSE,True
25,2,PUBLIC TAP,PUB T4,MURUGAN KOIL STREET,12.91451,79.14053,NEAR MURUGAR TEMPLE,True
26,2,PUBLIC TAP,PUB T5,MURUGAN KOIL STREET,12.91447,79.14099,NEAR MURUGAR TEMPLE,True
27,2,PUBLIC TAP,PUB T6,MURUGAN KOIL STREET,12.91436,79.14143,NEAR MURUGAR TEMPLE,True
28,2,PUBLIC TAP,PUB T7,MURUGAN KOIL STREET,12.91334,79.14158,NEAR DATA ENTRY HOUSE,True
29,2,PUBLIC TAP,PUB T8,UMK STREET,12.9131,79.14141,NEAR STUDY MOTHER HOUSE,True
30,2,PUBLIC TAP,PUB T9,UMK STREET,12.91278,79.14078,NEAR STUDY MOTHER HOUSE,True
31,2,PUBLIC TAP,PUB 10,UMK STREET,12.91276,79.1404,NEAR STUDY MOTHER HOUSE,True
32,2,PUBLIC TAP ,PUB 11,MAJITH GARDEN,12.91233,79.14092,NEAR MAJITH,True
33,3,CHILDREN'S PLAY AREA SOIL,CPSL001,METTU PARI,12.89609,79.12319,PUBLIC TOILET TEMPLE,True
34,3,PUBLIC TOILET,CPT001,METTU PARI,12.8961,79.12336,PUBLIC TOILET TEMPLE,True
35,3,BATHING WATER,CPW001,METTU PARI,12.89592,79.12331,PUBLIC TOILET TEMPLE,True
36,3,PUBLIC TAP,CPPW001,METTU PARI,12.89588,79.12326,PUBLIC TOILET,True
37,3,VEGETABLES,CPVG001,METTU PARI,12.89572,79.12326,PUBLIC TOILET TEMPLE,True
38,3,BATHING WATER,CPW002,K.K. NAGAR,12.89685,79.12215,C1305 VIJAYALAKSHMI NEAR SALOON SHOP,True
39,3,BORE WELL BATHING WATER,CPW003,J.J NAGAR,12.8961,79.12432,MASUDHI DARGA NEAR RAILWAY TRACK,True
40,3,HAND BORE WELL,CPW004,J.J NAGAR,12.89589,79.12425,NEAR RAILWAY TRACK TEMPLE,True
41,3,BATHING WATER BORE WELL,CPW005,J.J NAGAR,12.89699,79.12479,BUNK VEGETABLES,True
42,3,VEGETABLES,CPVG002,J.J NAGAR,12.89697,79.12476,BUNK VEGETABLES,True
43,3,CHILDREN'S PLAY AREA SOIL,CPSL002,J.J NAGAR,12.89703,79.12482,BUNK VEGETABLES,True
44,3,CHILDREN'S PALY SOIL,CPSL003,BALWADI,12.89715,79.12503,BALWADI,True
45,3,PUBLIC TAP,CPPW002,AMBEDHKAR STREET,12.89755,79.12503,NEAR WATER TANK,True
46,3,CHILDRENS PLAY AREA,CPSL004,AMBEDHKAR STREET,12.89758,79.12501,NEAR WATER TANK,True
47,3,VEGETABLES,CPVG003,AMBETHKAR STREET,12.89784,79.12511,NEAR WATER TANK,True
48,3,PUBLIC TOILET,CPT002,AMBEDHKAR STREET,12.89853,79.12516,NEAR WATER TANK,True
49,3,CHILDREN'S PLAY AREA SOIL,CPSL005,AMBEDHKAR STREET,12.89849,79.12538,PUBLIC TOILET,True
