neighbor,sample_type,sampleid,SampleType,ec_conc,ec_lnconc
1,3,PVG005,Produce,4000,3.602059991
1,1,PSL004,Particulate,100,2
1,7,PBW001,Bathing Water,1,0
1,7,PBW002,Bathing Water,4.545454545,0.657577319
1,7,PBW003,Bathing Water,7,0.84509804
1,7,PBW004,Bathing Water,5,0.698970004
1,7,PBW005,Bathing Water,0.454545455,-0.34242268
1,7,PBW006,Bathing Water,0.454545455,-0.34242268
1,2,PSW001,Swabs,780,2.892094603
1,2,PSW002,Swabs,7.2,0.857332496
1,2,PSW003,Swabs,1.2,0.079181246
1,2,PSW004,Swabs,1020,3.008600172
1,2,PSW005,Swabs,1.2,0.079181246
1,2,PSW006,Swabs,192,2.283301229
1,2,PSW007,Swabs,2400,3.380211242
1,2,PSW008,Swabs,420,2.62324929
1,2,PSW009,Swabs,12,1.079181246
1,3,PVG001,Produce,9500,3.977723605
1,3,PVG002,Produce,2727.272727,3.43572857
1,3,PVG003,Produce,61363.63636,4.787911088
1,3,PVG004,Produce,7500,3.875061263
1,1,PSL001,Particulate,32,1.505149978
1,4,PPW001,Piped Water,0.454545455,-0.34242268
1,4,PPW002,Piped Water,0.454545455,-0.34242268
1,2,PSW010,Swabs,2400,3.380211242
1,2,PSW011,Swabs,2400,3.380211242
1,2,PSW012,Swabs,2400,3.380211242
1,1,PSL002,Particulate,296.3636364,2.471824915
1,1,PSL006,Particulate,220,2.342422681
1,3,PVG007,Produce,175000,5.243038049
1,3,PVG007,Produce,175000,5.243038049
1,1,PSL005,Particulate,4,0.602059991
1,3,PVG006,Produce,84545.45455,4.927090263
1,4,PPW003,Piped Water,0.454545455,-0.34242268
1,4,PPW004,Piped Water,100,2
1,7,PBW007,Bathing Water,1,0
1,7,PBW008,Bathing Water,0.454545455,-0.34242268
1,7,PBW009,Bathing Water,0.454545455,-0.34242268
1,7,PBW010,Bathing Water,0.454545455,-0.34242268
1,1,PSL009,Particulate,34,1.531478917
1,1,PSL010,Particulate,8,0.903089987
1,1,PSL008,Particulate,400,2.602059991
1,1,PSL007,Particulate,60,1.77815125
1,3,PVG008,Produce,1000000,6
1,3,PVG009,Produce,500,2.698970004
1,3,PVG010,Produce,227.2727273,2.356547324
1,1,PSL003,Particulate,16,1.204119983
1,1,PSL003,Particulate,16,1.204119983
2,3,PVG101,Produce,6000,3.77815125
2,3,PVG102,Produce,24090.90909,4.381853189
2,3,PVG103,Produce,6500,3.812913357
2,3,PVG104,Produce,1000000,6
2,3,PVG105,Produce,8500,3.929418926
2,1,PSL101,Particulate,276.3636364,2.441480899
2,1,PSL102,Particulate,100,2
2,1,PSL103,Particulate,0.909090909,-0.041392685
2,1,PSL105,Particulate,0.909090909,-0.041392685
2,1,PSL104,Particulate,,#NUM!
2,1,PSL106,Particulate,0.909090909,-0.041392685
2,1,PSL107,Particulate,0.909090909,-0.041392685
2,1,PSL108,Particulate,0.909090909,-0.041392685
2,1,PSL109,Particulate,6,0.77815125
2,2,PSW101,Swabs,,#NUM!
2,2,PSW102,Swabs,2400,3.380211242
2,2,PSW103,Swabs,2400,3.380211242
2,2,PSW104,Swabs,2400,3.380211242
2,2,PSW106,Swabs,182.4,2.261024834
2,4,PPW005,Piped Water,0.25,-0.602059991
1,4,PPW010,Piped Water,0.25,-0.602059991
1,4,PPW006,Piped Water,0.25,-0.602059991
1,4,PPW008,Piped Water,0.25,-0.602059991
1,4,PPW009,Piped Water,0.25,-0.602059991
1,4,PPW007,Piped Water,0.25,-0.602059991
2,4,PPW101,Piped Water,0.25,-0.602059991
2,4,PPW102,Piped Water,200,2.301029996
2,4,PPW103,Piped Water,0.25,-0.602059991
2,4,PPW104,Piped Water,0.25,-0.602059991
2,4,PPW105,Piped Water,7,0.84509804
2,4,PPW106,Piped Water,180,2.255272505
2,4,PPW107,Piped Water,0.25,-0.602059991
2,4,PPW108,Piped Water,0.25,-0.602059991
2,7,PBW106,Bathing Water,0.25,-0.602059991
2,7,PBW107,Bathing Water,0.25,-0.602059991
2,7,PBW108,Bathing Water,110,2.041392685
2,7,PBW109,Bathing Water,0.25,-0.602059991
2,7,PBW110,Bathing Water,2,0.301029996
2,4,PPW109,Piped Water,0.25,-0.602059991
2,2,PSW107,Swabs,1320,3.120573931
2,2,PWS108,Swabs,1080,3.033423755
2,2,PSW109,Swabs,1.2,0.079181246
2,4,PPW110,Piped Water,0.25,-0.602059991
2,4,PPW110,Piped Water,0.25,-0.602059991
2,2,PSW110,Swabs,0.545454545,-0.263241435
2,2,PSW111,Swabs,18,1.255272505
2,2,PSW112,Swabs,12,1.079181246
2,3,PVG106,Produce,3636.363636,3.560667306
2,3,PVG107,Produce,500,2.698970004
2,3,PVG108,Produce,12500,4.096910013
2,3,PVG109,Produce,950000,5.977723605
2,3,PVG110,Produce,500,2.698970004
2,1,PSL110,Particulate,2400,3.380211242
2,7,PBW101,Bathing Water,0.25,-0.602059991
2,7,PBW102,Bathing Water,0.25,-0.602059991
2,7,PBW103,Bathing Water,4,0.602059991
2,7,PBW104,Bathing Water,1,0
2,7,PBW105,Bathing Water,0.25,-0.602059991
2,2,PSW105,Swabs,4.8,0.681241237
1,4,PPW012,Piped Water,16,1.204119983
1,4,PPW011,Piped Water,11,1.041392685
