"response_id","neighborhood_id","h_c","h_d_a","h_d_c","h_dw_a","h_dw_c","h_dw_e_wt","h_f_a","h_f_c","h_l_a","h_l_c","h_p_a","h_p_c","h_pl_a_od.1","h_pl_a_od.2","h_pl_a_od.4","h_pl_a_od.5","h_pl_a_tf","h_pl_a_th","h_pl_a_tu","h_pl_a_tw","response_date","GPS_latitude","GPS_longitude"
1,1,0,3,3,1,1,1,1,1,1,1,4,3,,2,,,,0,0,0,2014-02-27,12.91345,79.13925
2,1,1,1,1,1,1,0,2,3,1,3,4,1,,2,,,,0,0,0,2014-02-28,12.91284,79.139
3,1,1,3,2,1,1,0,1,1,1,3,4,3,,2,,,,1,1,1,2014-03-01,12.91214,79.14256
4,1,1,3,3,2,2,1,1,3,3,4,2,1,,2,,,,0,0,0,2014-03-01,12.91274,79.14223
5,1,0,3,3,1,1,0,1,1,2,2,3,2,,2,,,,0,0,0,2014-03-01,12.91225,79.14152
6,1,1,3,3,1,1,1,3,3,4,3,4,4,,2,,,,1,1,1,2014-03-03,12.9142,79.13995
7,1,0,3,3,1,1,1,2,3,4,4,3,4,,,,5,,1,1,1,2014-03-03,12.91418,79.13989
8,1,0,3,3,1,1,0,1,1,4,4,3,4,1,,,,,0,0,0,2014-03-03,12.9146,79.14033
9,1,1,2,1,3,3,0,3,3,3,4,3,2,,2,,,,0,0,0,2014-02-26,12.91178,79.14624
10,1,0,2,1,4,4,0,4,4,4,4,3,4,,2,,,,0,0,0,2014-02-26,12.91152,79.14672
11,1,0,3,1,4,4,0,2,3,4,4,3,3,,2,,,,0,,0,2014-02-26,12.91124,79.14764
12,1,1,4,3,3,1,0,3,3,4,4,4,4,,2,,,,0,0,0,2014-02-26,12.91218,79.14606
13,1,1,3,2,5,3,0,2,3,4,4,3,4,,2,,,,0,0,0,2014-02-26,12.91228,79.14635
14,1,1,4,4,3,4,0,3,4,1,4,3,4,,2,,,,0,0,0,2014-02-27,12.91224,79.14664
15,1,1,3,3,3,3,0,1,3,1,4,3,4,,2,,,,0,0,0,2014-02-27,12.91194,79.14619
16,1,1,3,3,4,4,0,3,3,3,4,3,3,,2,,,,1,1,1,2014-03-01,12.91149,79.14703
17,1,0,3,3,1,1,1,4,4,4,4,4,4,,2,4,,,0,0,0,2014-02-28,12.91322,79.14109
18,1,0,4,4,1,1,1,4,4,4,3,4,4,,2,,,,0,0,0,2014-02-28,12.91304,79.14124
19,1,1,3,4,1,1,0,4,5,3,4,3,3,,,,5,,0,0,0,2014-02-28,12.913,79.14069
20,1,1,3,3,1,1,0,2,4,4,3,3,3,,2,,,,0,0,0,2014-02-28,12.91284,79.14128
21,1,0,4,3,1,1,1,4,3,3,5,3,1,1,,,,,1,1,1,2014-02-28,12.91278,79.14038
22,1,1,3,3,1,1,0,3,3,4,4,4,4,,2,,,,0,0,0,2014-02-28,12.91314,79.1404
23,1,0,3,3,1,1,1,3,5,4,1,3,3,,,4,,,1,1,1,2014-03-03,12.9114,79.14133
24,1,0,3,2,1,1,0,4,4,3,3,4,3,,2,,,,0,0,0,2014-03-03,12.91273,79.14175
25,1,0,4,3,1,1,0,3,5,3,4,4,3,,2,,,,0,0,0,2014-03-03,12.91263,79.14173
26,1,0,4,3,1,1,0,4,4,4,4,3,1,,2,,,,0,0,0,2014-03-03,12.9127,79.13995
27,1,0,3,1,1,1,0,1,3,1,4,3,1,,2,,,,1,1,1,2014-02-26,12.91316,79.13804
28,1,1,3,4,1,1,1,2,4,3,3,3,2,,2,,,,1,1,1,2014-02-26,12.91262,79.13766
29,1,1,3,3,1,1,0,1,3,3,4,4,4,,2,,,,0,0,0,2014-02-26,12.91264,79.13847
30,1,1,2,1,1,1,0,3,3,1,4,4,4,,2,,,,0,0,0,2014-02-26,12.91253,79.1386
31,1,1,3,1,1,1,0,1,1,4,3,3,4,1,,,,,1,1,1,2014-02-26,12.91292,79.13811
32,1,1,3,3,1,1,0,1,1,3,4,4,1,,2,,,,1,1,1,2014-02-26,12.91252,79.13779
33,1,1,3,3,1,1,0,1,1,1,5,3,3,1,,,,,0,0,0,2014-02-27,12.91294,79.13876
34,1,1,1,2,1,1,0,2,3,1,3,3,3,,2,,,,0,0,0,2014-02-27,12.91253,79.13844
35,1,1,1,1,1,1,0,1,1,1,4,3,1,,2,,,,0,0,0,2014-02-27,12.91248,79.13867
36,1,1,3,3,1,1,1,3,2,4,4,3,2,,,,5,,1,1,1,2014-02-27,12.91372,79.13922
