response_id,project,survey,neighborhood,response_date,entity_name,number_participant,number_female,number_male,GPS_latitude,GPS_longitude,use_adult
1,1,3,1,2/27/2014,97,1,1,1,12.91345,79.13925,FALSE
2,1,3,1,2/28/2014,98,1,1,1,12.91284,79.139,FALSE
3,1,3,1,3/1/2014,99,1,1,1,12.91214,79.14256,FALSE
4,1,3,1,3/1/2014,100,1,1,1,12.91274,79.14223,FALSE
5,1,3,1,3/1/2014,78,1,1,1,12.91225,79.14152,FALSE
6,1,3,1,3/3/2014,31,1,1,1,12.9142,79.13995,FALSE
7,1,3,1,3/3/2014,32,1,1,1,12.91418,79.13989,FALSE
8,1,3,1,3/3/2014,33,1,1,1,12.9146,79.14033,FALSE
9,1,3,1,2/26/2014,40,1,1,1,12.91178,79.14624,FALSE
10,1,3,1,2/26/2014,41,1,1,1,12.91152,79.14672,FALSE
11,1,3,1,2/26/2014,42,1,1,1,12.91124,79.14764,FALSE
12,1,3,1,2/26/2014,45,1,1,1,12.91218,79.14606,FALSE
13,1,3,1,2/26/2014,46,1,1,1,12.91228,79.14635,FALSE
14,1,3,1,2/27/2014,51,1,1,1,12.91224,79.14664,FALSE
15,1,3,1,2/27/2014,1,1,1,1,12.91194,79.14619,FALSE
16,1,3,1,3/1/2014,39,1,1,1,12.91149,79.14703,FALSE
17,1,3,1,2/28/2014,38,1,1,1,12.91322,79.14109,FALSE
18,1,3,1,2/28/2014,70,1,1,1,12.91304,79.14124,FALSE
19,1,3,1,2/28/2014,71,1,1,1,12.913,79.14069,FALSE
20,1,3,1,2/28/2014,72,1,1,1,12.91284,79.14128,FALSE
21,1,3,1,2/28/2014,73,1,1,1,12.91278,79.14038,FALSE
22,1,3,1,2/28/2014,74,1,1,1,12.91314,79.1404,FALSE
23,1,3,1,3/3/2014,79,1,1,1,12.9114,79.14133,FALSE
24,1,3,1,3/3/2014,80,1,1,1,12.91273,79.14175,FALSE
25,1,3,1,3/3/2014,81,1,1,1,12.91263,79.14173,FALSE
26,1,3,1,3/3/2014,82,1,1,1,12.9127,79.13995,FALSE
27,1,3,1,2/26/2014,87,1,1,1,12.91316,79.13804,FALSE
28,1,3,1,2/26/2014,88,1,1,1,12.91262,79.13766,FALSE
29,1,3,1,2/26/2014,89,1,1,1,12.91264,79.13847,FALSE
30,1,3,1,2/26/2014,90,1,1,1,12.91253,79.1386,FALSE
31,1,3,1,2/26/2014,91,1,1,1,12.91292,79.13811,FALSE
32,1,3,1,2/26/2014,92,1,1,1,12.91252,79.13779,FALSE
33,1,3,1,2/27/2014,93,1,1,1,12.91294,79.13876,FALSE
34,1,3,1,2/27/2014,94,1,1,1,12.91253,79.13844,FALSE
35,1,3,1,2/27/2014,95,1,1,1,12.91248,79.13867,FALSE
36,1,3,1,2/27/2014,96,1,1,1,12.91372,79.13922,FALSE
37,1,3,1,2/24/2014,21,1,1,1,12.91181,79.14563,FALSE
38,1,3,1,2/24/2014,12,1,1,1,12.91177,79.14646,FALSE
39,1,3,1,2/24/2014,8,1,1,1,12.9116,79.14676,FALSE
40,1,3,1,2/24/2014,17,1,1,1,12.91265,79.14095,FALSE
41,1,3,1,2/25/2014,4,1,1,1,12.91374,79.14148,FALSE
42,1,3,1,2/25/2014,2,1,1,1,12.91371,79.14093,FALSE
43,1,3,1,2/26/2014,84,1,1,1,12.91248,79.13972,FALSE
44,1,3,1,2/26/2014,85,1,1,1,12.91223,79.13926,FALSE
45,1,3,1,2/26/2014,86,1,1,1,12.91155,79.13879,FALSE
46,1,3,1,2/26/2014,15,1,1,1,12.91307,79.13773,FALSE
47,1,3,1,2/26/2014,43,1,1,1,12.91169,79.1458,FALSE
48,1,3,1,2/26/2014,48,1,1,1,12.91214,79.14715,FALSE
49,1,3,1,2/26/2014,49,1,1,1,12.91204,79.14716,FALSE
50,1,3,1,2/27/2014,44,1,1,1,12.9116,79.14585,FALSE
51,1,3,1,2/27/2014,50,1,1,1,12.91217,79.14694,FALSE
52,1,3,1,2/27/2014,68,1,1,1,12.91243,79.14202,FALSE
53,1,3,1,2/27/2014,69,1,1,1,12.91233,79.14212,FALSE
54,1,3,1,3/3/2014,36,1,1,1,12.91426,79.14014,FALSE
55,1,3,1,3/3/2014,37,1,1,1,12.91404,79.14056,FALSE
56,1,3,1,3/3/2014,83,1,1,1,12.91203,79.13983,FALSE
62,1,3,1,2/1/2014,52,1,1,1,12.9126,79.14416,FALSE
63,1,3,1,2/1/2014,47,1,1,1,12.91256,79.14413,FALSE
64,1,3,1,3/3/2014,53,1,1,1,12.91279,79.14195,FALSE
65,1,3,1,3/3/2014,54,1,1,1,12.91303,79.14181,FALSE
66,1,3,1,2/24/2014,16,1,1,1,12.91196,79.14265,FALSE
67,1,3,1,2/24/2014,18,1,1,1,12.9122,79.14422,FALSE
