c_group,c_start,c_coordinates,_c_coordinates_latitude,_c_coordinates_longitude,_c_coordinates_altitude,_c_coordinates_precision,c_neighborhood,c_rainweek,c_participant_num,c_participant_gender,c_participant_female_obs,c_participant_male_obs,c_participant_n1,c_participant_n2,c_participant_n3,c_participant_n4,c_participant_n5,c_c_y,c_c_n,c_d_a_3,c_d_a_2,c_d_a_1,c_d_a_0,c_d_a_na,c_f_a_3,c_f_a_2,c_f_a_1,c_f_a_0,c_f_a_na,c_dw_a_3,c_dw_a_2,c_dw_a_1,c_dw_a_0,c_dw_a_na,c_dw_e_wt_1,c_dw_e_wt_0,c_dw_e_wt_na,c_bw_a_3,c_bw_a_2,c_bw_a_1,c_bw_a_0,c_bw_a_na,c_p_a_3,c_p_a_2,c_p_a_1,c_p_a_0,c_p_a_na,c_p_e_2,c_p_e_1,c_p_e_na,c_sf_a_3,c_sf_a_2,c_sf_a_1,c_sf_a_0,c_sf_a_na,c_pl_a_th_1,c_pl_a_th_0,c_pl_a_th_na,c_pl_a_tu_1,c_pl_a_tu_0,c_pl_a_tu_na,c_pl_a_tu_nl,c_pl_a_tw_1,c_pl_a_tw_0,c_pl_a_tw_na,c_pl_a_tw_nl,c_pl_a_tf_1,c_pl_a_tf_0,c_pl_a_tf_na,c_pl_a_tf_nl,c_participant_female_obs_mid,c_participant_male_obs_mid,c_d_c_3,c_d_c_2,c_d_c_1,c_d_c_0,c_d_c_na,c_f_c_3,c_f_c_2,c_f_c_1,c_f_c_0,c_f_c_na,c_dw_c_3,c_dw_c_2,c_dw_c_1,c_dw_c_0,c_dw_c_na,c_bw_c_3,c_bw_c_2,c_bw_c_1,c_bw_c_0,c_bw_c_na,c_p_c_3,c_p_c_2,c_p_c_1,c_p_c_0,c_p_c_na,c_sf_c_3,c_sf_c_2,c_sf_c_1,c_sf_c_0,c_sf_c_na,c_participant_female_obs_end,c_participant_male_obs_end,c_notes,c_enum,meta/instanceID,_uuid,_submission_time,_tags,_notes
DarouRahmane4,2019-11-14T12:30:00.000Z,14.781468333333331 -17.366148333333335 15.4 5.0,14.781468333333331,-17.366148333333335,15.4,5.0,409,0,15,1,15,0,15,0,0,0,0,15,0,12,0,0,2,1,8,4,2,1,0,15,0,0,0,0,4,4,7,15,0,0,0,0,5,5,4,0,1,14,1,0,5,1,4,5,0,13,2,0,12,1,0,2,12,2,0,1,12,0,1,2,15,0,5,3,2,2,3,11,2,0,1,1,15,0,0,0,0,14,0,1,0,0,3,3,5,3,1,14,1,0,0,0,15,0,n/a,"AMD, AMB,  A. M. D.,  TD,  ST et SD. ",uuid:a8508ea9-922e-473a-8093-736a81d9f467,a8508ea9-922e-473a-8093-736a81d9f467,2019-11-14T16:01:54,,
DarouRahmane4,2019-11-14T14:36:00.000Z,14.78143 -17.366225 14.4 5.0,14.78143,-17.366225,14.4,5.0,409,0,15,0,0,15,15,0,0,0,0,15,0,15,0,0,0,0,5,3,0,2,1,14,0,0,0,1,3,4,8,13,1,1,0,0,7,6,2,0,0,15,0,0,11,3,0,1,0,14,0,1,13,0,1,1,12,3,0,0,13,2,0,0,0,15,11,3,1,0,0,10,2,3,0,0,14,1,0,0,0,15,0,0,0,0,10,4,1,0,0,13,1,1,0,0,0,15,"Manques canalisation et écoles,  insécurité,  enclavement, pas de marché,  manque de décharges publiques. ","AMD,   AD,  TD,  A MB, ST, SD. ",uuid:eafa99b4-dfee-460c-8e69-b75fb98aa184,eafa99b4-dfee-460c-8e69-b75fb98aa184,2019-11-14T16:01:56,,
DarouRahmane4,2019-11-15T11:02:00.000Z,14.781571666666666 -17.365863333333333 65.3 5.0,14.781571666666666,-17.365863333333333,65.3,5.0,409,0,15,1,15,0,15,0,0,0,0,15,0,13,1,0,1,0,8,3,4,0,0,14,1,0,0,0,3,12,0,15,0,0,0,0,12,1,2,0,0,15,0,0,11,2,2,0,0,14,1,0,12,3,0,0,15,0,0,0,13,2,0,0,15,0,11,0,1,3,0,8,3,0,4,0,14,1,0,0,0,15,0,0,0,0,12,1,2,0,0,15,0,0,0,0,15,0,n/a,"AMD, AMB,  AD,  TD,  ST, AC,  YH",uuid:71b107be-6588-4ad6-9366-8aa8b8d77c22,71b107be-6588-4ad6-9366-8aa8b8d77c22,2019-11-15T14:06:20,,
DarouRahmane4,2019-11-15T11:27:00.000Z,14.781554999999999 -17.366028333333336 77.6 4.0,14.781554999999999,-17.366028333333336,77.6,4.0,409,0,15,0,0,15,15,0,0,0,0,15,0,7,2,2,3,1,8,3,1,3,0,15,0,0,0,0,4,11,0,11,0,4,0,0,7,2,5,1,0,14,0,1,6,4,5,0,0,13,2,0,15,0,0,0,14,1,0,0,10,5,0,0,0,15,7,3,4,1,0,7,3,4,1,0,15,0,0,0,0,14,1,0,0,0,10,2,3,0,0,11,1,3,0,0,0,15,"Le Lac Thiourour se déverse dans le quartier, manque de connection aux égouts,  problème d'évacuation des ordures,  problème de marché dans le quartier. ","AMD,  AMB, TD,  ST,  AD, AC",uuid:719a5d30-1007-47d1-af6b-ecb940cb6133,719a5d30-1007-47d1-af6b-ecb940cb6133,2019-11-15T14:06:20,,
MedinaGounass3B,2019-11-18T10:50:00.000Z,14.772211666666665 -17.383628333333334 18.1 4.5,14.772211666666665,-17.383628333333334,18.1,4.5,410,0,15,1,15,0,0,15,0,0,0,15,0,9,3,3,0,0,8,3,3,1,0,14,1,0,0,0,9,6,0,14,1,0,0,0,6,6,3,0,0,15,0,0,5,3,5,2,0,15,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,6,4,3,1,1,9,2,3,0,1,14,0,0,0,1,10,2,2,0,1,6,4,4,0,1,9,4,2,0,0,15,0,"Manque d'assainissement,  mauvais état des toilettes,  existence de vidange manuelle. ","AMD,  AMB,  TD,  ST et AD",uuid:a0e9cbef-5af3-4f73-b898-8c321490e4d4,a0e9cbef-5af3-4f73-b898-8c321490e4d4,2019-11-18T15:56:10,,
MedinaGounass3B,2019-11-18T12:12:00.000Z,14.772216666666669 -17.383513333333333 47.3 5.0,14.772216666666669,-17.383513333333333,47.3,5.0,410,0,15,0,0,15,0,15,0,0,0,15,0,7,3,0,5,0,3,3,4,5,0,15,0,0,0,0,2,13,0,10,3,2,0,0,3,3,9,0,0,14,0,1,8,1,5,1,0,15,0,0,14,1,0,0,9,5,1,0,10,5,0,0,0,15,3,1,5,5,1,3,4,5,3,0,15,0,0,0,0,11,2,2,0,0,9,3,3,0,0,10,3,1,1,0,0,15,"Déversement eaux usées dans les rues,  enclavement, manque d'assainissement,  assurer le suivi,  désherbage du bassin de rétention. ","AMD, AMB, TD, ST et AD. ",uuid:0d98a758-9156-40ec-bebc-e7d66248ad60,0d98a758-9156-40ec-bebc-e7d66248ad60,2019-11-18T16:04:01,,
MedinaGounass3B,2019-11-19T09:50:00.000Z,14.772613333333334 -17.383985 26.4 4.5,14.772613333333334,-17.383985,26.4,4.5,410,0,15,1,15,0,0,15,0,0,0,15,0,13,0,1,1,0,11,2,0,2,0,14,0,0,1,0,7,8,0,12,2,1,0,0,7,4,4,0,0,14,0,1,5,3,4,2,1,15,0,0,15,0,0,0,15,0,0,0,9,6,0,0,15,0,10,3,1,1,0,12,1,1,1,0,15,0,0,0,0,13,0,2,0,0,12,2,1,0,0,5,9,1,0,0,15,0,"Problème d'assainissement,  changement de comportement,  nécessité de sensibiliser.  Les questions sont claires et compréhensibles. ","AMD,  AMB,  TD,  ST,  AS et ND. NG. F",uuid:97c80856-7df2-4fef-9010-741ceaf51a8c,97c80856-7df2-4fef-9010-741ceaf51a8c,2019-11-19T13:33:33,,
MedinaGounass3B,2019-11-19T11:28:00.000Z,14.772788333333331 -17.384346666666666 -16.2 4.9,14.772788333333331,-17.384346666666666,-16.2,4.9,410,0,15,0,0,15,0,15,0,0,0,15,0,7,3,2,2,1,2,3,5,5,0,14,0,0,1,0,2,12,1,11,3,1,0,0,1,3,9,2,0,15,0,0,3,3,7,2,0,14,0,1,15,0,0,0,14,1,0,0,7,8,0,0,0,15,6,2,1,6,0,4,4,5,2,0,15,0,0,0,0,14,1,0,0,0,5,4,5,1,0,6,4,4,0,1,0,15,"Vidange manuelle,  manque d'assainissement,  enclavement,  problème de suivi avec les ONG,  Nécessité d'avoir des camions de vidange et des toilettes dans les maisons. ","AMD, TD, ST, AMB, AD et ND. NG. F. ",uuid:35117b26-795b-4d16-ad27-31924392e973,35117b26-795b-4d16-ad27-31924392e973,2019-11-19T13:33:38,,
DTK,2019-11-20T11:06:00.000Z,14.761798333333335 -17.383991666666667 18.0 4.9,14.761798333333335,-17.383991666666667,18.0,4.9,411,0,15,1,15,0,0,0,15,0,0,15,0,14,0,0,0,1,14,1,0,0,0,14,0,0,0,1,2,12,1,12,3,0,0,0,2,9,2,2,0,14,0,1,5,8,1,0,1,14,0,1,14,0,1,0,11,3,1,0,12,2,1,0,15,0,13,1,0,1,0,13,1,0,0,1,14,0,0,0,1,10,4,0,0,1,9,6,0,0,0,14,0,1,0,0,15,0,Il y a beaucoup plus de cas de diarrhée à DTK par rapport aux autres communes. ,"AMD,  AMB, AD, ST et SD. ",uuid:702d4338-6ed5-4e2c-8aba-32027024f842,702d4338-6ed5-4e2c-8aba-32027024f842,2019-11-20T18:23:13,,
DTK,2019-11-20T12:23:00.000Z,14.761723333333334 -17.38407833333333 7.1 4.8,14.761723333333334,-17.38407833333333,7.1,4.8,411,0,15,0,0,15,0,0,15,0,0,15,0,8,3,2,1,1,12,0,0,1,2,15,0,0,0,0,1,13,1,11,4,0,0,0,10,3,2,0,0,15,0,0,8,3,3,0,1,15,0,0,15,0,0,0,14,1,0,0,13,2,0,0,0,15,12,1,1,0,1,12,1,1,0,1,15,0,0,0,0,15,0,0,0,0,5,3,6,1,0,12,2,1,0,0,0,15,Demande s'il y aura un suivi pour le projet.,"AMD,  AMB,  AD, ST et SD.",uuid:7686a29d-4c61-42bb-9797-73956f8b1eb8,7686a29d-4c61-42bb-9797-73956f8b1eb8,2019-11-20T18:23:14,,
