lab_start_dt,lab_sample_type,lab_id,lab_id_val,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_p_weight,lab_sf_weight,lab_pa_weight,lab_1_group/lab_1_dil_tested,lab_1_group/lab_1_volume,lab_1_ecoli_reading_idexx,lab_1_ecoli_big_idexx,lab_1_ecoli_small_idexx,lab_2_group/lab_2_dil_tested,lab_2_group/lab_2_volume,lab_2_ecoli_reading_idexx,lab_2_ecoli_big_idexx,lab_2_ecoli_small_idexx,lab_3_dilution_performed,lab_3_group/lab_3_dil_tested,lab_3_group/lab_3_volume,lab_3_ecoli_reading_idexx,lab_3_ecoli_big_idexx,lab_3_ecoli_small_idexx,lab_notes,lab_enum,lab_photo,lab_end_dt,col_start_dt,col_end_dt,meta/instanceID,_uuid,_submission_time,_tags,_notes
2019-10-10T14:06:38.000+02:00,10,1800,1800,2019-10-07T11:53:00.000+02:00,2019-10-07T12:41:00.000+02:00,2019-10-08T14:00:00.000+02:00,n/a,65.7,n/a,7,10,2,0,0,7,1,2,0,0,1,6,1,2,0,0,n/a,wilson,0,2019-10-10T14:11:42.000+02:00,2019-10-10T14:06:38.000+02:00,2019-10-10T14:11:42.000+02:00,uuid:d9a5a678-beee-4318-ad55-8cfc45b3d1f6,d9a5a678-beee-4318-ad55-8cfc45b3d1f6,2019-10-10T12:10:20,,
2019-10-10T14:11:42.000+02:00,10,1801,1801,2019-10-07T11:53:00.000+02:00,2019-10-07T12:41:00.000+02:00,2019-10-08T14:00:00.000+02:00,n/a,70,n/a,7,10,2,0,0,7,1,2,0,0,1,6,1,2,0,0,n/a,wilson,0,2019-10-10T14:13:59.000+02:00,2019-10-10T14:11:42.000+02:00,2019-10-10T14:13:59.000+02:00,uuid:581af354-8cf4-4f14-b93c-8f53e0b10308,581af354-8cf4-4f14-b93c-8f53e0b10308,2019-10-10T12:12:36,,
2019-10-10T14:13:59.000+02:00,8,1601,1601,2019-10-07T11:53:00.000+02:00,2019-10-07T13:30:00.000+02:00,2019-10-08T14:00:00.000+02:00,n/a,n/a,192.8,7,1,2,34,12,6,1,2,8,2,1,5,1,2,1,0,n/a,dorcas,0,2019-10-10T14:16:37.000+02:00,2019-10-10T14:13:59.000+02:00,2019-10-10T14:16:37.000+02:00,uuid:323e8adf-dc0d-4207-924a-e9754d95aad9,323e8adf-dc0d-4207-924a-e9754d95aad9,2019-10-10T12:15:13,,
2019-10-10T14:16:37.000+02:00,8,1600,1600,2019-10-07T11:53:00.000+02:00,2019-10-07T13:30:00.000+02:00,2019-10-08T14:00:00.000+02:00,n/a,n/a,442,7,1,2,0,0,6,1,2,0,0,1,5,1,2,0,0,n/a,dorcas,0,2019-10-10T14:18:23.000+02:00,2019-10-10T14:16:37.000+02:00,2019-10-10T14:18:23.000+02:00,uuid:aff92baa-701d-405b-a088-c207313c13a9,aff92baa-701d-405b-a088-c207313c13a9,2019-10-10T12:17:01,,
2019-10-10T14:18:23.000+02:00,7,1500,1500,2019-10-07T11:53:00.000+02:00,2019-10-07T13:09:00.000+02:00,2019-10-08T14:00:00.000+02:00,n/a,n/a,n/a,7,10,2,0,0,6,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,dorcas,0,2019-10-10T14:20:31.000+02:00,2019-10-10T14:18:23.000+02:00,2019-10-10T14:20:31.000+02:00,uuid:4a998835-cbd2-406a-8df1-b3b45f34e773,4a998835-cbd2-406a-8df1-b3b45f34e773,2019-10-10T12:20:11,,
2019-10-10T14:20:31.000+02:00,7,1501,1501,2019-10-07T11:53:00.000+02:00,2019-10-07T13:09:00.000+02:00,2019-10-08T14:00:00.000+02:00,n/a,n/a,n/a,7,10,2,0,0,6,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,dorcas,0,2019-10-10T14:24:28.000+02:00,2019-10-10T14:20:31.000+02:00,2019-10-10T14:24:28.000+02:00,uuid:a351ea99-c992-4292-842f-468fc11dfb08,a351ea99-c992-4292-842f-468fc11dfb08,2019-10-10T12:23:06,,
2019-10-10T14:24:28.000+02:00,2,1701,1701,2019-10-07T11:53:00.000+02:00,2019-10-07T13:00:00.000+02:00,2019-10-08T14:00:00.000+02:00,332,n/a,n/a,7,10,2,0,0,7,1,2,0,0,1,6,1,2,0,0,n/a,dorcas,0,2019-10-10T14:26:48.000+02:00,2019-10-10T14:24:28.000+02:00,2019-10-10T14:26:48.000+02:00,uuid:2a7db688-13af-45c2-8bdd-7233394e031e,2a7db688-13af-45c2-8bdd-7233394e031e,2019-10-10T12:25:25,,
2019-10-10T14:26:48.000+02:00,2,1700,1700,2019-10-07T11:53:00.000+02:00,2019-10-07T13:00:00.000+02:00,2019-10-08T14:00:00.000+02:00,77.91,n/a,n/a,7,10,2,0,0,7,1,2,0,0,1,6,1,2,0,0,n/a,dorcas,0,2019-10-10T14:28:32.000+02:00,2019-10-10T14:26:48.000+02:00,2019-10-10T14:28:32.000+02:00,uuid:8afd746c-5000-4887-bad2-0f722add2e6d,8afd746c-5000-4887-bad2-0f722add2e6d,2019-10-10T12:27:10,,
2019-10-10T14:28:32.000+02:00,1,1401,1401,2019-10-07T11:53:00.000+02:00,2019-10-07T12:33:00.000+02:00,2019-10-08T14:00:00.000+02:00,n/a,n/a,n/a,4,1,2,0,0,3,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,wilson,0,2019-10-10T14:30:19.000+02:00,2019-10-10T14:28:32.000+02:00,2019-10-10T14:30:19.000+02:00,uuid:6b058dde-7886-4e7d-aa99-a4e4ed7fd1a0,6b058dde-7886-4e7d-aa99-a4e4ed7fd1a0,2019-10-10T12:28:57,,
2019-10-10T14:30:19.000+02:00,1,1400,1400,2019-10-07T11:53:00.000+02:00,2019-10-07T12:33:00.000+02:00,2019-10-08T14:00:00.000+02:00,n/a,n/a,n/a,4,1,2,2,0,3,1,2,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,wilson,0,2019-10-10T14:31:28.000+02:00,2019-10-10T14:30:19.000+02:00,2019-10-10T14:31:28.000+02:00,uuid:7e828fae-d0d1-4643-bc54-030f1368f0da,7e828fae-d0d1-4643-bc54-030f1368f0da,2019-10-10T12:30:05,,
