col_neighborhood,col_sample_type,col_id,col_id_val,col_start,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_weather,col_rainyest,col_rainweek,col_rainmon,col_pa_prox,col_pa_type,col_pa_type_other,col_pa_latrine_distance,col_bw_type,col_bw_type_other,col_bw_container,col_bw_container_lid,col_bw_cl_id,col_bw_cl_free,col_bw_cl_total,col_f_latrine_distance,col_p_type,col_p_type_other,col_p_num,col_dw_type,col_dw_type_other,col_dw_container,col_dw_container_lid,col_dw_id,col_dw_cl_free,col_dw_cl_total,col_odw_type,col_odw_container,col_odw_container_lid,col_odw_id,col_odw_cl_free,col_odw_cl_total,col_l_toilet_type,col_l_toilet_type_other,col_l_toilet_stalls,col_l_toilet_feces,col_l_toilet_users,col_l_toilet_hw,col_s_type,col_s_type_other,col_d_water_level,col_d_water_flow,col_d_size,col_d_lining,col_d_lining_oth,col_d_feces,col_d_animals,col_d_schools,col_d_urban_ag,col_d_public_latrines,col_d_hh_latrines,col_d_shops,col_d_hh,col_d_hh_num,col_sf_type,col_sf_type_other,col_notes,col_enum,col_photo,meta/instanceID,_uuid,_submission_time,_tags,_notes
380,10,3803,3803,2019-10-22T08:31:00.000+02:00,-15.38007 28.242615 1251.9 4.5,-15.38007,28.242615,1251.9,4.5,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,3803,3803,Nchimunya,0,uuid:93d28d9c-a8e5-430b-a205-0046a0b1ccae,93d28d9c-a8e5-430b-a205-0046a0b1ccae,2019-10-23T13:21:29,,
381,10,1802,1802,2019-10-08T08:14:00.000+02:00,-15.4443254 28.28455096 1280.0 4.5509996,-15.4443254,28.28455096,1280,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Cassava,n/a,Chilufya,1,uuid:378f3606-ec21-4bc3-ad45-2ec2242d53b3,378f3606-ec21-4bc3-ad45-2ec2242d53b3,2019-10-09T03:43:02,,
381,10,1805,1805,2019-10-09T08:20:00.000+02:00,-15.44866799 28.27628474 1285.0 4.5509996,-15.44866799,28.27628474,1285,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Chikanda,n/a,Chilufya,1,uuid:f4bbf117-f255-41d6-9d4d-68d852c22985,f4bbf117-f255-41d6-9d4d-68d852c22985,2019-10-10T04:03:08,,
381,10,1801,1801,2019-10-07T08:54:00.000+02:00,-15.44485898 28.27545794 1280.0 4.5509996,-15.44485898,28.27545794,1280,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Doughnut,n/a,Nchimunya,1,uuid:a43bc819-0313-4883-986a-c6ef4cb795bc,a43bc819-0313-4883-986a-c6ef4cb795bc,2019-10-08T03:03:18,,
381,10,1809,1809,2019-10-10T08:00:00.000+02:00,-15.45562351 28.28521584 1287.0 4.5509996,-15.45562351,28.28521584,1287,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Doughnut,n/a,Chilufya,1,uuid:af39fdc1-1cd0-45c0-89f0-41053e844d5e,af39fdc1-1cd0-45c0-89f0-41053e844d5e,2019-10-11T05:58:13,,
382,10,2802,2802,2019-10-14T08:30:00.000+02:00,-15.32990906 28.30476441 1230.0 6.068,-15.32990906,28.30476441,1230,6.068,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Doughnut,n/a,Chilufya,0,uuid:face326a-e31c-49db-8ee8-3fbd4bb18d19,face326a-e31c-49db-8ee8-3fbd4bb18d19,2019-10-14T15:14:35,,
382,10,2804,2804,2019-10-15T07:36:00.000+02:00,-15.33562716 28.30812894 1229.0 4.5509996,-15.33562716,28.30812894,1229,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Doughnut,n/a,Nchimunya,0,uuid:cf3fbe60-b624-4bf2-bf39-074546ac88a5,cf3fbe60-b624-4bf2-bf39-074546ac88a5,2019-10-15T06:52:21,,
382,10,2800,2800,2019-10-17T10:09:00.000+02:00,-15.35177231 28.27956798 1225.0 4.5509996,-15.35177231,28.27956798,1225,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Doughnut,n/a,Chilufya,0,uuid:8d780f16-62ed-4851-acfb-8006f5d78f39,8d780f16-62ed-4851-acfb-8006f5d78f39,2019-10-17T15:08:43,,
382,10,2809,2809,2019-10-16T08:29:00.000+02:00,-15.34042359 28.31046984 1228.0 4.5509996,-15.34042359,28.31046984,1228,4.5509996,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Fritter,n/a,Nchimunya,0,uuid:0d9fcd81-e2a6-4338-82fc-ce2a9f23889e,0d9fcd81-e2a6-4338-82fc-ce2a9f23889e,2019-10-16T13:44:16,,
380,10,3804,3804,2019-10-22T10:05:00.000+02:00,-15.379214999999999 28.23765 1247.8 1.0,-15.379215,28.23765,1247.8,1,1,0,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,Fritter,n/a,Chilufya,1,uuid:3216f74c-4813-4f89-9d18-9d7c0a4e25f8,3216f74c-4813-4f89-9d18-9d7c0a4e25f8,2019-10-23T13:21:36,,
