"col_start_dt","subscriberid","simserial","deviceid","col_end_dt","col_neighborhood","col_sample_type","col_id","col_id_val","col_start","col_location","X_col_location_latitude","X_col_location_longitude","X_col_location_altitude","X_col_location_precision","col_weather","col_rainyest","col_rainweek","col_rainmon","col_pa_group","col_pa_prox","col_pa_type","col_pa_type_other","col_pa_latrine_distance","col_bw_group","col_bw_type","col_bw_type_other","col_bw_container","col_bw_container_lid","col_bw_cl_id","col_bw_cl_free","col_bw_cl_total","col_f_group","col_f_latrine_distance","col_p_group","col_p_type","col_p_type_other","col_p_num_note","col_p_num","col_dw_group","col_dw_type","col_dw_type_other","col_dw_container","col_dw_container_lid","col_dw_id","col_dw_cl_free","col_dw_cl_total","col_l_group","col_l_toilet_type","col_l_toilet_type_other","col_l_toilet_stalls","col_l_toilet_feces","col_l_toilet_users","col_l_toilet_hw","col_s_group","col_s_type","col_s_type_other","col_d_group","col_d_water_level","col_d_water_flow","col_d_size","col_d_lining","col_d_lining_oth","col_d_prompt","col_d_feces","col_d_animals","col_d_schools","col_d_urban_ag","col_d_public_latrines","col_d_hh_latrines","col_d_shops","col_d_hh","col_d_hh_num","col_sf_type","col_sf_type_other","col_o_type","col_o_type_other","col_close","col_notes","col_enum","col_photo","X__version__","X_id","X_uuid","X_submission_time","X_index","col_extra_data","dply_num","col_UID","col_date","col_sample_type_alt","neighb_UID","city","citylabel"
"2019-11-14T09:53:00.000Z",,,,"",1,3,3001,3001,"","14.781445 -17.366156666666665 32.1 3.5",14.781445,-17.3661566666667,32.1,3.5,1,0,0,0,,,,"",,,,"",,,,,,,,,,"",,,,3,"",0,,,,,,,"",,,,,,,"",,,,,,"",,,,,,,,,,,,"",,,,"Robinet tout prêt des toilettes et des poubelles","Fall, Baldè, Seye, CISSE",1,,,"b33085c2-2a3e-48e2-8c96-df88b309120c","2019-11-20T17:04:44",,1,12,"12_03_3001","2019-11-14","Drinking Water",1201,"Dakar","Dakar 19"
"2019-11-14T10:07:00.000Z",,,,"",1,3,3002,3002,"","14.781176666666665 -17.36665 7.9 4.9",14.7811766666667,-17.36665,7.9,4.9,1,0,0,0,,,,"",,,,"",,,,,,,,,,"",,,,3,"",0,,,,,,,"",,,,,,,"",,,,,,"",,,,,,,,,,,,"",,,,"Robinet pres de la fosse","Fall, seye, balde et cisse",1,,,"2830ce7b-f62c-41c4-a9e4-e25422ece89e","2019-11-20T17:04:45",,1,12,"12_03_3002","2019-11-14","Drinking Water",1201,"Dakar","Dakar 19"
"2019-11-14T10:24:00.000Z",,,,"",1,1,4001,4001,"","14.782608333333334 -17.366938333333334 40.0 7.1",14.7826083333333,-17.3669383333333,40,7.1,1,0,0,0,,,,"",,,,"",,,,,,,,,,"",,,,,"",,,,,,,,"",,,,,,,"",,1,2,3,4,"",,1,1,0,0,0,0,0,0,,,"",,,,"Pres des ordures","Fall, seye, balde et cisse",1,,,"00a13316-4a2a-4f63-a04a-eb28c06d6857","2019-11-20T17:04:45",,1,12,"12_01_4001","2019-11-14","",1201,"Dakar","Dakar 19"
"2019-11-14T10:32:00.000Z",,,,"",1,1,4002,4002,"","14.782798333333336 -17.365806666666668 -2.6 6.3",14.7827983333333,-17.3658066666667,-2.6,6.3,1,0,0,0,,,,"",,,,"",,,,,,,,,,"",,,,,"",,,,,,,,"",,,,,,,"",,2,2,2,2,"",,1,1,0,1,0,0,0,0,,,"",,,,"Cette eau est utilisee pour la culture","Fall, seye, balde et cisse",1,,,"6b91f325-cb56-49d1-9fd5-a6d0fe431802","2019-11-20T17:04:46",,1,12,"12_01_4002","2019-11-14","",1201,"Dakar","Dakar 19"
"2019-11-14T10:40:00.000Z",,,,"",1,1,4003,4003,"","14.782988333333332 -17.365251666666666 4.1 7.0",14.7829883333333,-17.3652516666667,4.1,7,1,0,0,0,,,,"",,,,"",,,,,,,,,,"",,,,,"",,,,,,,,"",,,,,,,"",,1,1,1,4,"",,0,0,0,1,0,0,0,1,2,,"",,,,"En face espace de culture","Fall, seye, balde et cisse",1,,,"ff6046ed-f332-4142-a225-548528bcc440","2019-11-20T17:04:46",,1,12,"12_01_4003","2019-11-14","",1201,"Dakar","Dakar 19"
"2019-11-14T10:45:00.000Z",,,,"",1,3,3003,3003,"","14.78309 -17.365091666666668 -3.3 4.9",14.78309,-17.3650916666667,-3.3,4.9,1,0,0,0,,,,"",,,,"",,,,,,,,,,"",,,,3,"",0,,,,,,,"",,,,,,,"",,,,,,"",,,,,,,,,,,,"",,,,"Pres de la fosse","Fall, seye, balde et cisse",1,,,"d852f9e8-4494-4356-bad0-ff7e48559d50","2019-11-20T17:04:47",,1,12,"12_03_3003","2019-11-14","Drinking Water",1201,"Dakar","Dakar 19"
"2019-11-14T10:53:00.000Z",,,,"",1,3,3004,3004,"","14.781945 -17.36537 14.5 5.1",14.781945,-17.36537,14.5,5.1,1,0,0,0,,,,"",,,,"",,,,,,,,,,"",,,,3,"",0,,,,,,,"",,,,,,,"",,,,,,"",,,,,,,,,,,,"",,,,"En face des toilettes","Fall, seye, balde et cisse",1,,,"c785fab2-9ae2-4504-b4aa-ca0be5f479e4","2019-11-20T17:04:47",,1,12,"12_03_3004","2019-11-14","Drinking Water",1201,"Dakar","Dakar 19"
"2019-11-14T11:03:00.000Z",,,,"",1,1,4004,4004,"","14.780495 -17.366181666666666 7.1 7.4",14.780495,-17.3661816666667,7.1,7.4,1,0,0,0,,,,"",,,,"",,,,,,,,,,"",,,,,"",,,,,,,,"",,,,,,,"",,1,1,1,4,"",,1,1,0,0,0,0,0,1,4,,"",,,,"En dessous de l'espace d'elevage et eaux usees issues de la fosse a l'interieur de la maison","Fall, seye, balde et cisse",1,,,"ece3b26f-886e-4bcd-850c-148b3d78f195","2019-11-20T17:04:48",,1,12,"12_01_4004","2019-11-14","",1201,"Dakar","Dakar 19"
"2019-11-14T11:13:00.000Z",,,,"",1,3,3015,3015,"","14.78027 -17.365408333333335 -20.2 6.5",14.78027,-17.3654083333333,-20.2,6.5,1,0,0,0,,,,"",,,,"",,,,,,,,,,"",,,,3,"",0,,,,,,,"",,,,,,,"",,,,,,"",,,,,,,,,,,,"",,,,"A cote des toilettes","Fall, seye, balde et cisse",1,,,"ad943599-81bc-452b-80fc-bc02aad59fe4","2019-11-20T17:04:48",,1,12,"12_03_3015","2019-11-14","Drinking Water",1201,"Dakar","Dakar 19"
"2019-11-14T11:20:00.000Z",,,,"",1,1,4005,4005,"","14.780353333333334 -17.365975 -14.0 6.8",14.7803533333333,-17.365975,-14,6.8,1,0,0,0,,,,"",,,,"",,,,,,,,,,"",,,,,"",,,,,,,,"",,,,,,,"",,1,2,1,3,"",,0,0,0,0,0,0,0,1,2,,"",,,,"Ecoulement venant du tuyau de la maison","Fall",1,,,"6bba51b9-bf52-4fdc-bf16-74bdf81f60ce","2019-11-20T17:04:49",,1,12,"12_01_4005","2019-11-14","",1201,"Dakar","Dakar 19"
