"UID","dply_num","lab_date","sample_type","col_sample_type_alt","sampleid","mf","neighborhood","neighb_UID","lab_1_ecoli","lab_2_ecoli","lab_3_ecoli","ec_dil1","ec_dil2","ec_dil3","ec_ecnt1","ec_ecnt2","ec_ecnt3","count1","count2","dil1","dil2","ec_conc","sample_type_name","sample_type_var","country","city","citylabel"
"12_01_4001",12,"2019-11-14",1,"",4001,TRUE,1,1201,999,999,,100,1,,999,999,,999,999,100,1,20000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4002",12,"2019-11-14",1,"",4002,TRUE,1,1201,999,999,,100,1,,999,999,,999,999,100,1,20000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4003",12,"2019-11-14",1,"",4003,TRUE,1,1201,999,999,,100,1,,999,999,,999,999,100,1,20000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4004",12,"2019-11-14",1,"",4004,TRUE,1,1201,999,999,,100,1,,999,999,,999,999,100,1,20000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4005",12,"2019-11-14",1,"",4005,TRUE,1,1201,999,999,,100,1,,999,999,,999,999,100,1,20000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4006",12,"2019-11-18",1,"",4006,TRUE,1,1201,999,58,,100,1,,999,58,,999,58,100,1,5800,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4007",12,"2019-11-18",1,"",4007,TRUE,1,1201,999,56,,100,1,,999,56,,999,56,100,1,5600,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4008",12,"2019-11-18",1,"",4008,TRUE,1,1201,999,999,,100,1,,999,999,,999,999,100,1,20000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4009",12,"2019-11-18",1,"",4009,TRUE,1,1201,999,999,,100,1,,999,999,,999,999,100,1,20000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4010",12,"2019-11-18",1,"",4010,TRUE,1,1201,999,999,,100,1,,999,999,,999,999,100,1,20000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4011",12,"2019-11-22",1,"",4011,TRUE,2,1202,999,999,,100,0.1,,999,999,,999,999,100,0.1,2e+05,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4012",12,"2019-11-22",1,"",4012,TRUE,2,1202,999,999,,100,1,,999,999,,999,999,100,1,20000,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4013",12,"2019-11-22",1,"",4013,TRUE,2,1202,200,999,,100,1,,200,999,,200,999,100,1,,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
"12_01_4014",12,"2019-11-22",1,"",4014,TRUE,2,1202,0,0,,100,1,,0,0,,0,0,100,1,0.5,"Open Drain Water","d","Senegal","Dakar","Dakar 19"
