"deviceid","h_id","h_start","h_coordinates","X_h_coordinates_latitude","X_h_coordinates_longitude","X_h_coordinates_altitude","X_h_coordinates_precision","h_neighborhood","h_home_type","h_rainweek","h_population","h_c","h_s","h_s_a","h_s_a_other","h_s_c","h_s_c_other","h_d","h_d_a","h_d_a_other","h_d_c","h_d_c_other","h_f","h_f_a","h_f_a_other","h_f_c","h_f_c_other","h_dw","h_dw_a","h_dw_a_other","h_dw_c","h_dw_c_other","h_dw_e_wt_note","h_dw_e_wt","h_dw_e_wt_other","h_o","h_o_a","h_o_a_other","h_o_c","h_o_c_other","h_bw","h_bw_a","h_bw_a_other","h_bw_c","h_bw_c_other","h_p","h_p_a","h_p_a_other","h_p_c","h_p_c_other","h_p_e","h_p_e_other","h_sf","h_sf_a","h_sf_a_other","h_sf_c","h_sf_c_other","h_l","h_l_a","h_l_a_other","h_l_c","h_l_c_other","h_pl","h_pl_a_th","h_pl_a_th_other","h_pl_a_tu","h_pl_a_tu_other","h_pl_a_tw","h_pl_a_tw_other","h_pl_a_tf","h_pl_a_tf_other","h_pl_a_ts","h_pl_a_ts_other","h_pl_a_od","h_pl_a_od.1","h_pl_a_od.2","h_pl_a_od.3","h_pl_a_od.4","h_pl_a_od.5","h_pl_a_od.6","h_pl_a_od.7","h_pl_a_od_other","h_end","h_notes","h_enum","X_id","X_uuid","X_submission_time","X_index","h_odw","h_odw_a","h_odw_a_other","h_odw_c","h_odw_c_other","h_odw2","h_odw2_a","h_odw2_a_other","h_odw2_c","h_odw2_c_other","h_extra_data","dply_num","h_UID","h_date","neighb_UID","city.x","citylabel","city.y"
,1000,"2019-11-14T10:32:00.000Z","14.780475000000001 -17.366631666666667 12.3 5.0",14.780475,-17.3666316666667,12.3,5,409,1,0,12,1,,,"",,"",,1,"",1,"",,2,"",1,"",,1,"",1,"",,2,"",,,,,,,1,,1,,,2,"",2,"",1,"",,2,"",2,"",,,"",,"",,1,"",1,,1,"",2,,3,"","",1,0,0,0,0,0,0,"","","","Salimata Ciss",,"3ec45928-b1df-4ef0-8e55-ce3cd5ce81d7","2019-11-14T13:05:00",,,,"",,"",,,"",,"",0,12,"12_1000","2019-11-14",12409,"Dakar","Dakar 19","Dakar"
,1001,"2019-11-14T10:43:00.000Z","14.780608333333332 -17.366678333333333 36.2 5.0",14.7806083333333,-17.3666783333333,36.2,5,409,2,0,18,1,,,"",,"",,4,"",4,"",,4,"",4,"",,1,"",1,"",,2,"",,,,,,,2,,2,,,3,"",3,"",1,"",,2,"",2,"",,,"",,"",,1,"",1,,2,"",2,,4,"","",0,1,0,0,0,0,0,"","","","Salimata Ciss",,"0722aee2-2bcc-4d3e-a410-01b44c879bc0","2019-11-14T13:05:01",,,,"",,"",,,"",,"",0,12,"12_1001","2019-11-14",12409,"Dakar","Dakar 19","Dakar"
,1002,"2019-11-14T11:02:00.000Z","14.780768333333333 -17.367013333333333 -63.4 4.8",14.7807683333333,-17.3670133333333,-63.4,4.8,409,2,0,17,1,,,"",,"",,4,"",4,"",,1,"",1,"",,1,"",1,"",,1,"",,,,,,,2,,2,,,2,"",2,"",1,"",,3,"",3,"",,,"",,"",,1,"",1,,2,"",2,,3,"","",0,1,0,0,0,0,0,"","","","Salimata Ciss",,"766a6ea3-e802-46f4-b913-42bd8af5f5d6","2019-11-14T13:05:02",,,,"",,"",,,"",,"",0,12,"12_1002","2019-11-14",12409,"Dakar","Dakar 19","Dakar"
,1003,"2019-11-14T11:16:00.000Z","14.781018333333334 -17.366993333333333 24.1 4.7",14.7810183333333,-17.3669933333333,24.1,4.7,409,2,0,12,1,,,"",,"",,3,"",3,"",,1,"",1,"",,1,"",1,"",,2,"",,,,,,,2,,2,,,3,"",3,"",1,"",,2,"",2,"",,,"",,"",,1,"",1,,2,"",1,,1,"","",0,1,0,0,0,0,0,"","","","Salimata Ciss",,"e34f3a73-8305-46a5-a3aa-7b03efbc1487","2019-11-14T13:05:02",,,,"",,"",,,"",,"",0,12,"12_1003","2019-11-14",12409,"Dakar","Dakar 19","Dakar"
,1004,"2019-11-14T11:26:00.000Z","14.781080000000001 -17.367258333333332 38.0 4.5",14.78108,-17.3672583333333,38,4.5,409,1,0,5,1,,,"",,"",,4,"",4,"",,3,"",4,"",,1,"",1,"",,2,"",,,,,,,2,,2,,,3,"",3,"",1,"",,3,"",3,"",,,"",,"",,1,"",1,,2,"",2,,1,"","",0,1,0,0,0,1,0,"","","","Salimata Ciss",,"1bc4d717-ca8b-4d33-a86a-2e3bf8902058","2019-11-14T13:05:03",,,,"",,"",,,"",,"",0,12,"12_1004","2019-11-14",12409,"Dakar","Dakar 19","Dakar"
,1005,"2019-11-14T11:51:00.000Z","14.780398333333334 -17.366245 9.0 5.0",14.7803983333333,-17.366245,9,5,409,1,0,6,1,,,"",,"",,4,"",4,"",,3,"",3,"",,1,"",1,"",,2,"",,,,,,,2,,2,,,3,"",3,"",1,"",,4,"",3,"",,,"",,"",,1,"",1,,2,"",1,,3,"","",1,0,0,0,1,0,0,"","","","Salimata Ciss",,"a5971a20-544d-4a2e-94f6-3630238a772b","2019-11-14T13:05:03",,,,"",,"",,,"",,"",0,12,"12_1005","2019-11-14",12409,"Dakar","Dakar 19","Dakar"
,1006,"2019-11-14T11:59:00.000Z","14.780111666666668 -17.366251666666667 52.2 4.4",14.7801116666667,-17.3662516666667,52.2,4.4,409,2,0,30,1,,,"",,"",,4,"",4,"",,4,"",4,"",,1,"",1,"",,1,"",,,,,,,2,,2,,,3,"",3,"",1,"",,5,"",5,"",,,"",,"",,1,"",1,,2,"",1,,3,"","",0,0,0,0,0,1,0,"","","","Salimata Ciss",,"064e0900-6856-401d-af7a-d736efb34554","2019-11-14T13:05:04",,,,"",,"",,,"",,"",0,12,"12_1006","2019-11-14",12409,"Dakar","Dakar 19","Dakar"
,1007,"2019-11-14T12:12:00.000Z","14.780301666666666 -17.365826666666667 22.7 4.6",14.7803016666667,-17.3658266666667,22.7,4.6,409,1,0,8,1,,,"",,"",,4,"",4,"",,1,"",1,"",,1,"",1,"",,1,"",,,,,,,2,,2,,,3,"",3,"",1,"",,4,"",4,"",,,"",,"",,1,"",1,,2,"",2,,1,"","",1,0,0,0,0,0,0,"","","","Salimata CISS",,"76dbc57f-26ed-4020-81a7-ffa0bebac3fe","2019-11-14T13:05:05",,,,"",,"",,,"",,"",0,12,"12_1007","2019-11-14",12409,"Dakar","Dakar 19","Dakar"
,1008,"2019-11-14T12:24:00.000Z","14.780378333333333 -17.366061666666667 21.1 4.7",14.7803783333333,-17.3660616666667,21.1,4.7,409,1,0,11,1,,,"",,"",,2,"",2,"",,2,"",2,"",,1,"",1,"",,2,"",,,,,,,2,,2,,,3,"",3,"",1,"",,1,"",1,"",,,"",,"",,1,"",1,,2,"",2,,3,"","",0,0,0,0,1,0,0,"","","","Salimata Ciss",,"fbd85fbf-397e-4f3b-a1a0-8a14eddf8694","2019-11-14T13:05:05",,,,"",,"",,,"",,"",0,12,"12_1008","2019-11-14",12409,"Dakar","Dakar 19","Dakar"
,1009,"2019-11-14T12:43:00.000Z","14.78051 -17.365676666666666 22.4 5.0",14.78051,-17.3656766666667,22.4,5,409,1,0,22,1,,,"",,"",,3,"",3,"",,4,"",4,"",,1,"",1,"",,2,"",,,,,,,5,,5,,,2,"",2,"",1,"",,2,"",2,"",,,"",,"",,1,"",1,,2,"",2,,1,"","",0,0,0,0,1,0,0,"","","","Salimata Ciss",,"2848e3d6-b49d-4f8f-93eb-6b823ed6352d","2019-11-14T13:05:06",,,,"",,"",,,"",,"",0,12,"12_1009","2019-11-14",12409,"Dakar","Dakar 19","Dakar"
