"UID","dply_num","lab_date","sample_type","col_sample_type_alt","sampleid","mf","neighborhood","neighb_UID","lab_1_ecoli","lab_2_ecoli","lab_3_ecoli","ec_dil1","ec_dil2","ec_dil3","ec_ecnt1","ec_ecnt2","ec_ecnt3","count1","count2","dil1","dil2","ec_conc"
"01_02_1270",1,"2016-09-08",2,"","1270",TRUE,"1",101,998,11,1,10,1,0.1,998,11,1,998,11,10,1,5500
"01_02_1271",1,"2016-09-08",2,"","1271",TRUE,"1",101,24,9,3,10,1,0.1,24,9,3,24,9,10,1,1200
"01_02_1272",1,"2016-09-08",2,"","1272",TRUE,"1",101,998,999,999,10,1,0.1,998,999,999,998,999,10,1,1e+06
"01_02_1273",1,"2016-09-12",2,"","1273",TRUE,"1",101,998,75,10,100,1,0.1,998,75,10,998,75,100,1,43750
"01_02_1274",1,"2016-09-12",2,"","1274",TRUE,"1",101,9,2,0,10,1,0.1,9,2,0,9,2,10,1,725
"01_02_1275",1,"2016-09-12",2,"","1275",TRUE,"1",101,999,999,69,10,1,0.1,999,999,69,999,999,10,1,345000
"01_02_1276",1,"2016-09-12",2,"","1276",TRUE,"1",101,999,999,42,10,1,0.1,999,999,42,999,999,10,1,210000
"01_02_1277",1,"2016-09-15",2,"","1277",TRUE,"1",101,15,0,1,10,1,0.1,15,0,1,15,0,10,1,
"01_02_1278",1,"2016-09-15",2,"","1278",TRUE,"1",101,39,18,3,100,1,0.1,39,18,3,39,18,100,1,
"01_02_1279",1,"2016-09-15",2,"","1279",TRUE,"1",101,41,47,5,10,1,0.1,41,47,5,41,47,10,1,12775
"01_02_1280",1,"2016-10-04",2,"","1280",TRUE,"2",102,8,3,2,10,1,0.1,8,3,2,8,3,10,1,
"01_02_1281",1,"2016-10-04",2,"","1281",TRUE,"2",102,999,27,2,10,1,0.1,999,27,2,999,27,10,1,13500
"01_02_1282",1,"2016-10-04",2,"","1282",TRUE,"2",102,2,1,0,10,1,0.1,2,1,0,2,1,10,1,300
