"c_rain24hr","c_rainmonth","c_surface","c_drains","c_flood","c_wasa","c_other","c_odw","c_treat","c_bath","c_produce","c_food","c_shared","c_private","c_participant_female_end","c_participant_male_end","c_neighborhood_y_end","c_neighborhood_n_end","meta.instanceID","X_parent_table_name","X_parent_index","c_id","c_UID"
1,1,1,1,1,1,1,,1,1,1,1,1,1,19,1,19,1,"uuid:3bbd0c77-4449-4b6f-9fe7-04fee7b3524e",,-1,1000,"02_1000"
0,1,1,1,1,1,1,,1,1,1,1,1,1,7,1,8,0,"uuid:be31094c-f46f-482b-baad-58b37801bea7",,-1,1001,"02_1001"
1,1,1,1,1,1,1,,1,1,1,1,1,1,8,7,8,7,"uuid:5681f491-60d5-4452-a640-a8a0d79533d6",,-1,1002,"02_1002"
1,1,1,1,1,1,1,,1,1,1,1,1,1,8,8,16,0,"uuid:92cbeeee-1cd1-44ec-9527-686a72483e8e",,-1,1003,"02_1003"
0,1,0,1,1,1,1,,1,1,1,1,1,1,12,4,16,0,"uuid:04b97646-9f85-4c3f-94b0-a2eecbd8b2a9",,-1,1004,"02_1004"
0,1,1,1,1,1,1,,1,1,1,1,1,1,12,7,19,0,"uuid:f9709689-f36b-4875-bfc3-1f794243da9a",,-1,1005,"02_1005"
1,1,1,1,1,1,1,,1,1,1,1,1,1,12,3,15,0,"uuid:1ceee481-03e0-465e-b093-03b8a2f9e4c9",,-1,1006,"02_1006"
0,1,1,1,1,1,1,,1,1,1,1,1,1,14,2,16,0,"uuid:ab008857-2f51-4ada-b2c9-f8e0f614ad41",,-1,1007,"02_1007"
1,1,1,1,1,1,1,,1,1,1,1,1,1,17,1,18,0,"uuid:3c751cf6-755b-4d8e-8d8d-15ede73f8868",,-1,1008,"02_1008"
1,1,1,1,1,1,1,,1,1,1,1,1,1,10,6,16,0,"uuid:67af0a8b-0f00-4f08-8e49-a02a24431076",,-1,1009,"02_1009"
1,1,1,1,1,1,1,,1,1,1,1,1,1,10,6,16,0,"uuid:fb170ca8-35d9-4f1d-af63-10759dbfdc8b",,-1,1010,"02_1010"
0,1,1,1,1,1,1,,1,1,1,1,1,1,14,2,16,0,"uuid:4eb5f028-7bb7-4b46-ac94-4b7762424b93",,-1,1011,"02_1011"
0,1,1,1,1,1,1,,1,1,1,1,1,0,14,1,14,1,"uuid:c4d560df-a86a-445d-be47-e2aefd6a429f",,-1,1012,"02_1012"
1,1,0,0,0,1,1,,1,1,1,1,1,1,,,17,0,"uuid:f52dfb85-f4a4-4e95-88c2-7c33e849f267",,-1,1013,"02_1013"
1,1,0,0,0,1,1,,1,1,1,1,1,1,,,17,0,"uuid:9c9c89cc-a170-4637-940a-c550f7bdc013",,-1,1014,"02_1014"
0,1,1,1,1,1,1,,1,1,1,1,1,1,8,9,17,0,"uuid:17b214b4-052a-46ca-81c5-695a359cca5d",,-1,1015,"02_1015"
1,1,0,0,0,1,1,,1,1,1,1,1,0,11,5,16,0,"uuid:e92fffb2-089a-4cf0-8f89-ace4d865866e",,-1,1016,"02_1016"
1,1,1,1,1,1,1,,1,1,1,1,1,1,10,4,12,2,"uuid:63cd1c9a-f714-40f0-9848-e7ecaca604ff",,-1,1017,"02_1017"
0,1,1,1,1,1,1,,1,1,1,1,1,1,7,0,11,1,"uuid:62f09246-9416-4d99-8425-736932a4fdc1",,-1,1018,"02_1018"
0,1,1,1,1,1,1,,1,1,1,1,1,1,12,6,18,0,"uuid:c40b24f9-33c7-49f6-ad23-f3071cc35f6e",,-1,1019,"02_1019"
1,1,1,1,1,1,1,,1,1,1,1,1,1,17,1,18,0,"uuid:c401e35b-4cc8-488e-a2b6-dc63e8172698",,-1,1020,"02_1020"
1,1,1,1,1,1,1,,1,1,1,1,1,1,14,3,17,0,"uuid:d9989283-578e-41b6-9b90-6f214a510222",,-1,1021,"02_1021"
0,1,0,0,0,1,1,,1,1,1,1,1,1,14,6,20,0,"uuid:0eccf13c-7308-4b57-b690-bfb6d6cafe60",,-1,1022,"02_1022"
1,1,0,0,0,1,1,,1,1,1,1,1,1,16,1,17,0,"uuid:e77c4a51-4bdf-4b6b-8a82-7ff525acc1be",,-1,1023,"02_1023"
0,1,1,1,1,0,1,,1,1,1,1,1,0,,,20,0,"uuid:862e4791-8ea3-4470-9fe0-e703930e39fa",,-1,1024,"02_1024"
1,1,1,1,1,1,1,,1,1,1,1,1,1,16,3,14,5,"uuid:7c1776f4-0ada-4512-a18b-ffac9083159c",,-1,1025,"02_1025"
1,1,1,1,1,1,1,,1,1,1,1,1,1,10,3,12,1,"uuid:5bf72724-fd58-4fb3-9272-58f6cd261eb5",,-1,1026,"02_1026"
1,1,1,1,1,1,1,,1,1,1,1,1,1,13,4,17,0,"uuid:dd458a6c-4ceb-4e94-9329-0e3d7676fd75",,-1,1027,"02_1027"
