"c_dw_b1","c_dw_b2","c_dw_b3","c_dw_b4","meta.instanceID","X_tags","X_notes","c_id","c_UID"
14,1,0,0,"uuid:968f34ea-e1d4-4aac-aeb4-eb84799b18c2",,,1000,"07_1000"
6,3,0,6,"uuid:c9011edc-df70-4389-8938-56be9ba74203",,,1001,"07_1001"
15,0,0,0,"uuid:21a75c7c-3a5c-452d-830c-67e3490ad979",,,1002,"07_1002"
8,0,2,5,"uuid:faf6468e-7767-48f9-9093-139b108e0542",,,1003,"07_1003"
11,0,1,3,"uuid:f22314b5-d81c-41c6-aad2-0266e5fdc54d",,,1004,"07_1004"
12,1,1,0,"uuid:255eaaec-3049-4ec1-8a74-eccb8f5ec2de",,,1005,"07_1005"
12,0,2,1,"uuid:82540717-6b2a-499f-a4ff-96ca8d2e9f7f",,,1006,"07_1006"
12,1,2,0,"uuid:04541d20-9ce1-46a7-afda-23a3bc9fcd59",,,1007,"07_1007"
4,1,6,3,"uuid:708962e7-b2bd-4784-b0f6-2d62b5860d13",,,1008,"07_1008"
9,0,0,6,"uuid:2d279de7-b756-412e-80bd-24edf6f1cb44",,,1009,"07_1009"
12,0,2,1,"uuid:6112a9ef-74e6-410c-8746-5a2054b29b02",,,1010,"07_1010"
11,0,4,0,"uuid:dbf268a0-9046-4644-bd7d-b110a961e050",,,1011,"07_1011"
13,0,1,1,"uuid:42c25e60-771b-4265-9983-f30d5e1d3c7b",,,1012,"07_1012"
13,2,0,0,"uuid:21248c74-ded4-426b-bcbf-1dfe807a04c8",,,1013,"07_1013"
11,1,2,1,"uuid:aa9904ba-c3b8-47ea-b6cc-a05fdd53fdc4",,,1014,"07_1014"
14,0,0,1,"uuid:e5d68bed-393e-4b55-a21e-4ada7c8c095b",,,1015,"07_1015"
