"c_bw_e_source_2","c_bw_e_source_1","c_bw_e_source_0","c_bw_e_source_na","meta.instanceID","X_tags","X_notes","c_id","c_UID"
12,0,0,0,"uuid:c75337d8-f6ff-4760-baa3-47d8dc17f174",,,1000,"09_1000"
8,0,0,0,"uuid:a3d77c9b-5697-45c1-b95c-3835605cd881",,,1001,"09_1001"
3,6,0,0,"uuid:5982c334-38ce-4e33-ab4a-b3550f150487",,,1002,"09_1002"
0,9,1,1,"uuid:9e085481-9806-41df-84c1-522b11703d74",,,1003,"09_1003"
0,11,0,1,"uuid:ff814140-b936-4cc7-a6e0-486d6e6d4df1",,,1004,"09_1004"
9,3,0,0,"uuid:c6c4aaf2-b40f-4144-bcd9-7b59048fd443",,,1005,"09_1005"
7,5,0,0,"uuid:68028e66-ad26-42b8-b563-d340b1a3aa2c",,,1006,"09_1006"
12,0,0,0,"uuid:9ad84dac-ffca-447c-80e2-c3c58754a191",,,1007,"09_1007"
6,6,0,0,"uuid:a9a9fa52-663b-41cd-a623-cd30d7fccc8e",,,1008,"09_1008"
3,9,0,0,"uuid:b77d3820-c504-47d4-962b-2aa298733395",,,1009,"09_1009"
