"c_bw_source_3","c_bw_source_2","c_bw_source_1","c_bw_source_0","meta.instanceID","X_tags","X_notes","c_id","c_UID"
16,0,4,0,"uuid:27220b69-2703-44af-9b14-7f0680738048",,,1000,"13_1000"
19,1,0,0,"uuid:72a1ed42-2c03-4a74-bc23-deb8ef15a6b0",,,1001,"13_1001"
15,0,0,0,"uuid:a05b9ca1-cb03-4fd1-9145-cddcee09a7f1",,,1002,"13_1002"
17,3,0,0,"uuid:ea6931eb-6569-42c6-8de5-e7f47441e3d9",,,1003,"13_1003"
9,10,1,0,"uuid:009c5583-8bea-4082-b6ba-ecd4287ab74b",,,1004,"13_1004"
14,3,2,0,"uuid:6763f6a2-48a2-4368-a774-79de3c5d7452",,,1005,"13_1005"
12,5,0,3,"uuid:2ed5266c-2c4a-4327-9ce7-b272049efe5a",,,1006,"13_1006"
11,3,3,0,"uuid:e75fdbcc-0a8b-4eee-bf1a-17501dc33c95",,,1007,"13_1007"
15,3,1,0,"uuid:646decea-c767-44b3-9021-1351844bd674",,,1008,"13_1008"
11,4,2,0,"uuid:60f91b41-e869-4d4a-a513-088f7f3530c2",,,1009,"13_1009"
11,6,0,0,"uuid:b33ed0fa-492d-4cb1-ba74-e919eac14136",,,1010,"13_1010"
13,2,0,0,"uuid:542e7892-094f-43d8-8731-1dfe03544f8d",,,1011,"13_1011"
