"col_gps_device","col_gps_device_id","col_gps_device_wp","col_gps_device_lat","col_gps_device_lon","col_ws_group","col_ws_container","col_ws_container_lid","col_b_group","col_b_source","col_b_source_other","col_b_container","col_b_container_lid","col_ww_group","col_ww_source","col_ww_source_other","col_ww_container","col_ww_container_lid","col_i_group","col_i_container","col_i_container_lid","meta.instanceID","X_parent_table_name","X_parent_index","col_p_type_ch","col_UID"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:275990c4-48fe-4130-ad42-9d39eef66d84",,-1,"","01_33_1000"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:9d812bf9-87bb-42bb-95d4-0c990de60eef",,-1,"","01_33_1001"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:19578491-fb4f-426f-917e-228a1deadf1b",,-1,"","01_33_1002"
0,,,,,,,,,,"",,,,1,,1,0,,,,"uuid:3b236a46-4044-40b1-bbab-9ff90f012f58",,-1,"","01_33_1003"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:0c7cd541-27fa-4026-86b0-9cf7ed4fcd80",,-1,"","01_33_1004"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:5a5ed4c9-e76f-459c-87e8-10cb9cff729d",,-1,"","01_33_1005"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:5878b139-9eea-4d3b-b747-a9701ef2d642",,-1,"","01_33_1006"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:68d9e49f-bb93-4896-8476-893b4f742551",,-1,"","01_33_1007"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:0d628319-7f5a-4e63-84a7-9a22bf68784f",,-1,"","01_33_1008"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:dc75d678-8cf0-4253-ac78-ae936f2b6156",,-1,"","01_33_1009"
0,,,,,,,,,,"",,,,1,,1,1,,,,"uuid:bbdcdd97-1f0d-45be-b306-787bdb572754",,-1,"","01_33_1010"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:61ecca17-fcf0-4043-9c78-f2fefe68fb07",,-1,"","01_33_1011"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:4800cfa1-7504-4f53-af8d-bae891f4bb78",,-1,"","01_33_1012"
0,,,,,,,,,,"",,,,1,,1,0,,,,"uuid:745c7fd4-167b-458a-a5d1-c4b030531140",,-1,"","01_33_1013"
0,,,,,,,,,,"",,,,1,,1,0,,,,"uuid:9b9d84db-dcff-43a6-89d0-7345c519ac6e",,-1,"","01_33_1014"
0,,,,,,,,,,"",,,,1,,1,0,,,,"uuid:2c3c7dc0-8d64-4b4f-800a-9744c0bee376",,-1,"","01_33_1015"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:e969b48c-24a1-4166-9951-6a709a03f4f9",,-1,"","01_33_1016"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:9489310a-e139-434b-8b3b-dca85a435f39",,-1,"","01_33_1017"
0,,,,,,,,,,"",,,,1,,0,,,,,"uuid:9b14e8c1-bb7d-4039-89c4-78462245811c",,-1,"","01_33_1018"
