"col_turbidity","col_dw_connection","col_odw_type","col_odw_type_other","col_odw_container","col_odw_container_lid","col_odw_id","col_odw_cl_free","col_odw_cl_total","col_l_latrine_type","col_enum.1","col_enum.2","col_enum.3","col_enum.4","col_enum.5","col_enum.6","col_enum.7","col_enum.8","meta.instanceID","col_UID"
,,,,,,,,,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uuid:0434fa76-ddb6-4547-b025-f8656813b1be","02_07_1001"
,,,,,,,,,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"uuid:271d545b-d15b-4296-9efe-ad9c6cef79ff","02_07_1002"
,,,,,,,,,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"uuid:8fba1ace-4440-459e-8d8f-bc5dc225c7b5","02_07_1003"
0.22,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"uuid:a72a7107-2050-493d-a74d-d3e421723f60","02_09_1004"
0,1,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"uuid:fe56b818-e775-4c55-a9c7-4d0734ccfe9f","02_03_1005"
,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"uuid:1308a08d-8b76-43fd-9f36-4930731dec9e","02_08_1006"
43.31,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"uuid:e6e4219d-e8d1-4fe1-a8cb-01c6547d50d2","02_01_1007"
0.66,1,,,,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"uuid:c89617cd-5008-4dc3-9f42-a34a7102cf45","02_03_1008"
1.6,,,,,,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"uuid:6e269722-0d04-4467-a49e-599aa7e9e430","02_09_1009"
,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"uuid:f937eb08-41b1-43b4-ae28-213348f91911","02_08_1010"
