"number","formid","form.barcode","form.sampleid_no_match","form.study_type","form.p_location","form.t_location","form.s_location","form.ec_th","form.ev_way","form.ev_way_deviceID","form.neighbor","form.swab_surface","form.swab_surface_other","form..uiVersion","openrosa_headers.HTTP_X_OPENROSA_VERSION","date_header","auth_context.doc_type","auth_context.domain","form.collector_id","auth_context.user_id","X_rev","computed_modified_on_","form.meta.location..xmlns","form.ev_notes","auth_context.authenticated","form..type","initial_processing_complete","form.sample_weight","path","domain","completed_time","username","received_on","caseid","case_name","col_neigh","col_p_type_ch","col_UID"
0,"4a1c7543-d7a7-46d6-b757-5e1c0fa685cb",295,,,,,,"09:28:00.000Z",295,"WRI 15","Adabraka",88,"Public laterine, laterine wall",1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef332b","2-2984868aac5b0bae4b9b7e2519e69d24",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-06-08 09:35:23","mchrisk","2016-06-08 09:35:29",,,305,,"03_07_0295"
1,"4f541e58-3de7-43c0-9b66-e7ce8bfe3a4c",737,,,,,,"12:27:00.000Z",7117,"SP 10","Chorkor",3,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef332b","2-ed1b2ba32b73c42876041e974d647b78",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-04-27 12:28:48","mchrisk","2016-04-27 12:28:53",,,302,,"03_07_0737"
2,"55541245-18d2-4c73-8701-1830abece79e",248,,"T",,5,,"08:49:00.000Z",248,"WRI 2","Chorkor",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-3ec39d80505879069ac0464f859ca143",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-05-19 19:51:46","rkuddy","2016-05-19 08:52:29",,,302,,"03_01_0248"
3,"53de2c74-c501-4b2e-be7d-a4288bd66ef7",465,,,,,,"10:08:00.000Z",465,"WRI 4","Kokomlemle",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef332b","2-1e110ee69c61e46f57c24cad2342ec28",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-07-04 10:09:29","mchrisk","2016-07-04 10:09:40",,,303,"Lettuce","03_02_0465"
4,"57c183dc-b166-4aa7-b67e-d62e91ae3b1c",501,,,,,,"11:32:00.000Z",501,"WRI 4","Ringway",2,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef332b","2-98b952f8b442c2efceb09ed1f26358d9",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-07-08 10:33:56","mchrisk","2016-07-08 10:34:05",,,304,,"03_07_0501"
5,"581b4db1-0b21-48ef-a266-732ceb3f4721",512,,,,,,"10:05:00.000Z",512,"WRI 3","Kokomlemle",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-87a4d65fee4a9ba91da50ea858efde87",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-07-04 10:06:22","rkuddy","2016-07-04 10:08:18",,,303,"green pepper","03_02_0512"
6,"58d65869-29fc-43f0-a687-026ca88b1bbc",121,,,,,,"11:29:00.000Z",121,"WRI 15","Chorkor",,,1,1,,"AuthContext","sp-accra",,"94fbda39e376b90446a3f0b822ce5078","2-8af670ad2ca7f6c6106da3772a3a5cd0",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-05-04 11:36:39","cafrimpong","2016-06-03 17:10:39",,,302,,"03_03_0121"
7,"48d245bd-fb0e-4c53-8d86-8cd52f5b6e9e",515,,,,,,"10:38:00.000Z",515,"WRI 3","Kokomlemle",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-37012434bf42ee5e66271505aaf87402",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-07-04 10:40:43","rkuddy","2016-07-04 10:42:43",,,303,,"03_03_0515"
8,"46e5dd90-b89e-4949-b11b-d14691cc8481",314,,,,,,"10:59:00.000Z",314,"WRI 15","Adabraka",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef332b","2-c697ba94629c99cace2af92668377503",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-06-10 11:00:37","mchrisk","2016-06-10 11:00:45",,,305,,"03_08_0314"
10,"49b0bd49-b1c6-4568-876a-1ec686020b3e",131,,,,,,"09:46:00.000Z",130,"WRI 2","Chorkor",,,1,1,,"AuthContext","sp-accra",,"111ad04bb56a5f5971ef4b54b0ef353f","2-58636e5dc8315faeab57f1516ae7e773",,"http://commcarehq.org/xforms",,TRUE,"sample_collection_a",TRUE,,"/a/sp-accra/receiver/secure/c57756fe14ae8f1ff8165fe9a5610cdb/","sp-accra","2016-05-05 20:47:28","rkuddy","2016-05-05 09:51:26",,,302,,"03_08_0131"
