"col_f_type","col_p_wash","col_odw_type","col_odw_container","col_odw_container_lid","col_odw_id","col_odw_cl_free","col_odw_cl_total","col_l_toilet_pubshare","col_l_toilet_hhs","meta.instanceID","X_tags","X_notes","col_UID"
1,,,,,,,,,,"uuid:b12c1091-fb6b-46d2-b7bb-4965d5aed647",,,"04_06_1008"
,,,,,,,,,,"uuid:4eec3180-73d4-49df-873f-a08711c944df",,,"04_08_1006"
2,,,,,,,,,,"uuid:354ab51b-ace1-4c1a-b563-4ce9768b0554",,,"04_06_1009"
,,,,,,,,,,"uuid:eac1b176-d280-43a4-924e-4fb7da69e285",,,"04_01_1007"
,,,,,,,,,,"uuid:3217050f-2912-4c58-b571-7d987d869297",,,"04_01_1001"
,,1,0,,1,2,,,,"uuid:cc5a912f-019e-4ac9-a038-b08f96e1c9e4",,,"04_33_1005"
1,,,,,,,,,,"uuid:c2b680b1-7cfc-4882-8a25-3e30b6a02b9c",,,"04_06_1002"
2,,,,,,,,,,"uuid:24494bd0-6848-4eb8-80b8-7d93bf3c596f",,,"04_06_1003"
,,2,0,,,,,,,"uuid:9ee1c543-4c19-49dd-9c45-e88cba914441",,,"04_33_1010"
,,,,,,,,,,"uuid:e2b24d00-2c68-4c20-b10f-193a32a6c760",,,"04_08_1013"
2,,,,,,,,,,"uuid:e0d62fff-8620-4500-a114-d44e5e8e18ad",,,"04_06_1015"
,,,,,,,,,,"uuid:e10c3f54-7a95-4365-a522-bc52aeaa6580",,,"04_01_1014"
,,,,,,,,,,"uuid:361e4a3d-fdf4-4d16-b47f-eebde68b5a7c",,,"04_08_1000"
,,,,,,,,2,10,"uuid:c7ba51d3-43e8-4c3f-845a-bd7a2d613a1b",,,"04_07_1023"
,,,,,,,,,,"uuid:8740880b-161e-4b35-9dd3-35623c435187",,,"04_03_1012"
,,,,,,,,1,,"uuid:d7ef43fe-4c93-40dc-99e8-e1a8698f68a4",,,"04_07_1022"
,,,,,,,,,,"uuid:249d183e-5de4-4587-b5f9-1c2c4a62a3db",,,"04_10_1020"
1,,,,,,,,,,"uuid:6b57c630-0bf7-4636-a179-ab83805c5c6b",,,"04_06_1026"
,,,,,,,,,,"uuid:8c606c58-3911-4bbf-a3ce-ecfcc4a19b6d",,,"04_03_1029"
