"SampleID","CompoundID","ec_dd","ec_th","ev_way","ev_notes","ec_sd","ec_st","ec_isd","ec_ist","ec_ied","ec_iet","ec_dil1","ec_dil2","ec_dil3","ec_ecnt1","ec_ecnt2","ec_ecnt3","tc_ecnt1","tc_ecnt2","tc_ecnt3","ec_blank","tc_blank","collectr","sp_area","dis_com","weight","lat_other","ev_way.1","operator","col_UID"
"ACO2029",2029,"5/12/2015","10:52:00 AM","026-29","",2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",1,2,,999,83,,999,79,,0,0,"AMADEU-GIZELA",0,,,,"026,29","MARCIO AMOS","05_09_1000"
"ACO2030",2030,"3/26/2015","9:05:00 AM","014-32","",2015-03-26,"12:15:00",2015-03-26,"17:00:00",2015-03-27,"17:00:00",1,2,,0,0,,999,999,,0,0,"GISELA-ELOISA",0,,,,"014.32","MARIA","05_09_1001"
"ACO2031",2031,"3/3/2015","9:38:00 AM","002-32","",2015-03-03,"14:23:00",2015-03-03,"15:20:00",2015-03-04,"17:08:00",1,2,,0,0,,999,999,,0,0,"ANABELA/BACELAR",0,,,,"002-32","MARIO AMOS","05_09_1002"
"ACO2032",2032,"3/2/2015","9:36:00 AM","001-32","",2015-03-02,"15:05:00",2015-03-02,"16:30:00",2015-03-03,"16:42:00",1,2,,0,0,,998,999,,0,0,"GIZELA/ELOISA",0,,,,"001.32","MARIO AMOS","05_09_1003"
"ACO2034",2034,"3/5/2015","9:40:00 AM","163-31","",2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",1,2,,0,1,,999,999,,0,0,"AMADEU/BACELAR",0,,,,"163-31","LAURINDA MACUCULE","05_09_1004"
"ACO2035",2035,"3/5/2015","9:14:00 AM","004-32","",2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",1,2,,0,0,,999,999,,0,0,"ELOISA-GISELA-AMADEU",0,,,,"004.32","LAURINDA MACUCULE","05_09_1005"
"ACO2036",2036,"3/6/2015","9:48:00 AM","001-30","",2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",1,2,,0,0,,67,38,,0,0,"GIZELA/ELOISA",0,,,,"001.30","MARIO AMOS","05_09_1006"
"ACO2037",2037,"3/9/2015","9:36:00 AM","164-31","Water collected within home (stored water).",2015-03-09,"00:00:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",2,3,,19,4,,999,73,,0,0,"ANABELA/BACELAR",0,,,,"164.31","SALMA XAVIER","05_09_1007"
"ACO2038",2038,"3/6/2015","9:06:00 AM","003-29","",2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",1,2,,0,0,,999,999,,0,0,"BACELAR/ANABELA",0,,,,"003.29","MARIO AMOS","05_09_1008"
"ACO2039",2039,"3/9/2015","10:12:00 AM","004-30","",2015-03-09,"00:00:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",2,3,,3,0,,53,18,,0,0,"GIZELA",0,,,,"004.30","SALMA XAVIER","05_09_1009"
