"SampleID","CompoundID","ec_dd","ec_th","ev_way","ev_notes","ec_sd","ec_st","ec_isd","ec_ist","ec_ied","ec_iet","ec_dil1","ec_dil2","ec_ecnt1","ec_ecnt2","tc_ecnt1","tc_ecnt2","ec_blank","tc_blank","collectr","operator","sp_area","ec_dil3","ec_ecnt3","tc_ecnt3","dis_com","weight","lat_other","col_UID"
"ACO2029",2029,"5/19/2016","1/0/1900","072-43","",2016-05-19,"11:25:00",2016-05-19,"17:15:00",2016-05-20,"17:15:00",1,2,91,23,999,999,0,0,"Gizela/Eloisa","Mario Amos/J",0,,,,,,"","08_09_1000"
"ACO2030",2030,"5/6/2016","1/0/1900","043-43","",2016-05-06,"12:40:00",2016-05-06,"17:05:00",2016-05-07,"17:05:00",1,2,999,35,999,999,0,0,"Eloisa/Gizela","J/Mario Amos",0,,,,,,"","08_09_1001"
"ACO2031",2031,"5/6/2016","1/0/1900","56-29","",2016-05-06,"12:40:00",2016-05-06,"17:05:00",2016-05-07,"17:05:00",1,2,0,0,999,8,0,0,"Sumeya/Anabela","J/Mario Amos",0,,,,,,"","08_09_1002"
"ACO2032",2032,"5/31/2016","1/0/1900","101-29","",2016-05-31,"14:15:00",2016-05-31,"18:50:00",2016-06-01,"18:50:00",1,2,4,0,999,999,0,0,"Anabela/Sumeya","Mario Amos/Laurinda",0,,,,,,"","08_09_1003"
"ACO2034",2034,"5/13/2016","1/0/1900","72-29","",2016-05-13,"11:05:00",2016-05-13,"15:30:00",2016-05-14,"15:30:00",1,2,4,0,80,9,0,0,"Sumeya/Anabela","Salma/J",0,,,,,,"","08_09_1004"
"ACO2035",2035,"5/12/2016","1/0/1900","69-29","Amostra recolhida no mesmo recepiente que ABO",2016-05-12,"12:10:00",2016-05-12,"16:45:00",2016-05-13,"16:45:00",1,2,999,0,999,999,0,0,"Sumeya/Anabela","Laurinda/J",0,,,,,,"","08_09_1005"
"ACO2036",2036,"5/18/2016","1/0/1900","069-43","",2016-05-18,"12:10:00",2016-05-18,"17:49:00",2016-05-19,"17:49:00",1,2,175,20,154,18,0,0,"Eloisa/Gizela","Salma/J",0,,,,,,"","08_09_1006"
"ACO2037",2037,"5/19/2016","1/0/1900","87-29","A amostra da agua do banho e a mesma da agua de beber.",2016-05-19,"11:25:00",2016-05-19,"17:15:00",2016-05-20,"17:15:00",1,2,0,0,999,999,0,0,"Anabela/Sumeya","Mario Amos/J",0,,,,,,"","08_09_1007"
"ACO2038",2038,"5/18/2016","1/0/1900","83-29","",2016-05-18,"12:10:00",2016-05-18,"17:49:00",2016-05-19,"17:49:00",1,2,2,0,88,37,0,0,"Sumeya/Anabela","Salma/J",0,,,,,,"","08_09_1008"
"ACO2039",2039,"5/31/2016","1/0/1900","061-43","",2016-05-31,"14:15:00",2016-05-31,"18:50:00",2016-06-01,"18:50:00",1,2,32,1,999,999,0,0,"Gizela/Eloisa","Mario Amos/Laurinda",0,,,,,,"","08_09_1009"
"ACO2040",2040,"5/24/2016","1/0/1900","95-29","A amostra e a mesmo do banho e de bebe",2016-05-24,"11:15:00",2016-05-24,"15:35:00",2016-05-25,"15:35:00",1,2,3,2,999,150,0,0,"Anabela/Sumeya","Laurinda/Mario Amos",0,,,,,,"","08_09_1010"
"ACO2041",2041,"5/24/2016","1/0/1900","075-43","",2016-05-24,"11:15:00",2016-05-24,"15:35:00",2016-05-25,"15:35:00",1,2,0,0,999,59,0,0,"Eloisa/Gizela","Laurinda/Mario Amos",0,,,,,,"","08_09_1011"
"ACO2042",2042,"5/12/2016","1/0/1900","055-43","",2016-05-12,"12:10:00",2016-05-12,"16:45:00",2016-05-13,"16:45:00",1,2,999,999,999,999,0,0,"Eloisa/Gizela","Laurinda/J",0,,,,,,"","08_09_1012"
"ACO2043",2043,"5/13/2016","1/0/1900","058-43","Agua armazenada no mesmo recepiente que ABO",2016-05-13,"11:05:00",2016-05-13,"15:30:00",2016-05-14,"15:30:00",1,2,70,25,999,140,0,0,"Eloisa/Gizela","Salma/J",0,,,,,,"","08_09_1013"
"ACO2044",2044,"5/23/2016","1/0/1900","090-29","A amostra da aqua de banho e a mesma de aqua de beber",2016-05-23,"11:40:00",2016-05-23,"15:50:00",2016-05-24,"15:50:00",1,2,72,9,999,999,0,0,"Anabela/Sumeya","J/Mario Amos",0,,,,,,"","08_09_1014"
"ACO3001",3001,"5/5/2016","1/0/1900","038-43","A agua de banho e para beber esta reservada no mesmo sitio",2016-05-05,"13:30:00",2016-05-05,"17:30:00",2016-05-06,"17:30:00",1,2,999,999,999,999,0,0,"Eloisa/Gizela","Laurinda/J",0,,,,,,"","08_09_1015"
"ACO3006",3006,"5/10/2016","1/0/1900","049-43","",2016-05-10,"11:42:00",2016-05-10,"16:05:00",2016-05-11,"16:05:00",1,2,0,0,999,999,0,0,"Eloisa/Gizela","Salma/Mario",0,,,,,,"","08_09_1016"
