"col_gps_device","col_gps_device_id","col_gps_device_wp","col_gps_device_lat","col_gps_device_lon","meta.instanceID","col_UID"
0,,,,,"uuid:6a63fb3c-bc0d-4f4e-a25d-02b225ffe82b","10_03_3001"
0,,,,,"uuid:30a9a298-70d7-4cc5-966c-2c9dda87c54b","10_03_3002"
0,,,,,"uuid:d947bd1a-24e5-4cc1-807b-5c5a26edfd01","10_03_3003"
0,,,,,"uuid:bba69087-7eab-4369-b156-d4efc2528d65","10_03_3004"
0,,,,,"uuid:985985d0-b127-424d-8a31-10d33d1222ec","10_03_3005"
0,,,,,"uuid:b217b456-5560-4c0d-b9c9-d956fa6d8b11","10_03_3006"
0,,,,,"uuid:fffc5ba3-b0f2-4665-b4d3-5475601ccb7e","10_03_3007"
0,,,,,"uuid:eb5f0071-d28c-4bc3-804b-4da56f8d38fe","10_03_3008"
0,,,,,"uuid:a80ad311-decb-4d0d-be4b-962c87bb20d6","10_03_3009"
0,,,,,"uuid:fff77954-aa07-4a58-857d-ec36b976e81f","10_03_3010"
0,,,,,"uuid:88bd62b6-a51f-446b-a47b-cdbca27d2e01","10_08_8001"
0,,,,,"uuid:b3200091-d217-461d-aba9-a0bdf0a37e17","10_08_8002"
0,,,,,"uuid:58d84450-8733-460c-a7c8-157720da6900","10_08_8003"
0,,,,,"uuid:82b69d1c-2535-46f9-80a4-4ca4c341bcdf","10_08_8004"
0,,,,,"uuid:72ad4b7e-d935-4f86-8bc8-c0e574bce0e0","10_08_8005"
0,,,,,"uuid:6e7dfb86-86cb-4aac-84ad-ab0a9c43dc7d","10_08_8006"
0,,,,,"uuid:fbf24243-de34-4732-a370-af21bdf41330","10_08_8007"
0,,,,,"uuid:dbd8f2fd-e4c9-4bc5-ba9b-0549371db8bc","10_08_8008"
0,,,,,"uuid:4231938b-b267-43da-a1be-feff668040d3","10_08_8009"
0,,,,,"uuid:c32f1862-d76a-45c3-b61a-110ba4195942","10_08_8010"
0,,,,,"uuid:a9bea455-7100-404d-8637-5994879b533e","10_07_7001"
0,,,,,"uuid:84de7e9b-33a9-4c1a-ace4-b94cedd284fa","10_07_7002"
0,,,,,"uuid:41197621-0e48-4aa5-a4f1-93dc2e830d98","10_07_7003"
0,,,,,"uuid:6e5021ab-a591-4d25-baa3-24e448d856fd","10_07_7004"
0,,,,,"uuid:5e7585ea-4463-4ef0-a680-08dd8e814a56","10_07_7005"
0,,,,,"uuid:8d33355c-281c-48f7-9a2e-06c19080891d","10_07_7006"
0,,,,,"uuid:3d9ecdd7-c5cf-4521-9949-8924b7f8ee8c","10_07_7007"
0,,,,,"uuid:6621b394-e641-491e-9a73-f74852048ccc","10_07_7008"
0,,,,,"uuid:6e3854ef-f5fd-403e-939b-fe1fbaf29a9e","10_07_7009"
0,,,,,"uuid:df02193d-7875-45e4-9c86-c62b45fa7324","10_07_7010"
0,,,,,"uuid:b33c12fe-123b-43eb-8ad8-3624748f15f5","10_02_2001"
0,,,,,"uuid:0d779bb7-3189-4f58-83d7-628637e4926d","10_02_2002"
0,,,,,"uuid:bb647b83-87dc-4941-92bb-e35ec7dc002f","10_02_2003"
0,,,,,"uuid:9bd89520-83bc-4c7c-9035-9dfb5a27bcf0","10_02_2004"
0,,,,,"uuid:9d997dae-1846-4f02-8c4b-9c9b3333bb69","10_02_2005"
0,,,,,"uuid:a0ce3408-1e6e-437a-9a85-23f2c01ae0ff","10_02_2006"
0,,,,,"uuid:62bcf602-eb88-4534-9fd2-7938419845c1","10_02_2007"
0,,,,,"uuid:332282dd-b51d-46fe-8bab-5235b4c1a2d0","10_02_2008"
0,,,,,"uuid:d3d06029-1564-46f7-ab1f-56c3ca032aef","10_02_2009"
0,,,,,"uuid:99ce8c2d-cb34-451c-b411-408297e0c410","10_02_2010"
