"project","sample_name","way_point","notes","processing_datetime","incubation_start_datetime","incubation_end_datetime","dilution1","dilution2","count1","count2","plate1_tntc","plate2_tntc","produce_weight","blank_count","collector_name","lab_operator_name","col_UID"
1,"PVG005","PUBT2","MARKET NEAR PUBLIC LATRINE AND DRAIN. ANIMAL FECES NEAR VENDOR.","3/7/2014 2:00","3/7/2014 16:00","3/8/2014 12:00",100,1000,8,0,FALSE,FALSE,25,0,"THENPANDIYAN","DANIEL","11_02_1001"
1,"PSL004","Y","NEAR ANIMAL FECES","3/11/2014 16:00","3/11/2014 16:00","3/12/2014 16:00",100,1000,,5,TRUE,FALSE,,0,"THENPANDIYAN","DANIEL","11_08_1002"
1,"PBW001","PBWOO1","NEAR ANIMAL FE ACES & DRAINAGE","3/7/2014 14:00","3/7/2014 16:00","3/8/2014 9:51",1,10,1,0,FALSE,FALSE,,0,"THENPANDIYAN","DANIEL","11_09_1003"
1,"PBW002","PBW002","NEAR TO THE TANK OPEN DRAINAGE, ALSO SOME ANIMAL FECES","3/7/2014 14:00","3/7/2014 16:00","3/8/2014 9:57",10,100,0,0,FALSE,FALSE,,0,"THENPANDIYAN","DANIEL","11_09_1004"
1,"PBW003","PUBRJ1","NEAR ANIMAL SHED
, NEAR PUBLIC LATRINE NUMBER 3, PRE SCHOOL","3/7/2014 14:00","3/7/2014 16:00","3/8/2014 12:00",1,10,7,0,FALSE,FALSE,,0,"THENPANDIYAN","DANIEL","11_09_1005"
1,"PBW004","PUBT4","NEAR DRAIN
, GPS (TRANSECT WALK)","3/7/2014 14:00","3/7/2014 16:00","3/8/2014 12:00",1,10,5,0,FALSE,FALSE,,0,"THENPANDIYAN","DANIEL","11_09_1006"
1,"PBW005","PBW005","NEAR OPEN DRAIN, ANIMAL FECES STORED PIPED WATER IN A TANK.","3/7/2014 14:00","3/7/2014 16:00","3/8/2014 12:00",1,10,0,0,FALSE,FALSE,,0,"THENPANDIYAN","DANIEL","11_09_1007"
1,"PBW006","PBW006","NEAR OPEN DRAIN","3/7/2014 14:00","3/7/2014 16:00","3/8/2014 12:00",1,10,0,0,FALSE,FALSE,,0,"THENPANDIYAN","DANIEL","11_09_1008"
1,"PSW001","PUBT1","6 STALLS FOR FEMALE
, 6 STALLS FOR MALE.
 * NEAR TO THE TOILET BIG SIZE OPEN DRAINAGE.
 * SAMPLE COLLECTED IN WALL & TAP","3/7/2014 14:00","3/7/2014 16:00","3/8/2014 12:00",10,100,,65,TRUE,FALSE,,0,"THENPANDIYAN","DANIEL","11_07_1009"
1,"PSW002","PUBT1","6 STALLS FOR FEMALE
, 6 STALLS FOR MALE
 * NEAR TO THE TOILET BIG SIZE OPEN DRAINAGE
 * SAMPLE COLLECTED IN TAP & WALL
","3/7/2014 14:00","3/7/2014 16:00","3/8/2014 12:00",10,100,6,0,FALSE,FALSE,,0,"THENPANDIYAN","DANIEL","11_07_1010"
1,"PSW003","PUBT1","6 STALLS FOR FEMALE
, 6 STALLS FOR MALE
 * NEAR TO THE TOILET BIG SIZE OPEN DRAINAGE
 * COLLECTED IN WALL & TAP","3/7/2014 14:00","3/7/2014 16:00","3/8/2014 12:00",10,100,1,0,FALSE,FALSE,,0,"THENPANDIYAN","DANIEL","11_07_1011"
1,"PSW004","PUBT1","6 STALLS FOR FEMALE, 6 STALLS FOR MALE.
 * NEAR TO THE TOILET BIG SIZE OPEN DRAINAGE.
 * SAMPLE COLLECTED IN WALL AND TAP.
","3/7/2014 11:39","3/7/2014 16:00","3/8/2014 12:00",10,100,,85,TRUE,FALSE,,0,"THENPANDIYAN","DANIEL","11_07_1012"
1,"PSW005","PUBT2","HAND WASHING STATION A LARGE TANK WITH A BOWL FOR FETCHING WATER .
FEMALE STALL.","3/7/2014 14:00","3/7/2014 16:00","3/8/2014 12:00",10,100,1,0,FALSE,FALSE,,0,"THENPANDIYAN","DANIEL","11_07_1013"
1,"PSW006","PUBT2","HAND WASHING STATION A LARGE TANK WITH A BOWL FOR FETCHING WATER.
 FEMALE STALL.","3/7/2014 14:00","3/7/2014 16:00","3/8/2014 12:00",10,100,,16,TRUE,FALSE,,0,"THENPANDIYAN","DANIEL","11_07_1014"
1,"PSW007","PUBT2","SAMPLE COLLECTED FROM WALL, TAP AND DOOR HANDLE
 ALL MALE STALLS.","3/7/2014 14:00","3/7/2014 16:00","3/8/2014 12:00",10,100,,,TRUE,TRUE,,0,"THENPANDIYAN","DANIEL","11_07_1015"
1,"PSW008","PUBT2","ALL MALE STALLS","3/7/2014 14:00","3/7/2014 16:00","3/8/2014 12:00",10,100,,35,TRUE,FALSE,,0,"THENPANDIYAN","DANIEL","11_07_1016"
1,"PSW009","PUBT3","MALE STALL - 5 STALLS
, WALL, TAP, BUCKET, DOOR HANDLE COLLECTE","3/7/2014 14:00","3/7/2014 16:00","3/8/2014 12:00",10,100,10,0,FALSE,FALSE,,0,"THENPANDIYAN","DANIEL","11_07_1017"
