"col_neighborhood","col_sample_type","col_id","col_id_val","col_start_dt","col_location","X_col_location_latitude","X_col_location_longitude","X_col_location_altitude","X_col_location_precision","col_weather","col_rainyest","col_rainweek","col_rainmon","col_pa_prox","col_pa_type","col_pa_type_other","col_pa_latrine_distance","col_f_latrine_distance","col_p_type","col_p_type_other","col_p_num","col_dw_type","col_dw_type_other","col_dw_container","col_dw_container_lid","col_dw_id","col_dw_cl_free","col_dw_cl_total","col_d_water_level","col_d_water_flow","col_d_size","col_d_lining","col_d_lining_oth","col_d_feces","col_d_animals","col_d_schools","col_d_urban_ag","col_d_public_latrines","col_d_hh_latrines","col_d_shops","col_d_hh","col_d_hh_num","col_sf_type","col_sf_type_other","col_s_fliespresent","col_s_number_of_houseflies","col_notes","col_enum","col_photo","meta.instanceID","X_uuid","X_submission_time","X_tags","X_notes","dply_num","col_UID","col_date"
1,99,6001,6001,"2019-11-19T09:25:00.000Z","14.782755000000002 -17.36472 46.2 6.0",14.782755,-17.36472,46.2,6,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50,"A proximité de la route","Cisse, baldè, seye",1,"uuid:606293ea-96f5-4d9e-a5dd-967507bcfaf1","606293ea-96f5-4d9e-a5dd-967507bcfaf1","2019-11-20T17:27:52",,,12,"12_99_6001",2019-11-19
1,99,6002,6002,"2019-11-19T09:53:00.000Z","14.781056666666666 -17.365731666666665 33.5 5.0",14.7810566666667,-17.3657316666667,33.5,5,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,"À proximité de la route","Cisse, baldè, seye",1,"uuid:b35f4498-0b38-461f-9a2b-472219fb5d18","b35f4498-0b38-461f-9a2b-472219fb5d18","2019-11-20T17:27:53",,,12,"12_99_6002",2019-11-19
1,99,6003,6003,"2019-11-19T10:04:00.000Z","14.781031666666669 -17.36586 17.0 4.8",14.7810316666667,-17.36586,17,4.8,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,"À proximité de la route","Cisse, baldè, seye",1,"uuid:0066dd43-7044-4aa4-b24d-ddd4ea8bf398","0066dd43-7044-4aa4-b24d-ddd4ea8bf398","2019-11-20T17:27:53",,,12,"12_99_6003",2019-11-19
1,99,6004,6004,"2019-11-19T10:13:00.000Z","14.780601666666666 -17.36614666666667 13.2 4.8",14.7806016666667,-17.3661466666667,13.2,4.8,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,"Table à l'air libre et à proximité de la route","Cisse, baldè, seye",1,"uuid:6c20fac5-6a6c-4876-aea7-850c557ad3dd","6c20fac5-6a6c-4876-aea7-850c557ad3dd","2019-11-20T17:27:54",,,12,"12_99_6004",2019-11-19
1,99,6005,6005,"2019-11-19T10:19:00.000Z","14.780645 -17.366159999999997 19.6 4.9",14.780645,-17.36616,19.6,4.9,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,"Table à l'air libre et à proximité de la route","Cisse, baldè, seye",1,"uuid:d364b537-57b7-4300-a2f9-fcf8852997e9","d364b537-57b7-4300-a2f9-fcf8852997e9","2019-11-20T17:27:54",,,12,"12_99_6005",2019-11-19
1,99,6006,6006,"2019-11-20T10:04:00.000+01:00","14.781095 -17.365325 35.5 4.3",14.781095,-17.365325,35.5,4.3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,"Gargotte très fermée","Baldé, cisse, seye",1,"uuid:fa4bbb4d-c040-4623-a93b-08170a305925","fa4bbb4d-c040-4623-a93b-08170a305925","2019-11-20T17:29:43",,,12,"12_99_6006",2019-11-20
1,99,6007,6007,"2019-11-20T10:28:00.000+01:00","14.780311666666668 -17.366728333333334 11.5 4.2",14.7803116666667,-17.3667283333333,11.5,4.2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,"A proximité de la route","Cisse, BALDE,seye",1,"uuid:5916c657-1c6f-492c-86ce-b22b5b7187f1","5916c657-1c6f-492c-86ce-b22b5b7187f1","2019-11-20T17:29:44",,,12,"12_99_6007",2019-11-20
1,99,6008,6008,"2019-11-20T10:36:00.000+01:00","14.780068333333334 -17.366938333333334 17.6 4.5",14.7800683333333,-17.3669383333333,17.6,4.5,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,"Gargotte fermée et à proximité de la route","Cisse,BALDE, seye",1,"uuid:6612aae6-482a-4409-b498-0f42043b4464","6612aae6-482a-4409-b498-0f42043b4464","2019-11-20T17:29:44",,,12,"12_99_6008",2019-11-20
1,99,6009,6009,"2019-11-20T10:43:00.000+01:00","14.780138333333332 -17.367205000000002 3.1 5.0",14.7801383333333,-17.367205,3.1,5,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,"Près de la ruelle","Cisse,BALDE, seye",1,"uuid:4a394833-d8fd-4560-8393-f5a8a8ea0095","4a394833-d8fd-4560-8393-f5a8a8ea0095","2019-11-20T17:29:45",,,12,"12_99_6009",2019-11-20
1,99,6010,6010,"2019-11-20T10:50:00.000+01:00","14.780428333333335 -17.367905 11.5 4.7",14.7804283333333,-17.367905,11.5,4.7,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,"Près de la ruelle","CISSE, BALDE, SEYE",1,"uuid:b298fbe3-fdb0-46e5-a4bf-d653f2c1f5b6","b298fbe3-fdb0-46e5-a4bf-d653f2c1f5b6","2019-11-20T17:29:45",,,12,"12_99_6010",2019-11-20
