"h_id_val","h_gps_device","h_gps_device_id","h_gps_device_wp","h_gps_device_lat","h_gps_device_lon","h_s_additional_info","h_d_additional_info","h_f_additional_info","h_m_a_prim","h_m_a_prim_other","h_m_a_sec","h_m_a_sec_other","h_m_a_sec_num","h_m_a_sec_num_other","h_m_c_prim","h_m_c_prim_other","h_m_c_sec","h_m_c_sec_other","h_m_c_sec_num","h_m_c_sec_num_other","h_m_additional_info","h_t_additional_info","h_p_additional_info","h_latrine_type","h_latrine_type_other","h_th_additional_info","h_pd","h_pd_additional_info","meta.instanceID","X_parent_table_name","X_parent_index","h_id_old","h_f_weekly","h_UID"
"1006",0,,,,,"Go to do loundry","Go to take scrap","Flood area",2,"",5,"Rain water",3,"",2,"",5,"Rain water",3,"","Boil well water","","Morning glory, cabac,",,,"Defecate outsize",,"","uuid:0b44f1f8-ee2d-4cea-9469-c6e2ca4e4057",,-1,"1006",0,"01_1000"
"1005",0,,,,,"","Not have open drain","Flood area",3,"",5,"Rain water",3,"",3,"",5,"Rain water",3,"","Only big bottle water (20L)","","Spring teur., Cabac",,,"Defecated out size",,"","uuid:d420f728-b550-4120-aec0-e87e5e548cfa",,-1,"1005",0,"01_1001"
"12",0,,,,,"","","Across rain flooding",3,"",5,"Only bottle water",6,"Only bottle water",,"",,"",,"","","","Cucumber morning glory salad",4,,"No liner",,"","uuid:195414be-f355-4e36-aa18-e9d6eb711cab",,-1,"12",0,"01_1002"
"11",0,,,,,"","","",3,"",5,"Only bottles water ,  rain water about 1t/week",6,"Only bottles water",3,"",5,"Same mother",6,"Same mother","","","Cucumber ,  morning glory",4,,"",,"","uuid:445b2533-2014-40c6-9748-cc023d1de298",,-1,"11",0,"01_1003"
"10",0,,,,,"","","Play with flooding only when there is raining",3,"",5,"Only bottle water, rain water is used to drink when there is raining.",6,"Only bottle water",3,"",5,"Same mother",6,"Same mother","","","Cucumber for child; kachhet; egg plant morning glory,; been germination",,,"Use with other house ,",,"","uuid:0d094e03-8d92-4a35-9e0d-b78487e0fbfe",,-1,"10",0,"01_1004"
"14",0,,,,,"","","Children play with flood during raining",3,"",5,"Only bottle water",1,"",3,"",5,"Only bottle water",6,"Only bottle water","","Drinking directly with bottle water","",4,,"",,"","uuid:18d8f6b7-316f-48c6-a680-bfa15faec8c4",,-1,"14",0,"01_1005"
"16",0,,,,,"","","",3,"",2,"",5,"",3,"",2,"",5,"","Boil well water or rain water","","Cook vegetables for grand ma only but other raw and cook",4,,"",,"","uuid:4fe3d315-1b8d-4d2a-896c-11d80d374a76",,-1,"16",0,"01_1006"
"7",0,,,,,"","","",3,"",5,"Rain water, there is storage tank for rain water . One time rain, the water can store for 1 week. They drink directly from store tank",6,"N/a",3,"",5,"Same mother",6,"N/a","","","",4,,"",,"Mostly urine","uuid:3d21fe7f-0b22-4be8-9eab-11b1cc38d960",,-1,"7",0,"01_1007"
"9",0,,,,,"","","",3,"",5,"Only bittle water , blue bottle .",6,"N/a",3,"",5,"Only bottle Water",6,"N/a","","","Cucumber",4,,"",,"","uuid:7a339901-c78f-4e5b-9b48-59cd2dc61731",,-1,"9",0,"01_1008"
"17",0,,,,,"","","",3,"",5,"Only bottle water",6,"N/a",,"",,"",,"","","","Cucumber, herb,",4,,"",,"","uuid:329113fc-f02d-44f5-9370-ab60ac0bde17",,-1,"17",0,"01_1009"
"19",0,,,,,"","","",3,"",5,"Only bottle water",4,"",3,"",5,"Only bottle water",6,"Only bottle water","","","",4,,"",,"","uuid:c1e7ab8d-d23c-4683-bf30-e80f48b9cdee",,-1,"19",0,"01_1010"
"1009",0,,,,,"","When go to take scraps","Rainy season",3,"",2,"",3,"",3,"",5,"Rain water",4,"","Only bottle water (20)","","Morning glory, cucumber, long bean, cachhet, trop.",,,"Defecate outsize",,"","uuid:4589f8fe-d2b5-42ac-9419-a90b6e9def5f",,-1,"1009",0,"01_1011"
"1025",0,,,,,"","Not have open drain","Flood water area",3,"",5,"Only bottle water (20L)",4,"",3,"",3,"",3,"","Small bottle water (0.5L)","Big bottle water treatment (20L)","Smarch leaf, cucumber, cabac, cachhet...",2,,"Flood sometime (have big rain)",,"","uuid:2e3fecb5-6294-454f-aef6-d1aecbca5844",,-1,"1025",0,"01_1012"
"1026",0,,,,,"","Not have drain","Flood water area",3,"",3,"",1,"",5,"Rain water, well water",5,"Rain water, well water",3,"","On big bottle water (20L)","","Cucumber, cachhet, morning glory, trop, salad, ...",2,,"",,"","uuid:adb00079-8ca5-470a-8b40-fb1d3de5e370",,-1,"1026",0,"01_1013"
"1027",0,,,,,"Rainy season","Not have open drain","Flood water area",3,"",5,"Rain water",3,"",3,"",5,"Rain water",3,"","Only big bottle water(20L)","Filter","Cucumber, morning glory, cabac, cachhet...",2,,"Flood area",,"Sometime used plastic bag (children)","uuid:3b40d52b-8887-4221-a85f-bed62af2c190",,-1,"1027",0,"01_1014"
"28",0,,,,,"","","",5,"Filter water",3,"",3,"",5,"Filter water",3,"",3,"","","","",4,,"",,"Before going out, she always go to toilet","uuid:bbc43eec-6364-4109-ad70-d15baede8363",,-1,"28",0,"01_1015"
"29",0,,,,,"","","",3,"",5,"Rain water",3,"",,"",,"",,"","When rainy season","","",4,,"",,"","uuid:fbd35f4c-7af1-41ed-a95d-7498d84075c0",,-1,"29",0,"01_1016"
"30",0,,,,,"","","",3,"",5,"Only bottle water",6,"N/a",,"",,"",,"","","","Cucumber, lettuce",4,,"",,"","uuid:c7d4d731-514d-4870-a502-8739ee16a85b",,-1,"30",0,"01_1017"
"31",0,,,,,"","","When rainy season but sometimes use boots",5,"Filter water",5,"Only filter water",6,"n/a",,"",,"",,"","","","",4,,"",,"","uuid:b41b9d39-2bed-40b5-849f-271c47a26539",,-1,"31",0,"01_1018"
"1020",0,,,,,"Go to take scraps (river)","Not open drain","Flood area",3,"",5,"Rain water",3,"",3,"",5,"Rain water",3,"","Only bottle water (20L)","","Cabac, cucumber, cachhet, lattuce.....",,,"Share with other household",,"","uuid:ca8091c1-5ce5-49e4-b1a5-b50d8aa9cf62",,-1,"1020",0,"01_1019"
"1022",0,,,,,"When go to take scraps","Go to take scraps","Flood area",3,"",5,"Rain water (boil)",3,"",3,"",5,"Rain water",3,"","Only bottle water (20L)","","Cabac, cachhet, cucumber, morning glory, smarch leaf,.....",2,,"Pour water",,"","uuid:ff9aed69-15f1-4763-bc39-3c4c59f18db3",,-1,"1022",0,"01_1020"
"1001",0,,,,,"Rainy season","Not open drain","Flood area",3,"",5,"Rain water",2,"",3,"",5,"Rain water",2,"","Only bottle water (20L)","","Cucumber, cachhet, morning glory...",2,,"",,"","uuid:e99ebbb4-a1b1-48e1-917e-c7c9930bbb24",,-1,"1001",0,"01_1021"
"1023",0,,,,,"","Not open drain","Flood area",3,"",5,"Rain water",3,"",3,"",5,"Rain water",3,"","Rainy season, and only bottle water (20L)","","Cucumber, lattuse, long bean, morning glory...",2,,"Pour water",,"","uuid:bac546ee-6489-480e-afe5-38e9360e948a",,-1,"1023",0,"01_1022"
"1002",0,,,,,"","Not open drain","Flood area ( Over 3month)",3,"",5,"Rain water",3,"",3,"",5,"Rain water",3,"","Only bottle water (20L)","Break filter water","Lattuse, salad, long bean, cucumber, carot,...",2,,"Pour water",,"","uuid:f5971c89-e3f4-4063-a01e-06f86875e10a",,-1,"1002",0,"01_1023"
"1004",0,,,,,"Go go to take scrap","Not open drain","Flood area",3,"",5,"Rain water",3,"",3,"",5,"Rain water",3,"","Only bottle water (20L)","","Cucumber, cabac, salad, long bean....",,,"Go outsize",,"","uuid:0ebf5fea-b0a0-49dd-9057-31eb3eef628a",,-1,"1004",0,"01_1024"
"1010 A",0,,,,,"","Not open drain","Flood area",3,"",5,"Rain water",6,"No children",,"",,"",,"","Only bottle water (20L)","","Salad, cucumber, trop, lattuse,....",,,"Share with other household",,"","uuid:f2511bab-5a57-4289-96d2-04cf5182ba55",,-1,"1010 A",0,"01_1025"
"1",0,,,,,"","","",3,"",3,"",1,"",,"",,"",,"","Drink boil White bottle water always","Use only white bottle water for activity in home. Boil bottle water for drinking","Salad",4,,"",,"Before going out use own toilet and use urine dry underwater if travel far away","uuid:3da18f94-6ff4-4315-9ffe-1459acf02523",,-1,"1",0,"01_1026"
"2",0,,,,,"","","Go to visit family inlow",3,"",3,"",1,"",,"",,"",,"","Drinking boil bottle at home 01 everyday in day time","","Egg plant cucumber Latus",4,,"No liner",,"","uuid:38f7e438-90ea-4159-8993-eb2e662fbdde",,-1,"2",0,"01_1027"
"4",0,,,,,"","","",3,"",3,"",1,"",3,"",3,"",1,"","White bottle water, never use other second source because well water is too dirty and it can not use instead of well water, raining water is used instead of bottle water about 1/2 t in raining season.","","Latus, salad, cucumber , tomato",4,,"During heavy raining it can not use but after it stop it is become normal",,"","uuid:3313470f-9dcf-4794-9d23-0d1ea7c20441",,-1,"4",0,"01_1028"
"3",0,,,,,"","","",3,"",3,"",1,"",3,"",3,"",1,"","White bottle water directly , never use other source of water","","Latus , egg plant",4,,"",,"Rarely outside from her own toilet.  Pop before going out","uuid:41d8c2ac-20f3-4d4e-ad7b-9de7844af122",,-1,"3",0,"01_1029"
"6",0,,,,,"","Of","Raining",3,"",3,"",1,"",3,"",3,"",1,"","Drinking bottle water all except grand pa boil for tea","Only grandpa boil other use bottle water","Morning glory egg plant cucumber",4,,"",,"","uuid:5a8e110f-0e08-448d-978d-729f3fa89a31",,-1,"6",0,"01_1030"
"15",0,,,,,"","","Raining",3,"",3,"",1,"",3,"",3,"",1,"","","","Latus cucumber",4,,"2 toilet",,"","uuid:f033cba9-cce8-4c9c-b8ad-4f08d1757877",,-1,"15",0,"01_1031"
"1014",0,,,,,"When big raining","Not open drain","When big raining",3,"",4,"",4,"",3,"",3,"",3,"","Big bottle 20L, small bottle 0.5L","Big bottle water, rain water","Kachhet, carrot, cabac",2,,"",,"","uuid:de8c8285-71c1-45ad-9ad7-97f2303db961",,-1,"1014",0,"01_1032"
"1013",0,,,,,"Flood water area","Well water open drain","Big raining",3,"",3,"",1,"",3,"",3,"",3,"","Boil water","","Cucumbers, cabac, carot....",2,,"When have big rain",,"","uuid:5106d0ac-4626-4910-938f-8b18097aaa2d",,-1,"1013",0,"01_1033"
