"number","formid","form.hh_dd","form.neighbor","X_h_location_latitude","X_h_location_longitude","X_h_location_altitude","X_h_location_precision","form.hh_gps_device","form.hh_gps_id","form.hh_waypoint","form.hh_q17d","form.hh_q17d_other","form.hh_q18","username","caseid","case_name","h_f_weekly","h_UID"
1,"4b1fa317-3f75-4d25-adb7-4f0ba6983eaa","2016-04-27 11:48:00","Chorkor","5.528447667101602","-0.24135442717638111","35.41","16.0","Yes","SP1",4115,7,,"1","maggrey",,,0,"03_0001"
2,"4b373e8c-c323-46ce-a368-b8364db9eaad","2016-04-25 13:07:00","Chorkor","5.525307709128126","-0.2500396337507687","32.56","4.0","Yes","sp8",325,1,,"3","slaryea",,,0,"03_0002"
3,"570813ff-95c7-499b-a75d-8f6298ce88cc","2016-03-22 10:22:00","Shiabu","5.52363614","-0.25648573","47.0","21.0","Yes","041",41,1,,"3 4","test",,,0,"03_0003"
4,"4fb6b20b-31aa-4cd8-9450-6b7643070409","2016-04-28 10:33:00","Chorkor","5.53126679","-0.24230141","55.0","7.0","Yes","SP5",5120,1,,"1","reginald",,,0,"03_0004"
5,"46e52e24-de32-42ff-84d2-42f02ddd9781","2016-04-25 11:19:00","Chorkor","5.52499648","-0.24715125","65.0","5.0","Yes","sp7",121,3,,"3","ethel",,,0,"03_0005"
6,"394d0213-6194-47b7-aafb-4fd949e99609","2016-06-08 10:12:00","Adabraka","5.56151354","-0.21278039","65.0","31.0","Yes","SP5",5121,7,,"3","reginald",,,0,"03_0006"
7,"3aaa094e-b608-4887-8f9b-0254af57a4e1","2016-04-28 11:42:00","Chorkor","5.5325524","-0.2433719","0.0","64.5","Yes","SP1",4124,7,,"3","maggrey",,,0,"03_0007"
8,"3f91cc93-29f5-46ce-87eb-e0926730f10b","2016-04-28 11:08:00","Chorkor","5.52873844636563","-0.24866692613970015","41.53","4.0","Yes","sp8",3222,1,,"1","slaryea",,,0,"03_0008"
9,"417cf179-8dbf-4f61-bf6e-e672b140bef1","2016-07-18 10:57:00","Kokomlemle","5.57254215","-0.21176345","36.0","5.0","Yes","SP10",71413,7,,"2 3","famponsah",,,0,"03_0009"
10,"4212cf1f-cfe4-4d01-ace8-befa6087a2a0","2016-04-28 11:36:00","Chorkor","5.53083469","-0.23805169","50.0","5.0","Yes","SP10",7125,7,,"2 3","famponsah",,,0,"03_0010"
