"CompoundID","MapSanHHID","dd","th","group","h_start_dt","h_id_val","h_UID"
2038,1,2015-03-06,"10:22:00",0,"2015-03-06T10:22:00",1000,"05_1000"
3030,1,2015-03-13,"10:04:00",0,"2015-03-13T10:04:00",1001,"05_1001"
3031,1,2015-03-11,"11:00:00",0,"2015-03-11T11:00:00",1002,"05_1002"
2031,1,2015-03-03,"10:13:00",0,"2015-03-03T10:13:00",1003,"05_1003"
2032,1,2015-03-02,"10:45:00",0,"2015-03-02T10:45:00",1004,"05_1004"
2034,1,2015-03-05,"10:50:00",0,"2015-03-05T10:50:00",1005,"05_1005"
2034,1,2015-03-05,"10:42:00",0,"2015-03-05T10:42:00",1006,"05_1006"
2036,1,2015-03-06,"09:38:00",0,"2015-03-06T09:38:00",1007,"05_1007"
2040,1,2015-03-10,"10:06:00",0,"2015-03-10T10:06:00",1008,"05_1008"
2041,1,2015-03-10,"10:14:00",0,"2015-03-10T10:14:00",1009,"05_1009"
2036,2,2015-03-06,"09:33:00",0,"2015-03-06T09:33:00",1010,"05_1010"
3037,2,2015-03-12,"09:00:00",0,"2015-03-12T09:00:00",1011,"05_1011"
2040,2,2015-03-10,"10:18:00",0,"2015-03-10T10:18:00",1012,"05_1012"
2041,2,2015-03-10,"09:29:00",0,"2015-03-10T09:29:00",1013,"05_1013"
3006,2,2015-03-12,"09:46:00",0,"2015-03-12T09:46:00",1014,"05_1014"
3030,2,2015-03-13,"09:59:00",0,"2015-03-13T09:59:00",1015,"05_1015"
3034,2,2015-03-13,"10:03:00",0,"2015-03-13T10:03:00",1016,"05_1016"
2032,3,2015-03-02,"08:51:00",0,"2015-03-02T08:51:00",1017,"05_1017"
2034,3,2015-03-05,"10:36:00",0,"2015-03-05T10:36:00",1018,"05_1018"
2039,3,2015-03-09,"10:36:00",0,"2015-03-09T10:36:00",1019,"05_1019"
3031,3,2015-03-11,"10:56:00",0,"2015-03-11T10:56:00",1020,"05_1020"
3006,3,2015-03-12,"09:52:00",0,"2015-03-12T09:52:00",1021,"05_1021"
2034,4,2015-03-05,"10:27:00",0,"2015-03-05T10:27:00",1022,"05_1022"
2037,4,2015-03-09,"10:30:00",0,"2015-03-09T10:30:00",1023,"05_1023"
3034,4,2015-03-13,"10:08:00",0,"2015-03-13T10:08:00",1024,"05_1024"
3030,4,2015-03-13,"09:50:00",0,"2015-03-13T09:50:00",1025,"05_1025"
2037,5,2015-03-09,"10:40:00",0,"2015-03-09T10:40:00",1026,"05_1026"
2035,5,2015-03-05,"10:05:00",0,"2015-03-05T10:05:00",1027,"05_1027"
2040,5,2015-03-10,"10:26:00",0,"2015-03-10T10:26:00",1028,"05_1028"
3031,5,2015-03-11,"10:57:00",0,"2015-03-11T10:57:00",1029,"05_1029"
3034,5,2015-03-13,"10:04:00",0,"2015-03-13T10:04:00",1030,"05_1030"
3030,5,2015-03-13,"09:46:00",0,"2015-03-13T09:46:00",1031,"05_1031"
3030,6,2015-03-13,"09:40:00",0,"2015-03-13T09:40:00",1032,"05_1032"
2032,7,2015-03-02,"10:47:00",0,"2015-03-02T10:47:00",1033,"05_1033"
2031,7,2015-03-03,"10:16:00",0,"2015-03-03T10:16:00",1034,"05_1034"
3006,7,2015-03-12,"09:51:00",0,"2015-03-12T09:51:00",1035,"05_1035"
3001,8,2015-03-11,"10:56:00",0,"2015-03-11T10:56:00",1036,"05_1036"
3001,14,2015-03-11,"10:50:00",0,"2015-03-11T10:50:00",1037,"05_1037"
3001,21,2015-03-11,"11:25:00",0,"2015-03-11T11:25:00",1038,"05_1038"
3037,3,2015-03-12,"09:55:00",0,"2015-03-12T09:55:00",1039,"05_1039"
3032,1,2015-03-16,"10:00:00",0,"2015-03-16T10:00:00",1040,"05_1040"
3032,3,2015-03-16,"10:05:00",0,"2015-03-16T10:05:00",1041,"05_1041"
3032,5,2015-03-16,"10:21:00",0,"2015-03-16T10:21:00",1042,"05_1042"
3032,8,2015-03-16,"09:10:00",0,"2015-03-16T09:10:00",1043,"05_1043"
