"h_dw_b.1","h_dw_b.2","h_dw_b.3","h_dw_b.4","h_dw_b.5","h_dw_b_other","h_dw_specific","h_dw_d.1","h_dw_d.2","h_dw_d.3","h_dw_d.4","h_dw_d.5","h_dw_d_other","h_dw_cspecific","meta.instanceID","X_tags","X_notes","h_UID"
"True","False","False","False","False",,"Mobile water","True","False","False","False","False",,"Mobile water","uuid:91b80bf2-c2f4-4464-bd04-dea0b8f78b24",,,"07_1000"
"False","False","False","False","True",,"The respondent drinks municipal water","False","False","False","False","True",,"The children drink municipal water","uuid:182764d1-6bf8-4324-99cd-0090c0a7f9e2",,,"07_1001"
"True","False","False","False","False",,"Cool","True","False","False","False","False",,"Cool","uuid:b3dae098-c4ef-471c-a18b-104dd3022e7c",,,"07_1002"
"False","False","False","False","True",,"Drinks municipal water","False","False","False","False","True",,"Drinks municipal water","uuid:d8e52b4a-9be6-40a1-86bd-80339cdf3729",,,"07_1003"
"False","False","False","False","True",,"Drinks municipal water","False","False","False","False","True",,,"uuid:3cb715ad-ede3-4ee1-aa29-379dafc0a9dc",,,"07_1004"
"True","False","False","False","False",,"Special ice","True","False","False","False","False",,"Special ice","uuid:7baed4a2-cecb-4fd6-b3a2-d1c9d9f344d2",,,"07_1005"
"False","False","False","False","True",,"Drinks municipal water","False","False","False","False","True",,"Drinks municipal water","uuid:4ee19311-231d-4115-aca6-04b085a2a9be",,,"07_1006"
"False","True","False","False","False",,"Voltic","True","False","False","False","False",,"Cool and special","uuid:662f1f6f-219b-466f-952d-2820fceca161",,,"07_1007"
"True","False","False","False","False",,"Mobile water","True","False","False","False","False",,"Mobile  water","uuid:0647407b-51e9-4b4a-91c6-34746f4b580e",,,"07_1008"
"True","False","False","False","False",,"Cool","True","False","False","False","False",,"Cool","uuid:9d66c943-6ff1-4454-97a1-551314de45c9",,,"07_1009"
"True","False","False","False","False",,"Cool water ","True","False","False","False","False",,"Cool water ","uuid:60b7240c-da2c-449f-8c24-e159a1142ed1",,,"07_1010"
"True","False","False","False","False",,"Cool ","True","False","False","False","False",,"Cool water ","uuid:656b8a3a-61a5-48ed-aad4-0fa55321c490",,,"07_1011"
"True","False","False","False","False",,"Cool water ","True","False","False","False","False",,"Cool water ","uuid:c40df0b6-3499-4623-88e8-d76254b67df6",,,"07_1012"
"True","False","False","False","False",,"Cool water ","True","False","False","False","False",,"Cool water ","uuid:1a193ddb-770b-494f-beb8-bff25ad90b28",,,"07_1013"
"True","False","False","False","False",,"Mobile and cool water ","True","False","False","False","False",,"Mobile water and cool water ","uuid:9f13fbfc-fadb-45d1-8f4c-dcebab5243e2",,,"07_1014"
"True","False","False","False","False",,"Cool water","True","False","False","False","False",,"Cool water","uuid:c3e03685-9a25-44c4-af8d-b35bf544df1d",,,"07_1015"
"True","False","False","False","False",,"Cool","True","False","False","False","False",,"Cool","uuid:ca38d074-deed-489a-b09e-90f2ef1fe0b3",,,"07_1016"
"True","False","False","False","False",,"Cool","True","False","False","False","False",,"Mobile water","uuid:5f2127d9-b1f1-4d51-9b56-5543654f1b4f",,,"07_1017"
"True","False","False","False","False",,"Mobile and cool drinking water","True","False","False","False","False",,"Cool","uuid:29fbea3a-3543-471e-82b6-44e318a6e602",,,"07_1018"
"True","False","False","False","False",,"Everpure and cool drinking water","True","False","False","False","False",,"Everpure and cool drinking water","uuid:88890b30-7c85-448e-8847-da5f31cfb439",,,"07_1019"
"True","False","False","False","False",,"Special mineral water","True","False","False","False","False",,"Special mineral water","uuid:f35ea32a-06b8-40eb-83db-76102d6d1e6a",,,"07_1020"
"True","False","False","False","False",,"Vivita","True","False","False","False","False",,"Vivita","uuid:9ab21d51-25b3-4e07-a438-fc6e90e4b3f3",,,"07_1021"
"True","False","False","False","False",,"Cool and special minera water","True","False","False","False","False",,"Cool and special minera water","uuid:c28c9a9a-1167-4fa6-81eb-6c0ab02be4cd",,,"07_1022"
"True","False","False","False","False",,"Camelot and spark","True","False","False","False","False",,"Camelot and spark","uuid:cc55beaa-a38b-48b6-aeff-15d26ccc2ce4",,,"07_1023"
"True","False","False","False","False",,"Spark minera water","True","False","False","False","False",,"Spark minira water","uuid:235666fa-e244-4892-9ccd-756efe5b4661",,,"07_1024"
"True","False","False","False","False",,"Spark and visits minera water","True","False","False","False","False",,"Spark and vivita minera water","uuid:150bf14b-233e-4e95-becb-abb918041486",,,"07_1025"
"True","False","False","False","False",,"Cool and special mineral water","True","False","False","False","False",,"Cool and special minera water","uuid:96cbd7b0-1b3d-4159-99ca-6fbb8619cd28",,,"07_1026"
"True","False","False","False","False",,"Cool mineral water","True","False","False","False","False",,"Cool mineral water","uuid:aa500e96-2f1d-4f1e-ae1f-d96bf01e0992",,,"07_1027"
"True","False","False","False","False",,"Nayas mineral water","False","True","False","False","False",,"Voltic mineral water","uuid:3eeb2ef7-cd66-4f5c-942e-e2346bbf7434",,,"07_1028"
"True","False","False","False","False",,"Mobile water","True","False","False","False","False",,"Mobile Water","uuid:8ef4bfb4-748c-4158-b224-10861ef6a019",,,"07_1029"
"True","False","False","False","False",,"Cool Pac Water","True","False","False","False","False",,"Cool Pac Water","uuid:f464ee02-bff5-4b6f-bc4c-8c4afcb35f96",,,"07_1030"
"True","False","False","False","False",,"Cool Pac","True","False","False","False","False",,"Cool Pac","uuid:88ffe947-3084-48ca-8bc2-304293e4fc6a",,,"07_1031"
"True","False","False","False","False",,"Cool Pac","True","False","False","False","False",,"Cool Pac","uuid:67af69a3-18dc-4e5c-9580-540e383b0c1f",,,"07_1032"
"True","False","False","False","False",,"Cool Pac","True","False","False","False","False",,"Cool Pac","uuid:2ae543f6-50da-4f16-af86-1e291873df8c",,,"07_1033"
"True","False","False","False","False",,"Cool mineral water.","True","False","False","False","False",,"Cool mineral water.","uuid:2375520b-0e48-45ad-88e8-505130258e43",,,"07_1034"
"True","False","False","False","False",,"Cool and mobile mineral water.","True","False","False","False","False",,"Cool and mobile mineral water.","uuid:7ab1db33-4746-4f7f-83f7-96dd313ee6d9",,,"07_1035"
"False","True","False","False","False",,"Voltic and awake bottled water.","True","False","False","False","False",,"Cool and mobile mineral water.","uuid:103c6243-9a43-4d48-b66b-ce4de307cd29",,,"07_1036"
"True","False","False","False","False",,"Cool, everpure and mobile water.","True","False","False","False","False",,"Cool, everpure and mobile mineral water.","uuid:c300dc62-1b0d-43a4-a5a6-82e61083d71c",,,"07_1037"
"True","False","False","False","False",,"Cool mineral water.","True","False","False","False","False",,"Cool mineral water.","uuid:41fb984c-c075-493c-9bcf-9b545d17dfd1",,,"07_1038"
"True","False","False","False","False",,"Cool sachet water.","True","False","False","False","False",,"Cool sachet water.","uuid:476a790a-e4a9-477c-9aee-6f16ead4ba8a",,,"07_1039"
"True","False","False","False","False",,"Cool, golden PAC sachet water.","True","False","False","False","False",,"Cool golden PAC sachet water.","uuid:d8f1bc86-f6d3-4675-8207-7dd52ac90af6",,,"07_1040"
"True","False","False","False","False",,"Spark sachet water.","True","False","False","False","False",,"Spark sachet water.","uuid:b8c1909f-fdf2-430f-b5d9-ebd33d88456c",,,"07_1041"
"True","False","False","False","False",,"Sparks mineral water.","True","False","False","False","False",,"Sparks mineral water.","uuid:c4ed62c8-aeb4-4e92-a553-2d9fea8cc80e",,,"07_1042"
"True","False","False","False","False",,"Sparks sachet water.","True","False","False","False","False",,"Sparks sachet water.","uuid:2d0b3abf-8eda-4388-9fc9-d9d5387d7870",,,"07_1043"
"False","False","False","False","True",,"Drinks municipal water","False","False","False","False","True",,"Drinks municipal water ","uuid:89a52d97-b853-4514-a398-b43b889ff891",,,"07_1044"
"True","False","False","False","False",,"Cool","True","False","False","False","False",,"Cool ","uuid:8183fdd2-d01c-4e2e-9ec8-a4ff1426e19b",,,"07_1045"
"False","True","False","False","False",,"Verna and awake","True","False","False","False","False",,"Camelot and spark filtered drinking water ","uuid:96649ee1-fcb3-4ac5-b7fd-869703312913",,,"07_1046"
