"h_sex","h_bw_source","h_bw_source_other","meta.instanceID","X_tags","X_notes","h_UID"
1,2,,"uuid:276a7f4d-34e3-4b3f-9500-e9bf4906fe8c",,,"09_1000"
1,2,,"uuid:991c7f76-222e-4f71-b4a3-f4b34e0bf161",,,"09_1001"
1,1,,"uuid:de2b5363-f97f-4e86-bc78-d545387d0d14",,,"09_1002"
1,1,,"uuid:90cb04ca-0f51-4ff5-a401-e4ac3960ee8c",,,"09_1003"
1,1,,"uuid:29d43377-e81c-4a3a-9099-b10a3a3c33c1",,,"09_1004"
1,1,,"uuid:4bf3ae7d-1d05-4712-bfae-c477dfe8cfeb",,,"09_1005"
1,1,,"uuid:1c93c684-ce7c-40bc-98bf-bc2eda1fe883",,,"09_1006"
1,2,,"uuid:a9a8efda-528c-4975-8b70-6995a4f9dbe6",,,"09_1007"
2,2,,"uuid:66fc12f2-4d36-4006-85eb-89667e859b13",,,"09_1008"
1,2,,"uuid:da442d7b-d7a9-4084-95b6-3209703ff47c",,,"09_1009"
1,2,,"uuid:74e30560-7dfc-4d30-8a49-14c66c094732",,,"09_1010"
1,2,,"uuid:50ba25c2-f191-4761-9243-94f76f53b1e8",,,"09_1011"
1,2,,"uuid:44c4b6bf-d7ba-4215-8b3f-e5c7a85ce0dd",,,"09_1012"
1,2,,"uuid:6f6dfe2d-41a6-4f3f-9b29-34d403c09e5e",,,"09_1013"
1,2,,"uuid:b8b2eac9-a76f-453d-9ee5-9871a080f906",,,"09_1014"
1,2,,"uuid:de83690c-da6d-4183-9ef3-150eb94ebae4",,,"09_1015"
1,2,,"uuid:ccda0007-5501-434e-bba1-9e72d58dd28b",,,"09_1016"
1,1,,"uuid:55ec0901-7026-4c27-847f-1370272241fb",,,"09_1017"
1,2,,"uuid:1f55eeeb-3aaa-408a-afff-f39de186f471",,,"09_1018"
2,2,,"uuid:920324fb-a1e3-4edb-97d6-ac381c812450",,,"09_1019"
1,1,,"uuid:e598a136-a6fb-43c9-8aa4-5cdb7f7a0244",,,"09_1020"
2,1,,"uuid:10e6a036-a718-4d18-810b-4d2950be4f20",,,"09_1021"
1,1,,"uuid:e06ad878-85f8-4685-aff7-ab0cf8af443c",,,"09_1022"
1,1,,"uuid:98e5198b-ed1d-4370-996a-ab5bfc388e0d",,,"09_1023"
1,1,,"uuid:3ba7e6df-fd01-4ef4-93c4-283c16131cfc",,,"09_1024"
1,1,,"uuid:672f7d6b-19ac-40bf-9666-1cb861243bcf",,,"09_1025"
1,1,,"uuid:ee4cf04c-68b2-4bfb-ad99-1e475e475bfb",,,"09_1026"
1,1,,"uuid:7e31bb85-9506-4207-9926-a43aef27fd46",,,"09_1027"
1,1,,"uuid:1cb2589b-6166-4d52-a34d-7fd0a5e150f8",,,"09_1028"
1,1,,"uuid:3ddddf79-a1db-4e34-a9ef-ba4a45ac1a78",,,"09_1029"
1,1,,"uuid:22214e92-d547-4537-bf5f-9ff7e80b403e",,,"09_1030"
2,1,,"uuid:66cf8b7d-5ac3-4843-b970-7d452c552bc0",,,"09_1031"
1,1,,"uuid:2ddb23c7-75df-45f5-866b-f7939708b9a8",,,"09_1032"
1,1,,"uuid:cf9aa31c-30dd-48cc-84a5-5ebd7a9565de",,,"09_1033"
1,1,,"uuid:e1d01ea4-c497-4a44-9e19-b5e0ebce0fcb",,,"09_1034"
1,1,,"uuid:cf75d144-6f86-4bb1-b8a9-421f6a6bea61",,,"09_1035"
1,1,,"uuid:3b91b427-4531-42b3-8470-a676a894457a",,,"09_1036"
1,2,,"uuid:7715799b-0a37-4412-86f6-09572c05d12c",,,"09_1037"
1,1,,"uuid:b70bc8df-48be-40be-836c-c980722e6f75",,,"09_1038"
1,2,,"uuid:8e6a52d3-2be1-4f08-9a81-a1113f08b9c0",,,"09_1039"
2,2,,"uuid:af9409fe-cee8-42d7-9783-0edc379a8d57",,,"09_1040"
1,1,,"uuid:6087d062-164c-4003-a745-451ca9c5abe6",,,"09_1041"
1,1,,"uuid:56d015d7-a832-48e1-8dec-98cc2d6608db",,,"09_1042"
1,1,,"uuid:073e7ffa-eeef-4806-ab05-f281b67860c7",,,"09_1043"
1,1,,"uuid:cf085e5f-bd3c-43b7-998a-5820b062d9b5",,,"09_1044"
1,1,,"uuid:c8857ea8-628a-47df-82b7-9c09fb17ef54",,,"09_1045"
1,1,,"uuid:c2c579fb-c41f-42d7-983f-ec5ce89ce6b6",,,"09_1046"
2,1,,"uuid:59cf0f69-f31e-422e-b0e8-7b853ffdf9d4",,,"09_1047"
1,1,,"uuid:073911ea-d01b-4ff5-8b8d-756a6da6c2e9",,,"09_1048"
1,1,,"uuid:a3a3da1a-90aa-4ae8-90d2-951f4cb7c583",,,"09_1049"
1,1,,"uuid:7d22aa62-6a06-44ae-bd3c-79732df6a7d5",,,"09_1050"
1,1,,"uuid:32ea026a-082c-453b-8fa3-1e7bc2bd746e",,,"09_1051"
1,1,,"uuid:26169a5f-e455-4edf-bbfc-475d9cc79118",,,"09_1052"
1,1,,"uuid:4bc5da60-7a06-4572-9b7c-e0e09aa0ca2f",,,"09_1053"
1,2,,"uuid:668bb88f-16ac-40f2-aaae-1491a03b811c",,,"09_1054"
1,2,,"uuid:82fa155d-5b61-4c08-81ff-c908d23e61cf",,,"09_1055"
1,2,,"uuid:1928db36-5089-48cd-bae4-22c97189d94e",,,"09_1056"
1,2,,"uuid:6ab7ff03-adac-4ab2-a0ac-38384ffe56d4",,,"09_1057"
1,2,,"uuid:17dbc544-2141-48e7-8048-e1b526109be1",,,"09_1058"
1,2,,"uuid:5ef553e9-0907-462d-ac69-bcd1f44da131",,,"09_1059"
1,1,,"uuid:680391b3-5ab4-410b-9fbd-5a87dc0a09cf",,,"09_1060"
1,1,,"uuid:475b4bbf-2064-4860-9345-8f6c5768e8f9",,,"09_1061"
1,1,,"uuid:34eb9488-c8ce-4b64-98d2-af971be95544",,,"09_1062"
1,2,,"uuid:fe8b219a-6b78-4119-8e47-5f8d15e9d54a",,,"09_1063"
1,1,,"uuid:f7b8f2c3-7f1c-4f04-9605-6da6c3d5aa31",,,"09_1064"
1,1,,"uuid:0be97370-7214-4b8f-8955-d5064b5f6c99",,,"09_1065"
1,1,,"uuid:dcd71a3c-82db-4f42-afbd-e6f5bda56c1d",,,"09_1066"
1,1,,"uuid:40fd7a1f-948c-40f8-bb8e-59d9abda2571",,,"09_1067"
1,1,,"uuid:9fa8b56a-d90f-4d19-9a2d-857230846c20",,,"09_1068"
1,1,,"uuid:3eba99af-2ee9-44e9-8b68-8859697e15cb",,,"09_1069"
1,1,,"uuid:1170906a-f5c7-4e67-bd65-226701176786",,,"09_1070"
1,1,,"uuid:b64a63e1-e827-47b0-9a43-11b6fc9d0aec",,,"09_1071"
1,1,,"uuid:27e489c4-6142-4c50-ace5-e554164f37b1",,,"09_1072"
1,1,,"uuid:9f92edfa-3342-46b2-9738-192fa187a6a8",,,"09_1073"
