"h_bw_source","h_bw_source_other","h_bw_source_na","meta.instanceID","X_tags","X_notes","h_UID"
1,,,"uuid:429a2ab4-53c4-4518-9e04-12f33053ebd4",,,"13_1000"
1,,,"uuid:b4cd7361-beca-43d5-9ab3-c67ea6343cef",,,"13_1001"
1,,,"uuid:89bc6d5f-5580-449d-be1d-a386ce3d3015",,,"13_1002"
1,,,"uuid:c047c775-d262-4a2a-b6a9-ebef1a27183c",,,"13_1003"
1,,,"uuid:5f73a836-6265-4a76-a81f-06de1125479b",,,"13_1004"
1,,,"uuid:0a20c31a-e1ba-4968-9681-6ee54ba734f3",,,"13_1005"
1,,,"uuid:cd1315eb-9a64-4915-93c0-5a582da42890",,,"13_1006"
3,,,"uuid:14477914-ef24-45d7-bb4a-dff59f7e365b",,,"13_1007"
1,,,"uuid:3a95578a-82cd-48df-8d73-41caa20cd03c",,,"13_1008"
1,,,"uuid:a6d1ae49-ef59-4709-af12-64c023363c25",,,"13_1009"
1,,,"uuid:c2f734cb-f134-48df-95d1-bf6a0dbde1f0",,,"13_1010"
1,,,"uuid:a55df077-9f16-4997-ace6-02d8884689ac",,,"13_1011"
1,,,"uuid:caf10a88-7089-40cd-bcfc-d3896e5ea5da",,,"13_1012"
1,,,"uuid:8128c84c-90fc-4490-ad92-a45250207bc6",,,"13_1013"
1,,,"uuid:31b554a7-42a6-4bc3-92c1-1dee33cb627f",,,"13_1014"
1,,,"uuid:a9d209f4-beca-415f-9d42-906d899fbf7e",,,"13_1015"
1,,,"uuid:38c7d5cf-40b9-43ea-b70b-14967c2e23a3",,,"13_1016"
1,,,"uuid:cf74049a-a078-4cb9-9b61-378b5ec7a65c",,,"13_1017"
1,,,"uuid:0f134922-86b7-443d-bf18-94ee3bbc0802",,,"13_1018"
1,,,"uuid:19d698d5-7c25-4dec-abd3-6bb4dff75df1",,,"13_1019"
1,,,"uuid:a228d914-a518-4e91-a819-8a44fa9b9701",,,"13_1020"
1,,,"uuid:8b1b7594-366c-4c92-a5a1-63d2244dae57",,,"13_1021"
1,,,"uuid:d3bb8bcb-a7d8-4588-93ef-10fccbee8ae1",,,"13_1022"
1,,,"uuid:166f962e-5daa-407c-a5c5-8c7355fbbdf6",,,"13_1023"
1,,,"uuid:5b40534a-05f1-470c-80f4-ea5bd369e6e8",,,"13_1024"
1,,,"uuid:3fc301a9-fcbd-47ba-b53e-f9ccd7d67c1a",,,"13_1025"
1,,,"uuid:5fbd9c85-c275-462f-b53d-4098e14eb3e8",,,"13_1026"
1,,,"uuid:2795a04f-4345-42e9-be7d-04bf40df5935",,,"13_1027"
1,,,"uuid:968d40d5-91f4-4d7d-8a65-226e16306243",,,"13_1028"
1,,,"uuid:ea77a0f2-5ed7-4dfc-98c4-3fe25909a92f",,,"13_1029"
1,,,"uuid:35cb797e-7456-4f62-a4fe-01503123c780",,,"13_1030"
1,,,"uuid:fbfa99ed-9001-49c6-8f25-b60916d0203a",,,"13_1031"
1,,,"uuid:745e9a93-c103-457a-9f36-4b38b83df4f0",,,"13_1032"
1,,,"uuid:3be54b5f-f574-4b48-a6ae-c12a6f450780",,,"13_1033"
1,,,"uuid:e3b27ad3-a1ce-425f-8a59-fd066ce41711",,,"13_1034"
1,,,"uuid:edc8e538-d322-4e6a-a9cf-54f8b9d4d907",,,"13_1035"
2,,,"uuid:67c7078c-dba3-43cf-a7a4-22433d3aa1e6",,,"13_1036"
1,,,"uuid:b9865369-083d-4a29-9bc0-e376ab83acac",,,"13_1037"
1,,,"uuid:4d5b0428-cd67-42cd-adc8-1bc5dca2b295",,,"13_1038"
1,,,"uuid:bb950451-135b-434e-ae40-78d4ef5cce1b",,,"13_1039"
1,,,"uuid:abfbfa8a-c703-450d-a4aa-e2dd99c891ca",,,"13_1040"
1,,,"uuid:41a92f12-03d2-4ced-b763-080bb5e58f53",,,"13_1041"
1,,,"uuid:dd3a84e2-4bae-4786-a0bf-a73042728110",,,"13_1042"
1,,,"uuid:1f428027-bdd1-4e5f-8015-66db63e88276",,,"13_1043"
1,,,"uuid:a5113999-a8f7-4d51-b91c-712a5138d45d",,,"13_1044"
1,,,"uuid:8338a4bc-3093-473e-aeaf-d464c30aa36d",,,"13_1045"
1,,,"uuid:c4777711-c08a-4045-9366-cb18ec288f38",,,"13_1046"
1,,,"uuid:1dd7de78-8c16-4d01-8c8b-e34082cbf7be",,,"13_1047"
1,,,"uuid:47d1b41e-5ca7-4cb8-851d-0abf53eaf8a9",,,"13_1048"
1,,,"uuid:753b3b0c-ea92-42b4-b163-b068f686519a",,,"13_1049"
1,,,"uuid:f7185688-e5b6-4d4f-b409-0bf9c5446c58",,,"13_1050"
1,,,"uuid:bf9e9039-a9e6-44d2-8277-3345fb9f7dee",,,"13_1051"
1,,,"uuid:81475c95-b606-4bd4-a9b2-2c2ba9d27427",,,"13_1052"
1,,,"uuid:c50b717e-9834-4710-b407-60be289205b0",,,"13_1053"
