"lab_neighborhood","lab_ws_cl_free","lab_ws_cl_total","lab_1_group","lab_1_dil","lab_2_group","lab_2_dil","lab_3_group","lab_3_dil","meta.instanceID","X_parent_table_name","X_parent_index","Cube.or.Hygiene.Ice","lab_UID"
1,,,,700,,700,,,"uuid:647a681b-3a5a-4e5a-bf4a-1d6a618478ae",,-1,,"01_33_1000"
1,,,,700,,70,,,"uuid:92b8c7f8-5498-43f8-8473-69e431b8d8a9",,-1,,"01_33_1001"
1,,,,700,,70,,,"uuid:625faf02-4229-41f2-8a67-8dd4e263ba68",,-1,,"01_33_1002"
1,,,,700,,70,,,"uuid:74bb6724-259d-4b24-8002-3b4bb72dd3fa",,-1,,"01_33_1003"
1,,,,700,,70,,,"uuid:d5971d55-21a8-41fe-9892-2e95f72f903d",,-1,,"01_33_1004"
1,,,,700,,70,,,"uuid:ada33e55-85a8-482c-98d5-31a5375ed5f5",,-1,,"01_33_1005"
1,,,,700,,70,,,"uuid:5459a0ea-f981-4eb0-9a3f-f3426ad22cc5",,-1,,"01_33_1006"
1,,,,700,,70,,,"uuid:a320f2ea-0b56-461c-8084-c2783aa80001",,-1,,"01_33_1007"
1,,,,700,,70,,,"uuid:090ff912-864b-4ec3-b1f6-02aee87dd413",,-1,,"01_33_1008"
1,,,,700,,70,,,"uuid:22a3e200-d850-4eed-8204-1962a2d498fc",,-1,,"01_33_1009"
2,,,,700,,70,,,"uuid:e6141666-ff35-4dd4-bd7c-9012fc5449ef",,-1,,"01_33_1010"
2,,,,700,,70,,,"uuid:5423599d-a7b2-4f2f-8194-cfc756b69d4a",,-1,,"01_33_1011"
2,,,,700,,70,,,"uuid:c6ed816e-5183-47c7-8d6c-c2e81dbc8a35",,-1,,"01_33_1012"
2,,,,700,,70,,,"uuid:fc600a4c-62ab-48c7-845b-4ecb8d2d8bda",,-1,,"01_33_1013"
2,,,,700,,70,,,"uuid:e334b51e-ab4b-4911-a586-6cb30847d3ed",,-1,,"01_33_1014"
2,,,,700,,70,,,"uuid:5f2c7e8e-fd3e-490a-8347-f0e86074ee74",,-1,,"01_33_1015"
2,,,,700,,70,,,"uuid:28b05080-e849-4540-90d4-89a04307238c",,-1,,"01_33_1016"
2,,,,700,,70,,,"uuid:94a9983b-321e-4cdf-81fe-5ae8a878ec0b",,-1,,"01_33_1017"
2,,,,700,,70,,,"uuid:d7cde6ff-7d1d-4c52-a973-f9baad7e72a7",,-1,,"01_33_1018"
2,,,,700,,70,,,"uuid:f6e7bbce-4cba-4c10-9e49-c74dde0b6663",,-1,,"01_33_1019"
4,,,,700,,70,,,"uuid:799d320e-350b-4fbd-8991-e61bd5ab84da",,-1,,"01_33_1020"
4,,,,700,,70,,,"uuid:c576ba46-927f-4ef3-ba61-4c501aaf91b1",,-1,,"01_33_1021"
4,,,,700,,70,,,"uuid:743305a9-6cd9-42a5-b782-699307d5840d",,-1,,"01_33_1022"
4,,,,700,,70,,,"uuid:3a494b85-da7e-40aa-96b7-513f3be0081a",,-1,,"01_33_1023"
4,,,,700,,70,,,"uuid:cb8fccdb-8fa4-4eed-bdac-cc258f1f199b",,-1,,"01_33_1024"
4,,,,700,,70,,,"uuid:830dee28-3f8d-4dd4-b1e4-542520f52835",,-1,,"01_33_1025"
4,,,,700,,70,,,"uuid:c4be1bef-9ce7-4eb8-a842-4afb2beb3681",,-1,,"01_33_1026"
4,,,,700,,70,,,"uuid:f2691f31-6552-4e4a-a393-3472fc4870fb",,-1,,"01_33_1027"
4,,,,700,,70,,,"uuid:cdfb76f5-fcdb-4894-a713-7d63f77359ea",,-1,,"01_33_1028"
4,,,,700,,70,,,"uuid:5781b3e0-88c6-4b60-b19a-abc7906ddfd5",,-1,,"01_33_1029"
3,,,,700,,70,,,"uuid:856ad8b7-0888-4934-a812-63989af2c739",,-1,,"01_33_1030"
3,,,,700,,70,,,"uuid:0994a854-6ecd-443f-9ee5-18fa672ce7b1",,-1,,"01_33_1031"
3,,,,700,,70,,,"uuid:dbb42a61-9c38-4199-956f-1966894e3cba",,-1,,"01_33_1032"
3,,,,700,,70,,,"uuid:38d206a0-055d-4fbe-ba37-1f95aefa4a23",,-1,,"01_33_1033"
3,,,,700,,70,,,"uuid:3260cca5-c97b-4b74-87c3-9ae41473e0fe",,-1,,"01_33_1034"
3,,,,700,,70,,,"uuid:80b2942f-daff-4916-b65c-d9c62b851043",,-1,,"01_33_1035"
3,,,,700,,70,,,"uuid:e44e52a9-9e2b-42ca-a06d-e536bdfd9efb",,-1,,"01_33_1036"
3,,,,700,,70,,,"uuid:ef79c866-bef2-418c-b55d-99dca6fd9373",,-1,,"01_33_1037"
3,,,,700,,70,,,"uuid:66fef1b8-135c-49b6-9d46-41ce7c3cf087",,-1,,"01_33_1038"
3,,,,700,,70,,,"uuid:816dea15-6b28-4c92-97d4-7bb7e5560958",,-1,,"01_33_1039"
5,,,,700,,70,,,"uuid:a24d60eb-1067-4b9c-86ae-283ef2748380",,-1,,"01_33_1040"
5,,,,700,,70,,,"uuid:0fe6ec36-eb39-4169-9a3c-3f13ce4662c3",,-1,,"01_33_1041"
5,,,,700,,70,,,"uuid:88e82bff-2ec2-4f11-b8fa-db48632a20e3",,-1,,"01_33_1042"
5,,,,700,,70,,,"uuid:1548531a-43fe-48fe-9a0b-fff8ee9702d0",,-1,,"01_33_1043"
5,,,,700,,70,,,"uuid:d5552766-c73a-428e-a14a-4013d895b023",,-1,,"01_33_1044"
5,,,,700,,70,,,"uuid:524052df-4166-411f-9a73-74a6ef962656",,-1,,"01_33_1045"
5,,,,700,,70,,,"uuid:6516c3fd-7c60-425b-8eed-716fea9c6f64",,-1,,"01_33_1046"
5,,,,700,,70,,,"uuid:b414c2c5-8534-4c8c-8d1f-0cc6bb2b192a",,-1,,"01_33_1047"
5,,,,700,,70,,,"uuid:3206252d-1502-46e1-a800-0950ee21cbac",,-1,,"01_33_1048"
5,,,,700,,70,,,"uuid:9099ded5-61e3-4512-8747-4adb1a274610",,-1,,"01_33_1049"
1,,,,700,,70,,,"uuid:bc262f42-de2b-4344-9e2f-1b250098a8ba",,-1,,"01_33_1050"
1,,,,700,,70,,,"uuid:f6b08663-ced8-4ea9-b097-0a91f63e87e0",,-1,,"01_33_1051"
1,,,,700,,70,,,"uuid:fbbfbd3c-5fef-4fc1-8736-65c7829d05cd",,-1,,"01_33_1052"
1,,,,700,,70,,,"uuid:9ed010c8-e6ba-4445-a393-e8ae712b6f46",,-1,,"01_33_1053"
1,,,,700,,70,,,"uuid:8e79edfc-419f-4c1c-b78a-2ff54af920a0",,-1,,"01_33_1054"
1,,,,700,,70,,,"uuid:ce15cd02-ec9e-452d-bf29-7cfdff576791",,-1,,"01_33_1055"
1,,,,700,,70,,,"uuid:0e1e3086-565a-4730-8bee-e02b9be1bbc3",,-1,,"01_33_1056"
1,,,,700,,70,,,"uuid:0f811ab2-37ef-4571-8b18-c81ca8f15084",,-1,,"01_33_1057"
1,,,,700,,70,,,"uuid:d14a9483-b910-4023-965b-4d6ef482f112",,-1,,"01_33_1058"
1,,,,700,,70,,,"uuid:7e5fb00a-bfb0-48a6-a6b3-63c4b17d5640",,-1,,"01_33_1059"
2,,,,700,,70,,,"uuid:74296fc5-254f-49fc-843f-145768cc1edd",,-1,,"01_33_1060"
2,,,,700,,70,,,"uuid:52191b63-24f8-4722-bba6-05ce330abe11",,-1,,"01_33_1061"
2,,,,700,,70,,,"uuid:cb2002f5-a6cd-41f3-99e9-fff2de27436e",,-1,,"01_33_1062"
2,,,,700,,70,,,"uuid:4fb323da-9efb-4000-83a3-621171177f1f",,-1,,"01_33_1063"
2,,,,700,,70,,,"uuid:f6b43b6a-5d21-4f0b-9f7c-d3272a3946be",,-1,,"01_33_1064"
2,,,,700,,70,,,"uuid:4a926fc0-96a5-4923-b4e1-144dde4cf895",,-1,,"01_33_1065"
2,,,,700,,70,,,"uuid:2aff126f-6522-49df-adbd-ca0af6ee18ea",,-1,,"01_33_1066"
2,,,,700,,70,,,"uuid:f2ce86a5-a54e-482d-a5df-48180b08d9b8",,-1,,"01_33_1067"
