"number","formid","form.drain_replicate","form.ec_sd","form.ec_st","form.ec_isd","form.ec_ist","form.ec_ied","form.ec_iet","form.dilution_error_1","form.dilution_error_2","form.ec_blank","username","received_on","caseid","case_name","lab_UID"
0,"4f3b655c-3d08-4872-8326-9dbecc9eae75",,"2016-07-04","14:30:00.000Z","2016-07-04","15:30:00.000Z","2016-07-05","15:30:00.000Z",,,0,"ayeboah","2016-07-08 14:40:49",,,"03_03_0480"
1,"55c37c7d-885f-4f76-bc57-115158cb223e","N","2016-06-13","14:30:00.000Z","2016-06-13","17:30:00.000Z","2016-06-14","15:00:00.000Z",,,0,"laadomako","2016-06-15 17:18:48",,,"03_01_0340"
2,"55fd2634-5598-4afb-9743-4be86f311e81",,"2016-05-03","13:00:00.000Z","2016-05-03","14:00:00.000Z","2016-05-04","14:00:00.000Z",,,0,"sborbor","2016-05-05 10:43:10",,,"03_03_0100"
3,"5360b5e7-3390-47d2-8702-f2bc1a09c0da",,"2016-07-20","13:00:00.000Z","2016-07-20","15:00:00.000Z","2016-07-21","15:00:00.000Z",,,0,"sborbor","2016-08-02 07:59:45",,,"03_07_0571"
4,"53d1d3c7-7ba5-4c6d-b04d-cdfc8cc906d4",,"2016-05-11","13:00:00.000Z","2016-05-11","15:00:00.000Z","2016-05-12","15:00:00.000Z",,,0,"laadomako","2016-05-13 14:42:35",,,"03_08_0204"
5,"51ccb777-ec46-4d03-ba7d-a105027b5705",,"2016-05-04","13:00:00.000Z","2016-05-04","15:00:00.000Z","2016-05-05","15:00:00.000Z",,,0,"ayeboah","2016-05-05 15:32:19",,,"03_03_0115"
6,"52210d0a-f55b-4005-be87-90180f195ebd",,"2016-04-21","13:00:00.000Z","2016-04-21","15:00:00.000Z","2016-04-22","15:00:00.000Z",,,0,"sborbor","2016-05-03 12:40:54",,,"03_02_0695"
7,"4793fb75-920d-46aa-a5d5-924c6cfc7f15","N","2016-05-19","12:00:00.000Z","2016-05-19","14:00:00.000Z","2016-05-20","14:00:00.000Z",,,0,"laadomako","2016-05-20 16:17:11",,,"03_01_0246"
8,"4db1100e-356d-4f9e-9c4b-15d8cb5f478a","N","2016-05-20","12:00:00.000Z","2016-05-20","14:00:00.000Z","2016-05-21","13:00:00.000Z",,,0,"sborbor","2016-05-21 14:11:41",,,"03_01_0249"
9,"3d55bdda-3fb3-4cb3-a242-bced62fedf6d",,"2016-03-21","13:45:00.000Z","2016-03-21","16:00:00.000Z","2016-03-22","14:00:00.000Z",,,0,"test","2016-03-22 16:01:58",,,"03_02_0870"
10,"3b254ba6-a4c8-4c2d-867b-512795037a26","N","2016-05-12","14:00:00.000Z","2016-05-12","14:00:00.000Z","2016-05-13","14:00:00.000Z",,,0,"laadomako","2016-05-13 15:12:13",,,"03_01_0280"
11,"406bf656-eb1e-46b0-a253-81364f57ac95",,"2016-06-17","13:30:00.000Z","2016-06-17","15:00:00.000Z","2016-06-18","12:30:00.000Z",,,0,"ayeboah","2016-06-18 14:15:46",,,"03_07_0376"
12,"429526a1-35fc-45b3-a1d6-333406c53d17","N","2016-05-20","12:00:00.000Z","2016-05-20","14:00:00.000Z","2016-05-21","13:00:00.000Z",,,0,"sborbor","2016-05-21 14:09:16",,,"03_01_0252"
13,"4392d296-4b69-4a85-a7bc-a230444346f1",,"2016-04-28","12:00:00.000Z","2016-04-28","14:00:00.000Z","2016-04-29","13:00:00.000Z",,,0,"sborbor","2016-05-03 13:45:46",,,"03_07_0678"
14,"3894ff69-b227-4077-98b5-6a15accbeadd",,"2016-07-08","13:30:00.000Z","2016-07-08","15:00:00.000Z","2016-07-09","14:00:00.000Z",,,0,"ayeboah","2016-07-09 16:42:05",,,"03_07_0482"
15,"5f5e324c-aa4c-44c4-8089-641a6bdac765","N","2016-03-24","12:00:00.000Z","2016-03-24","14:00:00.000Z","2016-03-25","12:52:00.000Z",,,0,"sborbor","2016-05-17 14:37:41",,,"03_01_0836"
16,"5e04e9cd-2e38-47de-8220-d714fadd2af2",,"2016-04-26","14:00:00.000Z","2016-04-26","16:00:00.000Z","2016-04-27","15:00:00.000Z",,,0,"sborbor","2016-05-03 12:43:12",,,"03_07_0714"
17,"593f8fe6-5a78-4038-add1-56cd7078ad41",,"2016-07-05","14:30:00.000Z","2016-07-05","15:30:00.000Z","2016-07-06","15:30:00.000Z",,,0,"ayeboah","2016-07-08 15:08:28",,,"03_08_0496"
18,"5b62ea44-6897-4fe8-bbfb-ee3ccbed49c3",,"2016-06-20","13:30:00.000Z","2016-06-20","15:00:00.000Z","2016-06-21","15:00:00.000Z",,,0,"sborbor","2016-06-22 16:08:52",,,"03_07_0406"
19,"620bc45b-44df-42d1-b012-61364143935b",,"2016-06-17","13:30:00.000Z","2016-06-17","15:00:00.000Z","2016-06-18","12:30:00.000Z",,,0,"ayeboah","2016-06-18 14:21:16",,,"03_07_0363"
20,"9e7a462c-49d7-45a4-b2cf-254fa730fd42",,"2016-05-09","12:00:00.000Z","2016-05-09","14:00:00.000Z","2016-05-10","14:00:00.000Z",,,0,"ayeboah","2016-05-10 19:14:10",,,"03_08_0176"
21,"a32bc222-fef4-4d1f-a5aa-f85f92472086",,"2016-03-29","12:30:00.000Z","2016-03-29","15:00:00.000Z","2016-03-30","14:30:00.000Z",,,0,"sborbor","2016-05-16 14:42:38",,,"03_08_0853"
22,"a33cb1a0-eb73-4302-b2d2-ed33779c3ed2","N","2016-07-19","13:30:00.000Z","2016-07-19","15:30:00.000Z","2016-07-20","16:00:00.000Z",,,0,"ayeboah","2016-08-02 07:53:36",,,"03_01_0586"
23,"a3c75c87-c4ff-4e1b-97e6-eb8bcd8c5fbb",,"2016-03-23","12:00:00.000Z","2016-03-23","14:00:00.000Z","2016-03-24","14:00:00.000Z",,,0,"test","2016-03-24 16:21:17",,,"03_02_0828"
24,"a3ec68b5-0c95-43bb-9119-6f7a99e1a14f",,"2016-07-20","13:00:00.000Z","2016-07-20","15:00:00.000Z","2016-07-21","15:00:00.000Z",,,0,"sborbor","2016-08-02 08:00:17",,,"03_07_0602"
25,"a72eb70d-4722-4c78-9e9b-d3103dce2d8e",,"2016-06-07","14:00:00.000Z","2016-06-07","15:00:00.000Z","2016-06-08","15:00:00.000Z",,,0,"ayeboah","2016-06-09 12:33:33",,,"03_03_0291"
26,"a765ae87-8671-4146-9363-626860bc6603",,"2016-04-27","14:00:00.000Z","2016-04-27","16:30:00.000Z","2016-04-28","16:00:00.000Z",,,0,"sborbor","2016-05-03 12:45:29",,,"03_07_0729"
27,"b1712eae-6137-47af-bce9-212b2349db4e","N","2016-06-27","12:30:00.000Z","2016-06-27","15:00:00.000Z","2016-06-28","14:00:00.000Z",,,0,"laadomako","2016-06-30 15:31:07",,,"03_01_0475"
28,"ad6e7304-7632-43f2-ab2e-219ec14d33a8",,"2016-04-26","14:00:00.000Z","2016-04-26","16:00:00.000Z","2016-04-27","15:00:00.000Z",,,0,"sborbor","2016-05-03 12:43:53",,,"03_07_0722"
29,"aed8359d-eee6-484e-9a90-3ea47d512160",,"2016-06-20","13:30:00.000Z","2016-06-20","16:00:00.000Z","2016-06-21","16:00:00.000Z",,,0,"sborbor","2016-06-22 16:00:57",,,"03_07_0379"
30,"af9a1fc3-efdb-4194-8bf7-44639391cfab",,"2016-04-27","14:00:00.000Z","2016-04-27","16:00:00.000Z","2016-04-28","16:00:00.000Z",,,0,"sborbor","2016-05-03 12:44:26",,,"03_07_0732"
31,"a8689a42-03ae-4eec-b6d8-3a6281d2b866",,"2016-05-11","13:00:00.000Z","2016-05-11","15:00:00.000Z","2016-05-12","15:00:00.000Z",,,0,"laadomako","2016-05-13 14:39:02",,,"03_08_0201"
