"SampleID","CompoundID","ec_dd","ec_th","ev_lat","ev_long","ev_way","neighbor","dis_lat","ev_notes","source_bw","source_other","stored","covered","ec_sd","ec_st","ec_isd","ec_ist","ec_ied","ec_iet","tc_ecnt1","tc_ecnt2","tc_ecnt3","ec_blank","tc_blank","collectr","sp_area","dis_com","weight","feces_3m","lat_type","lat_other","n_stall","Vis_fec","HW_stat","ev_way.1","operator","lab_UID"
"ACO2029",2029,"5/12/2015","10:52:00 AM",25.94407,32.56058,"026-29",1,6.96,"",3,,1,1,2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",999,79,,0,0,"AMADEU-GIZELA",0,,,,,,,,,"026,29","MARCIO AMOS","05_09_1000"
"ACO2030",2030,"3/26/2015","9:05:00 AM",25.94715,32.55198,"014-32",1,16.5,"",3,,1,0,2015-03-26,"12:15:00",2015-03-26,"17:00:00",2015-03-27,"17:00:00",999,999,,0,0,"GISELA-ELOISA",0,,,,,,,,,"014.32","MARIA","05_09_1001"
"ACO2031",2031,"3/3/2015","9:38:00 AM",25.94365,32.55762,"002-32",1,0,"",3,,1,1,2015-03-03,"14:23:00",2015-03-03,"15:20:00",2015-03-04,"17:08:00",999,999,,0,0,"ANABELA/BACELAR",0,,,,,,,,,"002-32","MARIO AMOS","05_09_1002"
"ACO2032",2032,"3/2/2015","9:36:00 AM",25.94365,32.55764,"001-32",1,8.45,"",3,,1,1,2015-03-02,"15:05:00",2015-03-02,"16:30:00",2015-03-03,"16:42:00",998,999,,0,0,"GIZELA/ELOISA",0,,,,,,,,,"001.32","MARIO AMOS","05_09_1003"
"ACO2034",2034,"3/5/2015","9:40:00 AM",25.94376,32.55799,"163-31",1,,"",3,,1,0,2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",999,999,,0,0,"AMADEU/BACELAR",0,,,,,,,,,"163-31","LAURINDA MACUCULE","05_09_1004"
"ACO2035",2035,"3/5/2015","9:14:00 AM",25.94497,32.55382,"004-32",1,18,"",3,,1,1,2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",999,999,,0,0,"ELOISA-GISELA-AMADEU",0,,,,,,,,,"004.32","LAURINDA MACUCULE","05_09_1005"
"ACO2036",2036,"3/6/2015","9:48:00 AM",25.96199,32.58968,"001-30",1,20.5,"",3,,1,1,2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",67,38,,0,0,"GIZELA/ELOISA",0,,,,,,,,,"001.30","MARIO AMOS","05_09_1006"
"ACO2037",2037,"3/9/2015","9:36:00 AM",25.93127,32.5613,"164-31",1,20,"Water collected within home (stored water).",3,,1,1,2015-03-09,"00:00:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",999,73,,0,0,"ANABELA/BACELAR",0,,,,,,,,,"164.31","SALMA XAVIER","05_09_1007"
"ACO2038",2038,"3/6/2015","9:06:00 AM",25.93534,32.56261,"003-29",1,12.3,"",3,,1,0,2015-03-06,"12:15:00",2015-03-06,"16:50:00",2015-03-07,"17:00:00",999,999,,0,0,"BACELAR/ANABELA",0,,,,,,,,,"003.29","MARIO AMOS","05_09_1008"
"ACO2039",2039,"3/9/2015","10:12:00 AM",25.94919,32.55866,"004-30",1,11,"",3,,1,1,2015-03-09,"00:00:00",2015-03-09,"16:03:00",2015-03-10,"16:08:00",53,18,,0,0,"GIZELA",0,,,,,,,,,"004.30","SALMA XAVIER","05_09_1009"
"ACO2040",2040,"3/10/2015","8:43:00 AM",25.93496,32.56271,"005-29",1,4.7,"Has developed clear colonies",3,,1,1,2015-03-10,"14:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",999,999,,0,0,"ANABELA/BACELAR",0,,,,,,,,,"005.29","MARIA ISABEL","05_09_1010"
"ACO2041",2041,"3/10/2015","9:03:00 AM",25.95265,32.5597,"005-30",1,22.6,"The distance of 22.6 m is regard to two latrines no longer in use. The distance from the latrine that they are using is 7.37 m",3,,1,1,2015-03-10,"14:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",999,110,,,,"AMADEU/ELOISA",0,,,,,,,,,"005.30","MARIA ISABEL","05_09_1011"
"ACO2042",2042,"3/25/2015","9:25:00 AM",25.94633,32.55552,"022-29",1,12.2,"",3,,1,1,2015-03-25,"12:10:00",2015-03-25,"16:20:00",2015-03-26,"16:20:00",999,999,,0,0,"AMADEU/ANABELA",0,,,,,,,,,"022.29","SALMA XAVIER","05_09_1012"
"ACO2043",2043,"3/25/2015","9:18:00 AM",25.94526,32.55675,"012-32",1,12.8,"",3,,1,1,2015-03-25,"12:10:00",2015-03-26,"16:20:00",2015-03-27,"16:20:00",999,999,,0,0,"GISELA-ELOISA",0,,,,,,,,,"012.32","SALMA XAVIER","05_09_1013"
"ACO2044",2044,"5/12/2015","9:35:00 AM",25.94189,32.55694,"001-01",1,5.1,"The referenced distance is in relation to the latrine in another backyard (used by 2 families of the compound)",3,,1,1,2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",32,0,,0,0,"ELOISA -BACELAR",0,,,,,,,,,"001,01","MARCIO AMOS","05_09_1014"
"ACO3001",3001,"3/11/2015","10:26:00 AM",25.94457,32.57943,"008-29",2,14.1,"",3,,1,1,2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",0,0,,0,0,"ANABELA/AMADEU",0,,,,,,,,,"008.29","LAURINDA MACUCULE","05_09_1015"
"ACO3006",3006,"3/12/2015","9:13:00 AM",25.9439,32.58358,"010-30",2,17.5,"",3,,1,1,2015-03-12,"11:50:00",2015-03-12,"13:25:00",2015-03-13,"15:35:00",132,63,,0,0,"ELOISA-GISELA",0,,,,,,,,,"010.30","MARIO AMOS","05_09_1016"
"ACO3030",3030,"3/13/2015","9:20:00 AM",25.94331,32.5812,"014-29",2,8.1,"",3,,1,0,2015-03-13,"13:20:00",2015-03-13,"15:40:00",2015-03-14,"15:40:00",999,999,,0,0,"ANABELA/BACELAR",0,,,,,,,,,"014-29","SALMA XAVIER","05_09_1017"
"ACO3031",3031,"3/11/2015","9:04:00 AM",25.9434,32.57974,"007-30",2,12.4,"",3,,1,1,2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",0,0,,0,0,"ELOISA-GISELA",0,,,,,,,,,"007.30","LAURINDA MACUVULE","05_09_1018"
"ACO3032",3032,"3/18/2015","10:39:00 AM",25.9448,32.5834,"008-32",2,27,"",3,,1,1,2015-03-18,"13:03:00",2015-03-18,"16:20:00",2015-03-19,"16:20:00",10,53,,0,0,"ELOISA",0,,,,,,,,,"008.32","SALMA XAVIER","05_09_1019"
"ACO3033",3033,"3/24/2015","9:12:00 AM",25.94152,32.58831,"169-31",2,8.3,"",3,,1,0,2015-03-24,"12:02:00",2015-03-24,"15:50:00",2015-03-25,"15:50:00",999,999,,0,0,"ELOISA-GISELA",0,,,,,,,,,"169.31","MARIO AMOS","05_09_1020"
"ACO3034",3034,"3/13/2015","9:31:00 AM",25.94316,32.58126,"012-30",2,13.7,"",3,,1,1,2015-03-13,"13:20:00",2015-03-13,"15:40:00",2015-03-14,"15:40:00",170,23,,0,0,"GIZELA/ELOISA",0,,,,,,,,,"012.30","SALMA XAVIER","05_09_1021"
"ACO3036",3036,"3/18/2015","11:01:00 AM",25.94175,32.58841,"166-31",2,6.9,"",3,,1,0,2015-03-18,"13:03:00",2015-03-18,"16:20:00",2015-03-19,"16:20:00",999,999,,0,0,"BACELAR/ANABELA",0,,,,,,,,,"166.31","SALMA XAVIER","05_09_1022"
"ACO3037",3037,"3/12/2015","8:30:00 AM",25.94513,32.57913,"011-29",2,4.1,"",3,,1,1,2015-03-12,"11:50:00",2015-03-12,"15:25:00",2015-03-13,"15:35:00",55,21,,0,0,"ANABELA/BACELAR",0,,,,,,,,,"011.29","MARCIO AMOS","05_09_1023"
"ACO3039",3039,"3/24/2015","8:59:00 AM",25.9415,32.58816,"167-31",2,9.2,"",3,,1,1,2015-03-24,"12:02:00",2015-03-24,"15:50:00",2015-03-25,"15:50:00",0,0,,0,0,"AMADEU-ANABELA",0,,,,,,,,,"167-31","MARIO AMOS","05_09_1024"
"CCO2029",2029,"5/12/2015","10:28:00 AM",25.94407,32.56058,"026-29",1,5.45,"",,,,,2015-05-12,"12:10:00",2015-05-12,"15:40:00",2015-05-13,"15:40:00",999,999,999,0,0,"AMADEU/GIZELA",0,,,,,,,,,"026-29","MARCIO AMOS","05_06_1025"
"CCO2034",2034,"3/5/2015","9:31:00 AM",25.94376,32.55799,"166-31",1,12.9,"Sample taken from breaking water pipes.",,,,,2015-03-05,"11:45:00",2015-03-05,"16:20:00",2015-03-06,"16:20:00",998,999,999,0,0,"ANABELA/BACELAR",0,,,,,,,,,"163.31","LAURINDA MACUCULE","05_06_1026"
"CCO2040",2040,"3/10/2015","9:11:00 AM",25.93496,32.56271,"003-29",1,8.2,"Sample collected from the laundry washing and dish",,,,,2015-03-10,"12:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",999,999,999,0,0,"ANABELA/BACELAR",0,,,,,,,,,"003.29","MARIA ISABEL","05_06_1027"
"CCO3006",3006,"3/12/2015","9:18:00 AM",25.9439,32.58358,"010-30",2,15,"In dilutions 1.1000, the colonies of coliforms were extremely pallids.",,,,,2015-03-12,"11:50:00",2015-03-12,"15:25:00",2015-03-13,"15:35:00",999,999,0,0,0,"ELOISA MULA",0,,,,,,,,,"010.30","MARCIO AMOS","05_06_1028"
"CCO3034",3034,"3/13/2015","9:28:00 AM",25.94316,32.58126,"012-30",2,20.1,"",,,,,2015-03-13,"13:20:00",2015-03-13,"15:40:00",2015-03-14,"15:40:00",999,999,113,0,0,"GIZELA/ELOISA",0,,,,,,,,,"012-30","SALMA XAVIER","05_06_1029"
"CPO2032",2032,"3/3/2015","10:00:00 AM",25.94355,32.5577,"001/29",1,,"Standing water coming from the laundry washing.",,,,,2015-03-03,"15:05:00",2015-03-03,"16:30:00",2015-03-04,"16:42:00",998,998,998,0,0,"ANABELA/BACELAR",1,1.7,,,,,,,,"001.29","MARIO AMOS","05_06_1030"
"CPO2040",2040,"3/10/2015","9:30:00 AM",25.94873,32.55939,"006-29",1,,"The water collected is from pipe break",,,,,2015-03-10,"14:00:00",2015-03-10,"16:20:00",2015-03-11,"16:20:00",999,999,999,0,0,"ANABELA/BACELAR",1,1.3,,,,,,,,"006.29","MARIA ISABEL","05_06_1031"
"CPO3001",3001,"3/11/2015","10:16:00 AM",25.94454,32.57946,"009-29",2,,"Standing water coming from pipe break",,,,,2015-03-11,"13:30:00",2015-03-11,"16:00:00",2015-03-12,"16:00:00",0,0,0,0,0,"ANABELA/AMADEU",1,4.7,,,,,,,,"009.29","LAURINDA MACUCULE","05_06_1032"
