"meta.instanceID","X_tags","X_notes","lab_UID"
"uuid:e5f25b11-f2c6-4eff-9e9d-bb73a45e4502",,,"06_02_2101"
"uuid:2053b744-680d-40e0-bb1e-269bcbb51b67",,,"06_02_2105"
"uuid:bff8174f-e0e1-4313-b709-a78679537a1c",,,"06_02_2103"
"uuid:aeb5c00a-9bda-4d5c-9990-48756b8c6d00",,,"06_02_2104"
"uuid:6ea67d80-9d36-497f-a806-69df0e78ba57",,,"06_07_3101"
"uuid:3331eb21-a5a9-4056-b5de-0cda147a22e1",,,"06_07_3102"
"uuid:f49b8dc7-8d86-4125-a513-0a0f18bb156a",,,"06_07_3103"
"uuid:f44760ef-e821-497d-8622-ff67ac5408c0",,,"06_07_3104"
"uuid:a68bdd98-50f8-4cbb-94b5-0250cea39824",,,"06_07_3105"
"uuid:f16d9bd5-304e-4076-985c-f3a64e210e79",,,"06_03_1101"
"uuid:81ab1144-cbbb-4a0a-b5c4-33c5f9604d9b",,,"06_03_1105"
"uuid:9e9966e9-bc12-4e4f-b99e-ae5b5df4e9cc",,,"06_03_1103"
"uuid:1bdd038b-0e56-45d1-b85b-3539a98e5495",,,"06_03_1102"
"uuid:b00ff595-0d68-4e72-937e-7d1a5c8d6456",,,"06_06_7104"
"uuid:ef9d0e14-5f54-4411-a52d-a2a85a82a017",,,"06_06_7103"
"uuid:216a78d5-0eaf-4f86-9ad0-f6858e974710",,,"06_06_7102"
"uuid:f0a141d7-3871-4abd-b30d-1246423c4987",,,"06_06_7101"
"uuid:622e0bf0-2f75-4fa3-bb1c-2ec30cf1f777",,,"06_02_2108"
"uuid:91d2dfc4-8bce-41f4-8d64-3f44894933a5",,,"06_02_2110"
"uuid:5dd0c4d2-02cc-4139-90da-fff703b2b864",,,"06_03_1109"
"uuid:3e155deb-0254-420b-a265-5d610e5e3a38",,,"06_07_3108"
"uuid:39b1509c-7972-475d-81da-c2f41859c694",,,"06_07_3107"
"uuid:cecc3d34-4558-49bf-af81-28d52c36a393",,,"06_07_3106"
"uuid:84c36a07-5234-4787-8d23-55c963d8da67",,,"06_03_1110"
"uuid:4f163274-1c96-4d13-8d5a-6e3d1ac266e1",,,"06_02_2106"
"uuid:ad2617a6-096d-46dc-afac-e58f768c9331",,,"06_02_2102"
"uuid:00645771-8017-4e40-b028-fc6ca4bce28e",,,"06_02_2109"
"uuid:ecb47040-b299-4f45-acc7-b738839e6052",,,"06_07_3109"
"uuid:16358456-162c-4a3e-acf9-f648e6370da7",,,"06_07_3110"
"uuid:9165803a-185b-4c29-8ba5-5946396ffe09",,,"06_03_1108"
"uuid:7c2eb183-c4f3-478c-ba9a-ec323f650559",,,"06_03_1107"
"uuid:992740ab-d643-47fa-b9aa-4f4b14606bcd",,,"06_03_1106"
"uuid:88ae12e4-da0a-485b-9573-0999b15e5c6d",,,"06_06_7105"
"uuid:8a1601d8-4e76-4b68-9827-9474fe9b6634",,,"06_10_5105"
"uuid:847c2042-4118-419e-905f-3ff873e30d71",,,"06_10_5104"
"uuid:eecfc45e-aeda-42e2-a079-a8610ff219a3",,,"06_10_5103"
"uuid:70ccf3a9-a0b2-4fed-91b4-e2422a5152d4",,,"06_10_5101"
"uuid:68d116ee-2cb6-4f81-a96e-dcf6333df7e1",,,"06_10_5102"
"uuid:a8bd8478-e9e8-429b-9593-81dd0c5c2e84",,,"06_08_6102"
"uuid:1653eed7-5709-4f10-9fab-feeef5c64e33",,,"06_09_8101"
