"SampleID","CompoundID","ec_dd","ec_th","ev_lat","ev_long","ev_way","neighbor","dis_lat","ev_notes","source_bw","source_other","stored","covered","ec_sd","ec_st","ec_isd","ec_ist","ec_ied","ec_iet","tc_ecnt1","tc_ecnt2","ec_blank","tc_blank","collectr","operator","sp_area","tc_ecnt3","dis_com","weight","feces_3m","fd_type","fd_num","lat_type","lat_other","n_stall","Vis_fec","HW_stat","lab_UID"
"ACO2029",2029,"5/19/2016","1/0/1900",25.9441,32.56049,"072-43",1,11.4,"",3,,1,1,2016-05-19,"11:25:00",2016-05-19,"17:15:00",2016-05-20,"17:15:00",999,999,0,0,"Gizela/Eloisa","Mario Amos/J",0,,,,,"",,,"",,,,"08_09_1000"
"ACO2030",2030,"5/6/2016","1/0/1900",25.94731,32.55198,"043-43",1,12,"",3,,1,1,2016-05-06,"12:40:00",2016-05-06,"17:05:00",2016-05-07,"17:05:00",999,999,0,0,"Eloisa/Gizela","J/Mario Amos",0,,,,,"",,,"",,,,"08_09_1001"
"ACO2031",2031,"5/6/2016","1/0/1900",25.94634,32.55229,"56-29",1,17.6,"",3,,1,0,2016-05-06,"12:40:00",2016-05-06,"17:05:00",2016-05-07,"17:05:00",999,8,0,0,"Sumeya/Anabela","J/Mario Amos",0,,,,,"",,,"",,,,"08_09_1002"
"ACO2032",2032,"5/31/2016","1/0/1900",25.94366,32.55768,"101-29",1,11.8,"",3,,1,1,2016-05-31,"14:15:00",2016-05-31,"18:50:00",2016-06-01,"18:50:00",999,999,0,0,"Anabela/Sumeya","Mario Amos/Laurinda",0,,,,,"",,,"",,,,"08_09_1003"
"ACO2034",2034,"5/13/2016","1/0/1900",25.94372,32.55788,"72-29",1,22.5,"",3,,1,0,2016-05-13,"11:05:00",2016-05-13,"15:30:00",2016-05-14,"15:30:00",80,9,0,0,"Sumeya/Anabela","Salma/J",0,,,,,"",,,"",,,,"08_09_1004"
"ACO2035",2035,"5/12/2016","1/0/1900",25.94493,32.55373,"69-29",1,19,"Amostra recolhida no mesmo recepiente que ABO",3,,1,1,2016-05-12,"12:10:00",2016-05-12,"16:45:00",2016-05-13,"16:45:00",999,999,0,0,"Sumeya/Anabela","Laurinda/J",0,,,,,"",,,"",,,,"08_09_1005"
"ACO2036",2036,"5/18/2016","1/0/1900",25.96208,32.58931,"069-43",1,4.32,"",3,,1,1,2016-05-18,"12:10:00",2016-05-18,"17:49:00",2016-05-19,"17:49:00",154,18,0,0,"Eloisa/Gizela","Salma/J",0,,,,,"",,,"",,,,"08_09_1006"
"ACO2037",2037,"5/19/2016","1/0/1900",25.93123,32.56131,"87-29",1,8.4,"A amostra da agua do banho e a mesma da agua de beber.",3,,1,1,2016-05-19,"11:25:00",2016-05-19,"17:15:00",2016-05-20,"17:15:00",999,999,0,0,"Anabela/Sumeya","Mario Amos/J",0,,,,,"",,,"",,,,"08_09_1007"
"ACO2038",2038,"5/18/2016","1/0/1900",25.93495,32.56274,"83-29",1,12.2,"",3,,1,0,2016-05-18,"12:10:00",2016-05-18,"17:49:00",2016-05-19,"17:49:00",88,37,0,0,"Sumeya/Anabela","Salma/J",0,,,,,"",,,"",,,,"08_09_1008"
"ACO2039",2039,"5/31/2016","1/0/1900",25.94912,32.55864,"061-43",1,5.3,"",3,,1,1,2016-05-31,"14:15:00",2016-05-31,"18:50:00",2016-06-01,"18:50:00",999,999,0,0,"Gizela/Eloisa","Mario Amos/Laurinda",0,,,,,"",,,"",,,,"08_09_1009"
