"lab_neighborhood","lab_analysis_method","lab_ws_cl_free","lab_ws_cl_total","lab_1_ecoli_idexx","lab_2_ecoli_idexx","lab_3_dil","lab_3_ecoli_idexx","meta.instanceID","X_validation_status","lab_UID"
1,1,0,0,0,0,,,"uuid:ff24f863-c3db-4720-8dbb-7bafbf8da6a0",,"10_03_3001"
1,1,0,,0,0,,,"uuid:2d0bb77f-ca66-406e-8a6f-c810a3dd92d2",,"10_03_3002"
1,1,0,0,0,0,,,"uuid:f1ceb9af-24f9-4eab-a651-144796f83cb7",,"10_03_3003"
1,1,,,0,0,,,"uuid:3569836c-44c7-4f93-a671-8ddead564be2",,"10_03_3004"
1,1,0,0,0,0,,,"uuid:cd5ad330-b6ee-4505-875c-087df680d311",,"10_03_3005"
1,1,0,,0,0,,,"uuid:df6cdd7f-77e6-4baf-b7a5-accceac7d6d3",,"10_03_3006"
1,1,0,0,0,0,,,"uuid:3d903d71-57e1-4bbb-93b9-a3118eb8187d",,"10_03_3007"
1,1,0,,0,0,,,"uuid:73cff9a8-90ab-462b-abfd-e9097a1f8938",,"10_03_3008"
1,1,0,,0,0,,,"uuid:66b2b6e3-3e6e-496e-93cf-4b391462a8d2",,"10_03_3009"
1,1,0,,0,0,,,"uuid:483572c4-28e1-46a7-934e-3a2be08c90e6",,"10_03_3010"
1,1,,,1,0,5,0,"uuid:3ee0a840-84a8-45e7-b235-e4929ed11bb0",,"10_08_8001"
1,1,,,3,1,5,0,"uuid:3a75c3c6-4d29-4611-93c6-57cc3c6d2f75",,"10_08_8002"
1,1,,,0,0,5,0,"uuid:b035982a-e58c-4ff0-a57c-1ae32bf537a6",,"10_08_8003"
1,1,,,0,0,5,0,"uuid:7caf7556-58b9-48c0-8816-49c1b071fd11",,"10_08_8004"
1,1,,,0,0,5,0,"uuid:f5ba5ffe-2ad7-4fc4-bf19-27c541f3bb19",,"10_08_8005"
1,1,,,1,0,5,0,"uuid:09b2917b-bdd5-4a6a-9804-61d84afc1c9e",,"10_08_8006"
1,1,,,0,0,5,0,"uuid:38c44c12-87fd-4c3e-87b4-0909eee8967a",,"10_08_8007"
1,1,,,0,0,5,0,"uuid:397cd300-310d-42b1-9d3b-e862e5b8bd2b",,"10_08_8008"
1,1,,,0,0,5,0,"uuid:cf7b0b5d-481e-4474-9e02-7121fe175b29",,"10_08_8009"
1,1,,,0,0,5,0,"uuid:c8e2a6a2-a013-42a6-80e5-ca31c5c76024",,"10_08_8010"
1,1,,,0,0,6,0,"uuid:2a72e53e-8946-4927-8283-c871edfda83f",,"10_07_7001"
1,1,,,0,0,6,0,"uuid:1985b9fa-84d9-4de6-970b-902ddaff35a8",,"10_07_7002"
1,1,,,0,0,6,0,"uuid:01b01125-f90c-42ff-93ff-5fe6d3250a5d",,"10_07_7003"
1,1,,,0,0,6,0,"uuid:b9390815-81d1-4c00-86e8-f812544b2603",,"10_07_7004"
1,1,,,0,0,6,0,"uuid:ed15fb62-ea78-4058-995c-a403de979e8c",,"10_07_7005"
1,1,,,0,0,6,0,"uuid:5e168869-f665-4382-8715-b06e38e73ad7",,"10_07_7006"
1,1,,,0,0,6,0,"uuid:588b5e6d-22db-4ec1-9678-e5e37e7b7d28",,"10_07_7007"
1,1,,,0,0,6,0,"uuid:5dcc4713-1b31-46b3-9ea7-5773e9465807",,"10_07_7008"
1,1,,,0,0,6,0,"uuid:dd6e5b42-a2bb-4cec-94c8-b45e3c89ee37",,"10_07_7009"
1,1,,,0,0,6,0,"uuid:8cd7d0a2-bc4e-43e7-a609-41b8fc3fd14f",,"10_07_7010"
1,1,,,0,0,6,0,"uuid:6957f2d8-deb2-4cbc-a5ee-cd895ec34851",,"10_02_2001"
1,1,,,0,0,6,0,"uuid:0416f322-0bc2-454f-8325-98ad24d74455",,"10_02_2002"
1,1,,,0,0,6,0,"uuid:ab178edd-9077-4dc0-911b-972ac8d4df6e",,"10_02_2003"
1,1,,,0,0,6,0,"uuid:47e63947-c46d-4ef4-9421-3c93256cfb26",,"10_02_2004"
1,1,,,0,0,6,0,"uuid:6e7dcaa0-6ddc-4583-8070-104a3c365e36",,"10_02_2005"
1,1,,,0,0,6,0,"uuid:4853a51f-0b03-4a68-8527-eb93839d1f2a",,"10_02_2006"
1,1,,,0,0,6,0,"uuid:69b8564a-6969-40ac-9b96-c8b977d3678b",,"10_02_2007"
1,1,,,0,0,6,0,"uuid:5f2c664b-294e-4533-b211-033b91ceb4c2",,"10_02_2008"
1,1,,,0,0,6,0,"uuid:ad334acf-d05e-46a7-ac91-1c6564871fb3",,"10_02_2009"
1,1,,,0,0,6,0,"uuid:4cbf08a1-4a2b-4106-83ea-1c36150c1380",,"10_02_2010"
,,,,,,,,,,"10_06_6007"
,,,,,,,,,,"10_06_6006"
,,,,,,,,,,"10_06_6005"
,,,,,,,,,,"10_06_6004"
,,,,,,,,,,"10_06_6003"
,,,,,,,,,,"10_06_6002"
,,,,,,,,,,"10_06_6001"
