"project","neighborhood","sample_name","way_point","GPS_latitude","GPS_longitude","notes","plate1_tntc","plate2_tntc","blank_count","collector_name","lab_operator_name","lab_UID"
1,1,"PVG005","PUBT2",12.91378,79.13932,"MARKET NEAR PUBLIC LATRINE AND DRAIN. ANIMAL FECES NEAR VENDOR.",FALSE,FALSE,0,"THENPANDIYAN","DANIEL","11_02_1001"
1,1,"PSL004","Y",12.91198,79.14413,"NEAR ANIMAL FECES",TRUE,FALSE,0,"THENPANDIYAN","DANIEL","11_08_1002"
1,1,"PBW001","PBWOO1",12.91245,79.1394,"NEAR ANIMAL FE ACES & DRAINAGE",FALSE,FALSE,0,"THENPANDIYAN","DANIEL","11_09_1003"
1,1,"PBW002","PBW002",12.91419,79.13724,"NEAR TO THE TANK OPEN DRAINAGE, ALSO SOME ANIMAL FECES",FALSE,FALSE,0,"THENPANDIYAN","DANIEL","11_09_1004"
1,1,"PBW003","PUBRJ1",12.91467,79.14012,"NEAR ANIMAL SHED
, NEAR PUBLIC LATRINE NUMBER 3, PRE SCHOOL",FALSE,FALSE,0,"THENPANDIYAN","DANIEL","11_09_1005"
1,1,"PBW004","PUBT4",12.91451,79.14053,"NEAR DRAIN
, GPS (TRANSECT WALK)",FALSE,FALSE,0,"THENPANDIYAN","DANIEL","11_09_1006"
1,1,"PBW005","PBW005",12.91327,79.14069,"NEAR OPEN DRAIN, ANIMAL FECES STORED PIPED WATER IN A TANK.",FALSE,FALSE,0,"THENPANDIYAN","DANIEL","11_09_1007"
1,1,"PBW006","PBW006",12.91314,7.14066,"NEAR OPEN DRAIN",FALSE,FALSE,0,"THENPANDIYAN","DANIEL","11_09_1008"
1,1,"PSW001","PUBT1",12.91242,79.13789,"6 STALLS FOR FEMALE
, 6 STALLS FOR MALE.
 * NEAR TO THE TOILET BIG SIZE OPEN DRAINAGE.
 * SAMPLE COLLECTED IN WALL & TAP",TRUE,FALSE,0,"THENPANDIYAN","DANIEL","11_07_1009"
1,1,"PSW002","PUBT1",12.91242,79.13789,"6 STALLS FOR FEMALE
, 6 STALLS FOR MALE
 * NEAR TO THE TOILET BIG SIZE OPEN DRAINAGE
 * SAMPLE COLLECTED IN TAP & WALL
",FALSE,FALSE,0,"THENPANDIYAN","DANIEL","11_07_1010"
1,1,"PSW003","PUBT1",12.91242,79.13789,"6 STALLS FOR FEMALE
, 6 STALLS FOR MALE
 * NEAR TO THE TOILET BIG SIZE OPEN DRAINAGE
 * COLLECTED IN WALL & TAP",FALSE,FALSE,0,"THENPANDIYAN","DANIEL","11_07_1011"
1,1,"PSW004","PUBT1",12.91242,79.13789,"6 STALLS FOR FEMALE, 6 STALLS FOR MALE.
 * NEAR TO THE TOILET BIG SIZE OPEN DRAINAGE.
 * SAMPLE COLLECTED IN WALL AND TAP.
",TRUE,FALSE,0,"THENPANDIYAN","DANIEL","11_07_1012"
1,1,"PSW005","PUBT2",12.91378,79.13932,"HAND WASHING STATION A LARGE TANK WITH A BOWL FOR FETCHING WATER .
FEMALE STALL.",FALSE,FALSE,0,"THENPANDIYAN","DANIEL","11_07_1013"
1,1,"PSW006","PUBT2",12.91378,79.13932,"HAND WASHING STATION A LARGE TANK WITH A BOWL FOR FETCHING WATER.
 FEMALE STALL.",TRUE,FALSE,0,"THENPANDIYAN","DANIEL","11_07_1014"
1,1,"PSW007","PUBT2",12.91378,79.13932,"SAMPLE COLLECTED FROM WALL, TAP AND DOOR HANDLE
 ALL MALE STALLS.",TRUE,TRUE,0,"THENPANDIYAN","DANIEL","11_07_1015"
1,1,"PSW008","PUBT2",12.91378,79.13932,"ALL MALE STALLS",TRUE,FALSE,0,"THENPANDIYAN","DANIEL","11_07_1016"
1,1,"PSW009","PUBT3",12.91491,79.13997,"MALE STALL - 5 STALLS
, WALL, TAP, BUCKET, DOOR HANDLE COLLECTE",FALSE,FALSE,0,"THENPANDIYAN","DANIEL","11_07_1017"
