"lab_start_dt","lab_sample_type","lab_id","lab_id_val","lab_processing","lab_incubator_placed","lab_incubator_removed","lab_p_weight","lab_sf_weight","lab_pa_weight","lab_1_dil_tested","lab_1_volume","lab_1_ecoli_reading_membrane","lab_1_ecoli_membrane","lab_2_dil_tested","lab_2_volume","lab_2_ecoli_reading_membrane","lab_2_ecoli_membrane","lab_3_dilution_performed","lab_3_dil_tested","lab_3_volume","lab_3_ecoli_reading_membrane","lab_3_ecoli_membrane","lab_notes","lab_enum","lab_photo","lab_end_dt","meta.instanceID","X_uuid","X_submission_time","X_tags","X_notes","lab_analysis","dply_num","lab_UID","lab_date"
"2019-12-31T11:02:10.000-00:00",99,6002,6002,"2019-11-19T15:00:00.000-00:00","2019-11-19T15:15:00.000-00:00","2019-11-20T15:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"MRS",0,"2019-12-31T11:39:40.000-00:00","uuid:ff37d45c-0885-4452-a6c7-5eb721f926c6","ff37d45c-0885-4452-a6c7-5eb721f926c6","2019-12-31T11:42:09",,,2,12,"12_99_6002",2019-11-19
"2019-12-31T11:39:41.000-00:00",99,6003,6003,"2019-11-19T15:00:00.000-00:00","2019-11-19T15:15:00.000-00:00","2019-11-20T15:00:00.000-00:00",,,,7,1,3,0,7,1,3,0,0,,,,,,"MRS",0,"2019-12-31T11:42:30.000-00:00","uuid:a8f63fa2-829f-47b5-9b52-fc227cd592dc","a8f63fa2-829f-47b5-9b52-fc227cd592dc","2019-12-31T11:42:37",,,2,12,"12_99_6003",2019-11-19
"2019-12-31T11:42:30.000-00:00",99,6004,6004,"2019-11-19T15:00:00.000-00:00","2019-11-19T15:15:00.000-00:00","2019-11-20T15:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"MRS",0,"2019-12-31T11:44:02.000-00:00","uuid:c7eee357-8541-46a5-9b38-b01052ab43ea","c7eee357-8541-46a5-9b38-b01052ab43ea","2019-12-31T11:44:09",,,2,12,"12_99_6004",2019-11-19
"2019-12-31T11:44:02.000-00:00",99,6005,6005,"2019-11-19T15:00:00.000-00:00","2019-11-19T15:15:00.000-00:00","2019-11-20T15:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"MRS",0,"2019-12-31T11:45:52.000-00:00","uuid:132a2820-684d-4fcb-88d5-0656f335e6ee","132a2820-684d-4fcb-88d5-0656f335e6ee","2019-12-31T11:45:59",,,2,12,"12_99_6005",2019-11-19
"2019-12-31T11:45:52.000-00:00",99,6007,6007,"2019-11-19T15:00:00.000-00:00","2019-11-19T15:15:00.000-00:00","2019-11-20T15:00:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"MRS",0,"2019-12-31T11:47:52.000-00:00","uuid:58b72ae6-3c41-49bc-ae21-3bb1cf5e5ac8","58b72ae6-3c41-49bc-ae21-3bb1cf5e5ac8","2019-12-31T11:48:00",,,2,12,"12_99_6007",2019-11-19
"2019-12-31T11:47:52.000-00:00",99,6007,6007,"2019-11-21T07:55:00.000-00:00","2019-11-21T08:00:00.000-00:00","2019-11-22T07:45:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2019-12-31T11:51:03.000-00:00","uuid:786c7381-58cc-48b0-bbf8-eecfef4b1474","786c7381-58cc-48b0-bbf8-eecfef4b1474","2019-12-31T11:51:11",,,2,12,"12_99_6007",2019-11-21
"2019-12-31T11:51:04.000-00:00",99,6008,6008,"2019-11-21T07:55:00.000-00:00","2019-11-21T08:00:00.000-00:00","2019-11-22T07:45:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2019-12-31T11:58:42.000-00:00","uuid:62871b49-f81a-4403-8bd4-ebe23176d50a","62871b49-f81a-4403-8bd4-ebe23176d50a","2019-12-31T11:58:50",,,2,12,"12_99_6008",2019-11-21
"2019-12-31T11:58:42.000-00:00",99,6009,6009,"2019-11-21T07:55:00.000-00:00","2019-11-21T08:00:00.000-00:00","2019-11-22T07:45:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"KB",0,"2019-12-31T12:00:51.000-00:00","uuid:a1c73b50-00ec-4d9b-b246-56daac620981","a1c73b50-00ec-4d9b-b246-56daac620981","2019-12-31T12:00:59",,,2,12,"12_99_6009",2019-11-21
"2020-01-04T08:22:41.000-00:00",99,6011,6011,"2019-11-27T08:55:00.000-00:00","2019-11-27T09:00:00.000-00:00","2019-11-28T08:30:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"AMS",0,"2020-01-04T08:26:30.000-00:00","uuid:ec02df2c-5186-4c1d-a4f8-efef55c86f01","ec02df2c-5186-4c1d-a4f8-efef55c86f01","2020-01-06T10:40:43",,,2,12,"12_99_6011",2019-11-27
"2020-01-04T08:26:30.000-00:00",99,6012,6012,"2019-11-27T08:55:00.000-00:00","2019-11-27T09:00:00.000-00:00","2019-11-28T08:30:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"AMS",0,"2020-01-04T08:28:22.000-00:00","uuid:cee8adae-27ee-4d5f-9586-6e8089d9a617","cee8adae-27ee-4d5f-9586-6e8089d9a617","2020-01-06T10:40:43",,,2,12,"12_99_6012",2019-11-27
"2020-01-04T08:28:23.000-00:00",99,6013,6013,"2019-11-27T08:55:00.000-00:00","2019-11-27T09:00:00.000-00:00","2019-11-28T08:30:00.000-00:00",,,,7,1,3,0,6,1,3,0,0,,,,,,"AMS",0,"2020-01-04T08:31:17.000-00:00","uuid:636acac8-a9e4-491b-9b06-97587dff38b3","636acac8-a9e4-491b-9b06-97587dff38b3","2020-01-06T10:40:44",,,2,12,"12_99_6013",2019-11-27
