"s_rain24hr","s_rainmonth","s_surface","s_drains","s_flood","s_wasa","s_other","s_treat","s_bath","s_produce","s_food","s_shared","s_private","s_participant_female_end","s_participant_male_end","s_neighborhood_y_end","s_neighborhood_n_end","meta.instanceID","X_parent_table_name","X_parent_index","s_UID"
1,1,1,1,1,1,1,1,1,1,1,1,1,5,10,15,0,"uuid:3a4ef34e-8b44-4ff8-8733-cb25496b33a9",,-1,"02_1000"
1,1,1,1,1,1,1,1,1,1,1,1,1,10,5,15,0,"uuid:56c03637-b22b-4d0d-b9c3-a05499330f2e",,-1,"02_1001"
1,1,1,1,1,1,1,1,1,1,1,1,1,11,7,18,0,"uuid:3fbc357f-d904-4948-a754-47d1c0dde611",,-1,"02_1002"
1,1,1,1,1,1,1,1,1,1,1,1,1,,,0,20,"uuid:c3ae9dd7-81e0-4147-a3a9-29b2c81cd897",,-1,"02_1003"
1,1,1,1,1,1,1,1,1,1,1,1,1,8,5,13,0,"uuid:5f968026-7e51-4404-9ae3-fc1826e8ae94",,-1,"02_1004"
1,1,1,1,1,1,1,1,1,1,1,1,1,4,13,17,0,"uuid:77a5c2bd-feef-429b-83a7-43ed000d249b",,-1,"02_1005"
1,1,1,1,1,1,1,1,1,1,1,1,1,6,9,13,2,"uuid:f7a35857-9c01-4e02-8961-68f0dc51fabc",,-1,"02_1006"
1,1,1,1,1,1,1,1,1,1,1,1,1,11,8,18,1,"uuid:733e9847-cf9a-4cde-bb9c-9bbaad4542e2",,-1,"02_1007"
1,1,1,1,1,1,1,1,1,1,1,1,1,8,12,20,0,"uuid:50efbc35-3f82-45a1-bb83-ca8c7595a358",,-1,"02_1008"
0,1,1,1,1,1,1,1,1,1,1,1,1,9,8,17,0,"uuid:e26edecc-6f02-487f-87f9-e3130df40f00",,-1,"02_1009"
1,1,1,1,1,1,1,1,1,1,1,1,1,13,5,18,0,"uuid:50f93d62-e892-4952-9bc3-3e5803b3b299",,-1,"02_1010"
1,1,1,1,1,1,1,1,1,1,1,1,1,5,13,18,0,"uuid:5bed5537-76b6-489d-ab3b-0a71e5950238",,-1,"02_1011"
1,1,1,1,1,1,1,1,1,1,1,1,1,10,5,13,2,"uuid:ae186d29-53dc-4677-9610-b3ca0e396743",,-1,"02_1012"
1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,13,0,"uuid:c7758e4e-c67a-42e7-aec2-aaf39272636c",,-1,"02_1013"
1,1,1,1,1,1,1,1,1,1,1,1,1,15,3,18,0,"uuid:68d94be6-1b55-45cf-ae38-c8272f1aa55c",,-1,"02_1014"
0,1,1,1,1,1,1,1,1,1,1,1,1,10,6,16,0,"uuid:c5ec7915-4714-4487-bf83-e53b14d11bbb",,-1,"02_1015"
1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,0,"uuid:ed6dd469-22e3-4941-b24a-556fed350065",,-1,"02_1016"
1,1,1,1,1,1,1,1,1,1,1,1,1,8,11,19,0,"uuid:4d837744-a52a-4c97-abc8-0f22fcc6abdf",,-1,"02_1017"
1,1,1,1,1,1,1,1,1,1,1,1,1,15,5,20,0,"uuid:433e8ffa-2283-4d73-9566-8f2e5f9592c2",,-1,"02_1018"
1,1,1,1,1,1,1,1,1,1,1,1,1,9,10,19,0,"uuid:34e36b37-cb3c-41e8-84b1-7e0e9a185e00",,-1,"02_1019"
1,1,1,1,1,1,1,1,1,1,1,1,1,8,9,17,0,"uuid:9ea1854b-e37a-4323-a14e-253436020dc9",,-1,"02_1020"
1,1,1,1,1,1,1,1,1,1,1,1,1,,,14,0,"uuid:d8f65c3b-d9c7-411b-9d35-a8eacaf0057c",,-1,"02_1021"
1,1,1,1,1,1,1,1,1,1,1,1,1,9,11,20,0,"uuid:7be4ed0f-1be3-46bd-9629-f6a6c78c7db2",,-1,"02_1022"
0,1,1,1,1,1,1,1,1,1,1,1,1,8,12,20,0,"uuid:76ebbc95-9ce9-4edd-bb2e-b9fb8faf1f45",,-1,"02_1023"
1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,13,0,"uuid:7082c71a-0bb3-4b1e-9a12-6382896db7d0",,-1,"02_1024"
0,1,1,1,1,1,1,1,1,1,1,1,1,9,7,16,0,"uuid:4ed09a29-f4db-4a6c-a4e2-6258e0a76d7e",,-1,"02_1025"
1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,20,0,"uuid:1a25089c-fc80-44ce-8565-c78f73aab559",,-1,"02_1026"
1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,20,0,"uuid:22254c5c-a5e6-495f-8f31-8a2a1564b711",,-1,"02_1027"
1,1,1,1,1,1,1,1,1,1,1,1,1,11,7,18,0,"uuid:75e67979-84be-4cbc-ac3c-e0331eab6992",,-1,"02_1028"
1,1,1,1,1,1,1,1,1,1,1,1,1,,,18,0,"uuid:2eb344de-3d1f-4683-9846-a914673a286c",,-1,"02_1029"
1,1,1,1,1,1,1,1,1,1,1,1,1,8,7,15,0,"uuid:43828a79-8f04-4129-904b-d464519614d2",,-1,"02_1030"
0,1,1,1,1,1,1,1,1,1,1,1,1,17,2,19,0,"uuid:c4fe519f-fb21-4f3a-a371-20b3da76ca5f",,-1,"02_1031"
1,1,1,1,1,1,1,1,1,1,1,1,1,,,12,0,"uuid:668201ac-d086-49c7-aa80-78da4a1012a9",,-1,"02_1032"
0,1,1,1,1,1,1,1,1,1,1,1,1,,,10,0,"uuid:9a6a6954-d64e-4b3b-969c-8759b8287106",,-1,"02_1033"
0,0,1,1,1,1,1,1,1,1,1,1,1,7,9,6,10,"uuid:2bd8d62d-f946-48b6-9500-ccfd3b6b11d5",,-1,"02_1034"
