"s_bw_source_3","s_bw_source_2","s_bw_source_1","s_bw_source_0","meta.instanceID","X_tags","X_notes","s_UID"
20,0,0,0,"uuid:be2a6d3d-5d61-408f-9078-661bf0d386aa",,,"13_1000"
19,1,0,0,"uuid:a91d6aa9-528a-4ade-86fc-d8b393787409",,,"13_1001"
18,2,0,0,"uuid:42d6cb0e-0b62-476f-8403-0c85eab36302",,,"13_1002"
19,1,0,0,"uuid:b54f8963-d7c6-4f1b-9823-f4624458e1cd",,,"13_1003"
15,5,0,0,"uuid:51959a8d-0cf6-4e0e-a82b-60fc7360e84d",,,"13_1004"
19,0,0,1,"uuid:c05dd2cb-2988-4086-b6e2-c8b2787f1cdb",,,"13_1005"
8,12,0,0,"uuid:1eb30c65-7f0e-4ae8-a69e-3629f92b272a",,,"13_1006"
5,15,0,0,"uuid:fc3a41aa-dd77-4b2d-8fd9-1960a240bcc5",,,"13_1007"
16,3,1,0,"uuid:45df02e2-992e-4f64-bb26-4c39b32a6a1a",,,"13_1008"
19,1,0,0,"uuid:31406c89-af52-42ef-9c2e-fcb96db16380",,,"13_1009"
13,4,2,1,"uuid:5288930f-a127-4b28-b06f-a711b6966481",,,"13_1010"
18,1,1,0,"uuid:9e48315d-0313-49e3-aceb-40d3093d31db",,,"13_1011"
