"neighb_UID","city","citylabel","lat","long"
101,"Siem Reap","Siem Reap 16",13.3569368187143,103.886248128571
102,"Siem Reap","Siem Reap 16",13.37705676,103.856164426667
103,"Siem Reap","Siem Reap 16",13.3758578506122,103.856782771429
104,"Siem Reap","Siem Reap 16",13.3519828519718,103.849526850704
105,"Siem Reap","Siem Reap 16",13.3843031583019,103.852171988679
201,"Dhaka","Dhaka 17",23.8237343395,90.3783308748
202,"Dhaka","Dhaka 17",23.7709749985,90.4308474373
203,"Dhaka","Dhaka 17",23.7801983192857,90.3416671944898
204,"Dhaka","Dhaka 17",23.8694187037,90.4301122728
205,"Dhaka","Dhaka 17",23.784480425,90.4163474318
206,"Dhaka","Dhaka 17",23.7256453379,90.4265412892
207,"Dhaka","Dhaka 17",23.7023211932,90.4283793458
208,"Dhaka","Dhaka 17",23.7250453607,90.3728557195
209,"Dhaka","Dhaka 17",23.7357876947,90.421471483
210,"Dhaka","Dhaka 17",23.7465631419192,90.3725317684848
301,"Accra","Accra 16",5.52645573290323,-0.257282710430108
302,"Accra","Accra 16",5.52778052713147,-0.244704805139442
303,"Accra","Accra 16",5.57678464427419,-0.210637778225806
304,"Accra","Accra 16",5.55908802576471,-0.186412375294118
305,"Accra","Accra 16",5.56198936992481,-0.212748452631579
401,"Lusaka","Lusaka 18",-15.4324233227811,28.2385841469231
501,"Maputo","Maputo 15",-25.9443669387755,32.5596019387755
502,"Maputo","Maputo 15",-25.9434677777778,32.5826605555556
601,"Accra","Accra 18",5.5633303286845,-0.240256786113565
602,"Accra","Accra 18",5.55010079893862,-0.182798579511184
701,"Kumasi","Kumasi 18",6.69340973395498,-1.61843155332995
702,"Kumasi","Kumasi 18",6.72312241122764,-1.60344547777626
703,"Kumasi","Kumasi 18",6.67035447843732,-1.63022176086573
704,"Kumasi","Kumasi 18",6.65793137782539,-1.61809175783219
801,"Maputo","Maputo 16",-25.9435934868421,32.5606400657895
802,"Maputo","Maputo 16",-25.9447373611111,32.5800418055556
901,"Kampala","Kampala 18",0.300496815910448,32.6225944534328
902,"Kampala","Kampala 18",0.344365064076923,32.5874228844872
903,"Kampala","Kampala 18",0.355126237333333,32.5616187625758
904,"Kampala","Kampala 18",0.282574653701299,32.5519948916883
905,"Kampala","Kampala 18",0.334658518493827,32.63426356
1001,"Atlanta","Atlanta 16",33.72573406,-84.3851128857447
1101,"Vellore","Vellore 14",12.8976990566038,77.7832403773585
1102,"Vellore","Vellore 14",12.8998616981132,79.1247719245283
1201,"Dakar","Dakar 19",14.7810758907471,-17.3667249138506
1202,"Dakar","Dakar 19",14.7720624722222,-17.3839025277778
1203,"Dakar","Dakar 19",14.7622677222222,-17.3844015555556
1204,"Dakar","Dakar 19",14.7221812777778,-17.2599550833333
1205,"Dakar","Dakar 19",14.7135633928571,-17.4584248214286
1301,"Lusaka","Lusaka 19",-15.4494452038889,28.2808977052222
1302,"Lusaka","Lusaka 19",-15.33977966075,28.2969222825
1303,"Lusaka","Lusaka 19",-15.381890854,28.240832395625
