"sample_type_name","sample_id","neighb_id","neighborhood","age","pop","p","r","n.response","mu","sigma","n.sample","exposure","dose","popDose","deployment_id","country","city","citylabel","date","pathway","neighb_pop","neighb_pop_label","perDose"
"Floodwater",6,101,"Chong Kaosou","Adults","a",0.0851347666626463,1.75321352136801,45,4.91549079827853,0.973079385568423,10,0.987,12250.9665397705,12250.9665397705,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Floodwater","Siem Reap 101 Adults","Siem Reap 101",0.000435865321050406
"Floodwater",6,101,"Chong Kaosou","Children","c",0.111392562669229,2.49127094173079,35,4.91549079827853,0.973079385568423,10,0.997,142960.074397021,142960.074397021,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Floodwater","Siem Reap 101 Children","Siem Reap 101",0.00223144726064046
"Raw Produce",2,101,"Chong Kaosou","Adults","a",0.923017495475947,131.975046618405,45,4.41387938458852,1.44422584667366,8,1,235291015.961127,235291015.961127,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Raw Produce","Siem Reap 101 Adults","Siem Reap 101",8.37119209159917
"Raw Produce",2,101,"Chong Kaosou","Children","c",0.83064951556523,125.07273427025,35,4.41387938458852,1.44422584667366,8,1,560343285.570629,560343285.570629,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Raw Produce","Siem Reap 101 Children","Siem Reap 101",8.7463335121971
"Floodwater",6,102,"Kumruthemey (informal)","Adults","a",0.251566778419455,1.99255436321261,66,5.02866010012489,0.764836060767085,10,0.927,1623.67027331313,1623.67027331313,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Floodwater","Siem Reap 102 Adults","Siem Reap 102",0.00699476499861543
"Floodwater",6,102,"Kumruthemey (informal)","Children","c",0.308011483180789,2.69184285141783,47,5.02866010012489,0.764836060767085,10,0.961,30953.4289170272,30953.4289170272,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Floodwater","Siem Reap 102 Children","Siem Reap 102",0.247672534763478
"Raw Produce",2,102,"Kumruthemey (informal)","Adults","a",0.972546301655644,383.574013990343,66,3.40917541303074,1.02559833392291,8,1,1427103.10241158,1427103.10241158,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Raw Produce","Siem Reap 102 Adults","Siem Reap 102",6.14795441798353
"Raw Produce",2,102,"Kumruthemey (informal)","Children","c",0.962308564234109,233.778242927801,47,3.40917541303074,1.02559833392291,8,1,702051.415515592,702051.415515592,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Raw Produce","Siem Reap 102 Children","Siem Reap 102",5.6174343101415
"Floodwater",6,103,"Kumruthemey (formal)","Adults","a",0.0515777797671809,1.02492189514228,114,5.07911835112062,1.17309343254293,10,0.957,256467.720244308,256467.720244308,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Floodwater","Siem Reap 103 Adults","Siem Reap 103",5.40903271135049
"Floodwater",6,103,"Kumruthemey (formal)","Children","c",0.0247762152348415,0.427997171665143,84,5.07911835112062,1.17309343254293,10,0.81,618316.807173408,618316.807173408,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Floodwater","Siem Reap 103 Children","Siem Reap 103",5.7912110517123
"Floodwater",6,104,"Steung Thumey","Adults","a",0.49876562166011,4.21481472531957,86,4.7436955251665,0.684595794642302,10,0.953,422.436338365618,422.436338365618,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Floodwater","Siem Reap 104 Adults","Siem Reap 104",1.33964514874309e-05
"Floodwater",6,104,"Steung Thumey","Children","c",0.432098849011456,2.70625701591305,83,4.7436955251665,0.684595794642302,10,0.906,8999.26296834391,8999.2629683439,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Floodwater","Siem Reap 104 Children","Siem Reap 104",0.000912185684136557
"Raw Produce",2,104,"Steung Thumey","Adults","a",0.830199047270882,45.4851688656018,86,3.96485945249109,1.72198959095317,10,1,265647000.486463,265647000.486463,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Raw Produce","Siem Reap 104 Adults","Siem Reap 104",8.42429221067236
"Raw Produce",2,104,"Steung Thumey","Children","c",0.808233860646208,35.0993537838005,83,3.96485945249109,1.72198959095317,10,1,77843153.8359013,77843153.8359013,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Raw Produce","Siem Reap 104 Children","Siem Reap 104",7.89035844234431
"Floodwater",6,105,"Veal/ Trapangses","Adults","a",0.27742257637953,6.97502388413151,99,4.91529782320144,1.53778614572983,10,1,542141.731471077,542141.731471077,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Floodwater","Siem Reap 105 Adults","Siem Reap 105",0.00351975285349314
"Floodwater",6,105,"Veal/ Trapangses","Children","c",0.134317815547379,2.88257669772535,72,4.91529782320144,1.53778614572983,10,0.999,4461001.37146148,4461001.37146148,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Floodwater","Siem Reap 105 Children","Siem Reap 105",0.0488800958213909
"Raw Produce",2,105,"Veal/ Trapangses","Adults","a",0.938303204012318,148.247933427909,99,5.51179948304013,1.39765862824037,3,0.999,1408659094.33059,1408659094.33059,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Raw Produce","Siem Reap 105 Adults","Siem Reap 105",9.14545326259149
"Raw Produce",2,105,"Veal/ Trapangses","Children","c",0.94622548521314,143.342930636318,72,5.51179948304013,1.39765862824037,3,0.998,808719831.322455,808719831.322455,1,"Cambodia","Siem Reap","Siem Reap 16","8/1/16","Raw Produce","Siem Reap 105 Children","Siem Reap 105",8.86130703760579
"Bathing Water",9,201,"Kalshi","Adults","a",0.904191291757815,130.468117880709,256,2.15136230852084,1.09529253405491,10,1,5555.04530499508,5555.04530499508,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Bathing Water","Dhaka 201 Adults","Dhaka 201",0.000269852865670199
"Bathing Water",9,201,"Kalshi","Children","c",0.597739386392766,17.06439872747,237,2.15136230852084,1.09529253405491,10,1,24962.1836175732,24962.1836175732,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Bathing Water","Dhaka 201 Children","Dhaka 201",0.000149121287377202
"Open Drain Water",1,201,"Kalshi","Adults","a",0.0113664431828084,0.532921587798771,259,6.64653947240266,0.97356336140623,9,0.889,1512227.51737498,1512227.51737498,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Open Drain Water","Dhaka 201 Adults","Dhaka 201",0.0734609542683706
"Open Drain Water",1,201,"Kalshi","Children","c",0.0325210011064886,0.869360611440319,239,6.64653947240266,0.97356336140623,9,0.954,9916831.6249116,9916831.6249116,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Open Drain Water","Dhaka 201 Children","Dhaka 201",0.0592420407311121
"Municipal Drinking Water",3,201,"Kalshi","Adults","a",0.00297409033441836,0.258467407731091,256,0.219711890261627,0.784069808068323,10,0.769,1812.04436447747,1812.04436447747,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Municipal Drinking Water","Dhaka 201 Adults","Dhaka 201",8.8025450312005e-05
"Municipal Drinking Water",3,201,"Kalshi","Children","c",0.0043697336486441,0.268530428233444,236,0.219711890261627,0.784069808068323,10,0.798,711.181480520333,711.181480520333,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Municipal Drinking Water","Dhaka 201 Children","Dhaka 201",4.24851846131589e-06
"Floodwater",6,201,"Kalshi","Adults","a",0.0509444210763859,0.964632488849189,251,5.669688669603,0.75084213995223,8,0.929,89974.3894270997,89974.3894270997,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Floodwater","Dhaka 201 Adults","Dhaka 201",0.00437077386245563
"Floodwater",6,201,"Kalshi","Children","c",0.0405842222812447,0.798324063218686,241,5.669688669603,0.75084213995223,8,0.923,1553226.05741996,1553226.05741996,2,"Bangladesh","Dhaka","Dhaka 17","3/1/17","Floodwater","Dhaka 201 Children","Dhaka 201",0.00927879839435291
