"","citylabel","min","max"
"1","Vellore 14","2014-03-04","2014-04-02"
"2","Maputo 15","2015-03-02","2015-05-12"
"3","Accra 16","2016-03-21","2016-07-21"
"4","Maputo 16","2016-05-03","2016-05-31"
"5","Siem Reap 16","2016-09-06","2016-11-17"
"6","Atlanta 16","2016-11-07","2016-12-09"
"7","Dhaka 17","2017-04-09","2017-07-03"
"8","Lusaka 18","2018-03-19","2018-03-28"
"9","Accra 18","2018-10-01","2018-10-17"
"10","Kumasi 18","2018-10-11","2018-11-05"
"11","Kampala 18","2018-11-16","2019-02-14"
"12","Lusaka 19","2019-10-07","2019-10-28"
"13","Dakar 19","2019-11-14","2020-01-10"
