deviceid,h_id,h_start,h_coordinates,_h_coordinates_latitude,_h_coordinates_longitude,_h_coordinates_altitude,_h_coordinates_precision,h_neighborhood,h_home_type,h_rainweek,h_population,h_c,h_s_a,h_s_a_other,h_s_c,h_s_c_other,h_d_a,h_d_a_other,h_d_c,h_d_c_other,h_f_a,h_f_a_other,h_f_c,h_f_c_other,h_dw_a,h_dw_a_other,h_dw_c,h_dw_c_other,h_dw_e_wt,h_dw_e_wt_other,h_o_a,h_o_a_other,h_o_c,h_o_c_other,h_bw_a,h_bw_a_other,h_bw_c,h_bw_c_other,h_p_a,h_p_a_other,h_p_c,h_p_c_other,h_p_e,h_p_e_other,h_sf_a,h_sf_a_other,h_sf_c,h_sf_c_other,h_l_a,h_l_a_other,h_l_c,h_l_c_other,h_pl_a_th,h_pl_a_th_other,h_pl_a_tu,h_pl_a_tu_other,h_pl_a_tw,h_pl_a_tw_other,h_pl_a_tf,h_pl_a_tf_other,h_pl_a_ts,h_pl_a_ts_other,h_notes,h_enum,__version__,meta/instanceID,_uuid,_submission_time,_tags,_notes
enketo.sanipath.org:iB2IiPlkPaFNoBNl,1,2017-06-12T09:44:00.000-04:00,23.82360676 90.3785387 -49 0,23.82360676,90.3785387,-49,0,1,2,1,7,1,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,1,n/a,1,n/a,1,n/a,3,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,28,vFLd6ukjFadc82tfQmzfYF,uuid:3b29e1e8-470c-4a91-bf74-ab718e04c3c5,3b29e1e8-470c-4a91-bf74-ab718e04c3c5,2017-11-24T19:22:27,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,2,2017-06-12T10:32:00.000-04:00,23.822751 90.3796233 0 0,23.822751,90.3796233,0,0,1,2,1,5,1,1,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,3,n/a,2,n/a,1,n/a,3,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,28,vFLd6ukjFadc82tfQmzfYF,uuid:3cd560de-e72a-4b07-aa5f-112c345a0f48,3cd560de-e72a-4b07-aa5f-112c345a0f48,2017-11-24T19:47:38,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,3,2017-06-12T11:09:00.000-04:00,23.82376041 90.37845832 -35.10238528 0,23.82376041,90.37845832,-35.10238528,0,1,2,1,5,1,4,n/a,2,n/a,1,n/a,1,n/a,3,n/a,2,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,3,n/a,3,n/a,1,n/a,3,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,28,vFLd6ukjFadc82tfQmzfYF,uuid:3281877a-b861-4872-8438-9daf8707cb98,3281877a-b861-4872-8438-9daf8707cb98,2017-11-24T19:53:02,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,4,2017-06-12T11:55:00.000-04:00,23.822872 90.3796909 0 0,23.822872,90.3796909,0,0,1,2,1,6,1,4,n/a,3,n/a,3,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,3,n/a,3,n/a,1,n/a,4,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,28,vFLd6ukjFadc82tfQmzfYF,uuid:bdf86d21-5503-4fd2-88d4-f217b142b7ed,bdf86d21-5503-4fd2-88d4-f217b142b7ed,2017-11-24T20:00:45,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,5,2017-06-12T12:29:00.000-04:00,23.822872 90.3796909 0 0,23.822872,90.3796909,0,0,1,2,1,6,1,1,n/a,2,n/a,2,n/a,1,n/a,2,n/a,1,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,3,n/a,3,n/a,1,n/a,4,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,28,vFLd6ukjFadc82tfQmzfYF,uuid:26b62442-b27f-40e9-bec4-34216219fdcf,26b62442-b27f-40e9-bec4-34216219fdcf,2017-11-24T20:21:32,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,6,2017-06-14T08:42:00.000-04:00,23.822751 90.3796233 0 0,23.822751,90.3796233,0,0,1,2,1,4,1,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,3,n/a,2,n/a,1,n/a,2,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,28,vFLd6ukjFadc82tfQmzfYF,uuid:483b7ce1-2e12-441c-b309-070869827f41,483b7ce1-2e12-441c-b309-070869827f41,2017-11-24T20:31:21,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,7,2017-06-14T09:08:00.000-04:00,23.822751 90.3796233 0 0,23.822751,90.3796233,0,0,1,2,1,7,1,4,n/a,4,n/a,1,n/a,1,n/a,2,n/a,2,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,2,n/a,2,n/a,1,n/a,3,n/a,2,n/a,4,n/a,3,n/a,1,n/a,1,n/a,1,n/a,2,n/a,4,n/a,n/a,28,vFLd6ukjFadc82tfQmzfYF,uuid:81795dd5-b82b-410c-9c83-ed74fbc5df98,81795dd5-b82b-410c-9c83-ed74fbc5df98,2017-11-24T20:40:12,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,8,2017-06-14T09:31:00.000-04:00,23.82418819 90.37707801 74 0,23.82418819,90.37707801,74,0,1,2,1,6,1,4,n/a,4,n/a,2,n/a,2,n/a,2,n/a,2,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,1,n/a,1,n/a,2,n/a,2,n/a,1,n/a,3,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,28,vFLd6ukjFadc82tfQmzfYF,uuid:d5969afc-bb9c-4fbc-8e17-fb080a338528,d5969afc-bb9c-4fbc-8e17-fb080a338528,2017-11-24T20:51:29,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,9,2017-06-14T08:43:00.000-04:00,23.82346064 90.37835126 6 0,23.82346064,90.37835126,6,0,1,2,1,4,1,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,2,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,2,n/a,2,n/a,1,n/a,3,n/a,2,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,26,vFLd6ukjFadc82tfQmzfYF,uuid:275d466b-89a2-459f-b000-70862dcf4514,275d466b-89a2-459f-b000-70862dcf4514,2017-11-24T21:10:54,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,10,2017-06-14T09:10:00.000-04:00,23.82380032 90.37850278 -21 0,23.82380032,90.37850278,-21,0,1,2,1,7,1,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,4,n/a,4,n/a,1,n/a,6,N/A,6,N/A,2,n/a,2,n/a,3,n/a,3,n/a,1,n/a,4,n/a,3,n/a,1,n/a,1,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,26,vFLd6ukjFadc82tfQmzfYF,uuid:bee2ffce-6983-49f1-8a39-6d44c722afa9,bee2ffce-6983-49f1-8a39-6d44c722afa9,2017-11-24T21:20:04,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,11,2017-06-12T09:40:00.000-04:00,23.8228727 90.3793966 0 0,23.8228727,90.3793966,0,0,1,2,1,5,1,1,n/a,1,n/a,1,n/a,1,n/a,2,n/a,2,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,3,n/a,3,n/a,1,n/a,3,n/a,3,n/a,3,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Good response,31,vFLd6ukjFadc82tfQmzfYF,uuid:40cdf062-c3e8-4ef8-8777-3d167e4e1fab,40cdf062-c3e8-4ef8-8777-3d167e4e1fab,2017-11-24T21:22:24,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,12,2017-06-12T14:00:00.000-04:00,23.8228727 90.3793966 0 0,23.8228727,90.3793966,0,0,1,2,1,5,1,4,n/a,4,n/a,1,n/a,2,n/a,3,n/a,3,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,2,n/a,2,n/a,1,n/a,2,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,2,n/a,4,n/a,Good response,31,vFLd6ukjFadc82tfQmzfYF,uuid:4b6cccd7-bb36-4158-b551-d7c304ccc452,4b6cccd7-bb36-4158-b551-d7c304ccc452,2017-11-24T21:27:19,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,13,2017-06-12T10:42:00.000-04:00,23.8228727 90.3793966 0 0,23.8228727,90.3793966,0,0,1,2,1,3,1,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,1,n/a,6,N/A,6,N/A,2,n/a,2,n/a,3,n/a,3,n/a,1,n/a,3,n/a,3,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Good response,31,vFLd6ukjFadc82tfQmzfYF,uuid:3197caf2-ec2a-40d1-a3bf-f44488b47a4f,3197caf2-ec2a-40d1-a3bf-f44488b47a4f,2017-11-24T21:32:12,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,14,2017-06-12T11:15:00.000-04:00,23.8228727 90.3793966 0 0,23.8228727,90.3793966,0,0,1,2,1,4,1,2,n/a,3,n/a,1,n/a,2,n/a,2,n/a,2,n/a,1,n/a,1,n/a,1,n/a,6,N/A,6,N/A,2,n/a,3,n/a,1,n/a,1,n/a,1,n/a,3,n/a,3,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Motamuti valo,31,vFLd6ukjFadc82tfQmzfYF,uuid:762f892f-919c-43d0-9109-3989b829036d,762f892f-919c-43d0-9109-3989b829036d,2017-11-24T21:41:08,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,15,2017-06-12T12:28:00.000-04:00,23.822872 90.3796909 0 0,23.822872,90.3796909,0,0,1,2,1,6,1,4,n/a,4,n/a,1,n/a,1,n/a,3,n/a,2,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,4,n/a,4,n/a,3,n/a,4,n/a,3,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Good response,31,vFLd6ukjFadc82tfQmzfYF,uuid:e630011a-1632-48bc-a6f4-d2f030cf37ec,e630011a-1632-48bc-a6f4-d2f030cf37ec,2017-11-24T21:44:37,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,16,2017-06-13T08:42:00.000-04:00,23.822872 90.3796909 0 0,23.822872,90.3796909,0,0,1,2,1,6,1,4,n/a,3,n/a,2,n/a,2,n/a,2,n/a,2,n/a,1,n/a,1,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,2,n/a,2,n/a,1,n/a,2,n/a,2,n/a,4,n/a,4,n/a,1,n/a,1,n/a,1,n/a,2,n/a,4,n/a,Good response,31,vFLd6ukjFadc82tfQmzfYF,uuid:72ae2870-557e-4517-b90f-7a5476e651fd,72ae2870-557e-4517-b90f-7a5476e651fd,2017-11-24T21:58:32,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,17,2017-06-13T09:21:00.000-04:00,23.8228756 90.3782195 0 0,23.8228756,90.3782195,0,0,1,2,1,8,1,3,n/a,2,n/a,6,could not be reached,6,could not be reached,2,n/a,2,n/a,2,n/a,2,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,2,n/a,2,n/a,1,n/a,3,n/a,3,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,good,31,vFLd6ukjFadc82tfQmzfYF,uuid:4c695000-00af-4b84-89e5-0a013e233916,4c695000-00af-4b84-89e5-0a013e233916,2017-11-24T22:04:01,,
enketo.sanipath.org:iB2IiPlkPaFNoBNl,18,2017-06-13T10:09:00.000-04:00,23.8228756 90.3782195 0 0,23.8228756,90.3782195,0,0,1,2,1,5,1,4,n/a,4,n/a,1,n/a,1,n/a,3,n/a,2,n/a,2,n/a,2,n/a,2,n/a,6,N/A,6,N/A,2,n/a,2,n/a,2,n/a,2,n/a,1,n/a,3,n/a,3,n/a,2,n/a,2,n/a,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Good response,31,vFLd6ukjFadc82tfQmzfYF,uuid:d87050c8-310e-4ac0-9e4d-b9238bc0ee79,d87050c8-310e-4ac0-9e4d-b9238bc0ee79,2017-11-24T22:08:05,,
