lab_start_dt,lab_sample_type,lab_id,lab_id_val,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_p_weight,lab_sf_weight,lab_pa_weight,lab_1_group/lab_1_dil_tested,lab_1_group/lab_1_volume,lab_1_ecoli_reading_membrane,lab_1_ecoli_membrane,lab_2_group/lab_2_dil_tested,lab_2_group/lab_2_volume,lab_2_ecoli_reading_membrane,lab_2_ecoli_membrane,lab_3_dilution_performed,lab_3_group/lab_3_dil_tested,lab_3_group/lab_3_volume,lab_3_ecoli_reading_membrane,lab_3_ecoli_membrane,lab_notes,lab_enum,lab_photo,lab_end_dt,col_start_dt,col_end_dt,meta/instanceID,_uuid,_submission_time,_tags,_notes
2018-10-19T16:12:25.722Z,2,2001,2001,2018-10-08T13:00:00.000Z,2018-10-08T14:30:00.000Z,2018-10-09T14:30:00.000Z,55.08,n/a,n/a,7,10,1,n/a,7,1,3,26,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-19T16:15:45.249Z,2018-10-19T16:12:25.722Z,2018-10-19T16:15:45.249Z,uuid:e5f25b11-f2c6-4eff-9e9d-bb73a45e4502,e5f25b11-f2c6-4eff-9e9d-bb73a45e4502,2018-10-22T16:42:34,,
2018-10-22T14:33:05.977Z,2,2005,2005,2018-10-08T13:00:00.000Z,2018-10-08T14:30:00.000Z,2018-10-09T14:30:00.000Z,125.02,n/a,n/a,7,10,3,5,7,1,3,1,1,6,1,3,0,n/a,BB,0,2018-10-22T15:17:52.009Z,2018-10-22T14:33:05.978Z,2018-10-22T15:17:52.009Z,uuid:2053b744-680d-40e0-bb1e-269bcbb51b67,2053b744-680d-40e0-bb1e-269bcbb51b67,2018-10-22T16:43:35,,
2018-10-22T14:39:23.038Z,2,2003,2003,2018-10-08T13:42:00.000Z,2018-10-08T14:42:00.000Z,2018-10-09T14:43:00.000Z,350.51,n/a,n/a,7,10,3,93,7,1,3,9,1,6,1,3,2,n/a,BB,0,2018-10-22T14:45:05.842Z,2018-10-22T14:39:23.038Z,2018-10-22T14:45:05.842Z,uuid:bff8174f-e0e1-4313-b709-a78679537a1c,bff8174f-e0e1-4313-b709-a78679537a1c,2018-10-22T16:43:40,,
2018-10-22T14:45:17.805Z,2,2004,2004,2018-10-08T13:30:00.000Z,2018-10-08T14:45:00.000Z,2018-10-09T14:30:00.000Z,158.8,n/a,n/a,7,10,1,n/a,7,1,1,n/a,1,6,1,3,26,n/a,BB,0,2018-10-22T15:20:12.948Z,2018-10-22T14:45:17.805Z,2018-10-22T15:20:12.949Z,uuid:aeb5c00a-9bda-4d5c-9990-48756b8c6d00,aeb5c00a-9bda-4d5c-9990-48756b8c6d00,2018-10-22T16:43:46,,
2018-10-22T14:52:39.531Z,7,3001,3001,2018-10-08T13:00:00.000Z,2018-10-08T14:30:00.000Z,2018-10-09T14:30:00.000Z,n/a,n/a,n/a,7,10,3,2,6,1,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-22T15:20:45.115Z,2018-10-22T14:52:39.531Z,2018-10-22T15:20:45.115Z,uuid:6ea67d80-9d36-497f-a806-69df0e78ba57,6ea67d80-9d36-497f-a806-69df0e78ba57,2018-10-22T16:43:50,,
2018-10-22T15:02:57.712Z,7,3002,3002,2018-10-08T13:00:00.000Z,2018-10-08T14:30:00.000Z,2018-10-09T14:30:00.000Z,n/a,n/a,n/a,7,10,3,0,6,1,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-22T16:07:03.666Z,2018-10-22T15:02:57.712Z,2018-10-22T16:07:03.666Z,uuid:3331eb21-a5a9-4056-b5de-0cda147a22e1,3331eb21-a5a9-4056-b5de-0cda147a22e1,2018-10-22T16:43:53,,
2018-10-22T15:04:42.874Z,7,3003,3003,2018-10-08T13:00:00.000Z,2018-10-08T14:30:00.000Z,2018-10-09T14:30:00.000Z,n/a,n/a,n/a,7,10,3,23,6,1,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-22T15:08:02.025Z,2018-10-22T15:04:42.874Z,2018-10-22T15:08:02.025Z,uuid:f49b8dc7-8d86-4125-a513-0a0f18bb156a,f49b8dc7-8d86-4125-a513-0a0f18bb156a,2018-10-22T16:43:55,,
2018-10-22T15:08:17.811Z,7,3004,3004,2018-10-08T13:00:00.000Z,2018-10-08T14:30:00.000Z,2018-10-09T14:30:00.000Z,n/a,n/a,n/a,7,10,3,0,6,1,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-22T15:09:56.262Z,2018-10-22T15:08:17.811Z,2018-10-22T15:09:56.262Z,uuid:f44760ef-e821-497d-8622-ff67ac5408c0,f44760ef-e821-497d-8622-ff67ac5408c0,2018-10-22T16:43:58,,
2018-10-22T15:10:16.566Z,7,3005,3005,2018-10-08T13:00:00.000Z,2018-10-08T14:10:00.000Z,2018-10-09T14:11:00.000Z,n/a,n/a,n/a,7,10,1,n/a,6,1,3,3,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-22T15:12:06.781Z,2018-10-22T15:10:16.567Z,2018-10-22T15:12:06.781Z,uuid:a68bdd98-50f8-4cbb-94b5-0250cea39824,a68bdd98-50f8-4cbb-94b5-0250cea39824,2018-10-22T16:44:01,,
2018-10-22T16:07:11.627Z,3,1001,1001,2018-10-08T13:00:00.000Z,2018-10-08T14:30:00.000Z,2018-10-09T14:30:00.000Z,n/a,n/a,n/a,7,100,3,0,7,10,3,0,0,n/a,n/a,n/a,n/a,n/a,BB,0,2018-10-22T16:08:40.519Z,2018-10-22T16:07:11.627Z,2018-10-22T16:08:40.519Z,uuid:f16d9bd5-304e-4076-985c-f3a64e210e79,f16d9bd5-304e-4076-985c-f3a64e210e79,2018-10-22T16:44:04,,
