deviceid,h_id,h_start,h_coordinates,_h_coordinates_latitude,_h_coordinates_longitude,_h_coordinates_altitude,_h_coordinates_precision,h_neighborhood,h_home_type,h_rainweek,h_population,h_c,h_s,h_s_a,h_s_a_other,h_s_c,h_s_c_other,h_d,h_d_a,h_d_a_other,h_d_c,h_d_c_other,h_f,h_f_a,h_f_a_other,h_f_c,h_f_c_other,h_dw,h_dw_a,h_dw_a_other,h_dw_c,h_dw_c_other,h_dw_e_wt_note,h_dw_e_wt,h_dw_e_wt_other,h_o,h_o_a,h_o_a_other,h_o_c,h_o_c_other,h_bw,h_bw_a,h_bw_a_other,h_bw_c,h_bw_c_other,h_p,h_p_a,h_p_a_other,h_p_c,h_p_c_other,h_p_e,h_p_e_other,h_sf,h_sf_a,h_sf_a_other,h_sf_c,h_sf_c_other,h_l,h_l_a,h_l_a_other,h_l_c,h_l_c_other,h_pl,h_pl_a_th,h_pl_a_th_other,h_pl_a_tu,h_pl_a_tu_other,h_pl_a_tw,h_pl_a_tw_other,h_pl_a_tf,h_pl_a_tf_other,h_pl_a_ts,h_pl_a_ts_other,h_end,h_notes,h_enum,__version__,_id,_uuid,_submission_time,_index
3.60E+14,1,2017-06-12T09:44:00.656+06,23.82360676479372 90.37853869909924 -49.0 0.0,23.82360676,90.3785387,-49,0,11,2,1,7,1,,4,,1,,,1,,1,,,1,,1,,,1,,1,,,2,,,,,,,,2,,2,,,1,,1,,1,,,3,,2,,,1,,1,,,2,,,,,,,,,,,,,,,bc24569f-3a22-4329-92b2-d5062915094f,2017-06-15T08:01:15,
3.60E+14,2,2017-06-12T10:32:00.005+06,23.822751 90.3796233 0.0 1117.0,23.822751,90.3796233,0,1117,11,2,1,5,1,,1,,4,,,1,,1,,,2,,2,,,1,,1,,,2,,,,,,,,2,,2,,,3,,2,,1,,,3,,2,,,1,,1,,,2,,,,,,,,,,,,,,,49193c97-e0bc-4ed2-9977-cbff59d7836a,2017-06-20T06:05:22,
3.60E+14,3,2017-06-12T11:09:00.221+06,23.82376040591392 90.37845831934756 -35.102385280653834 15.0,23.82376041,90.37845832,-35.10238528,15,11,2,1,5,1,,4,,2,,,1,,1,,,3,,2,,,1,,1,,,2,,,,,,,,2,,2,,,3,,3,,1,,,3,,2,,,1,,1,,,2,,,,,,,,,,,,,,,7b23ead4-68b2-458d-9284-ddbcd5156575,2017-06-15T08:05:29,
3.60E+14,4,2017-06-12T11:55:00.872+06,23.822872 90.3796909 0.0 1100.0,23.822872,90.3796909,0,1100,11,2,1,6,1,,4,,3,,,3,,1,,,1,,1,,,1,,1,,,2,,,,,,,,2,,2,,,3,,3,,1,,,4,,2,,,1,,1,,,2,,,,,,,,,,,,,,,1f8732df-fce8-4946-b552-98d9528c8d95,2017-06-20T06:05:53,
3.60E+14,5,2017-06-12T12:29:00.137+06,23.822872 90.3796909 0.0 1100.0,23.822872,90.3796909,0,1100,11,2,1,6,1,,1,,2,,,2,,1,,,2,,1,,,1,,1,,,2,,,,,,,,2,,2,,,3,,3,,1,,,4,,3,,,1,,1,,,2,,,,,,,,,,,,,,,ca44a507-caef-4ee5-b0bb-1c7718b911f1,2017-06-20T05:29:05,
3.60E+14,6,2017-06-14T08:42:00.705+06,23.822751 90.3796233 0.0 1117.0,23.822751,90.3796233,0,1117,11,2,1,4,1,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,,,,,,2,,2,,,3,,2,,1,,,2,,2,,,1,,1,,,2,,,,,,,,,,,,,,,18d0981c-cbb4-45a8-a6a7-35d2172ce649,2017-06-15T08:17:31,
3.60E+14,7,2017-06-14T09:08:00.514+06,23.822751 90.3796233 0.0 1117.0,23.822751,90.3796233,0,1117,11,2,1,7,1,,4,,4,,,1,,1,,,2,,2,,,1,,1,,,2,,,,,,,,2,,2,,,2,,2,,1,,,3,,2,,,4,,3,,,1,,1,,1,,2,,,,,,,,,63c7bc66-f2ae-419f-8ec6-683a56f5441f,2017-06-20T06:05:55,
3.60E+14,8,2017-06-14T09:31:00.061+06,23.824188189031762 90.37707800777895 74.0 0.0,23.82418819,90.37707801,74,0,11,2,1,6,1,,4,,4,,,2,,2,,,2,,2,,,1,,1,,,2,,,,,,,,1,,1,,,2,,2,,1,,,3,,3,,,1,,1,,,2,,,,,,,,,,,,,,,b4715f80-9d46-4a74-b85b-603c51156e47,2017-06-15T08:18:42,
3.60E+14,9,2017-06-14T08:43:00.882+06,23.82346063765639 90.37835125623128 6.0 0.0,23.82346064,90.37835126,6,0,11,2,1,4,1,,4,,4,,,1,,1,,,1,,2,,,1,,1,,,2,,,,,,,,2,,2,,,2,,2,,1,,,3,,2,,,1,,1,,,2,,,,,,,,,,,,,,,3d4c0a43-0e77-4ae8-9dc3-11bce201261c,2017-06-18T10:23:08,
3.60E+14,10,2017-06-14T09:10:00.296+06,23.82380031979434 90.37850278482003 -21.0 0.0,23.82380032,90.37850278,-21,0,11,2,1,7,1,,4,,4,,,1,,1,,,1,,1,,,4,,4,,,1,,,,,,,,2,,2,,,3,,3,,1,,,4,,3,,,1,,1,,,2,,,,,,,,,,,,,,,dc2a25c5-bfd4-4527-9f4c-b13daf6fe7d9,2017-06-18T10:24:46,
3.60E+14,11,2017-06-12T09:40:00.000+06,23.8228727 90.3793966 0.0 1100.0,23.8228727,90.3793966,0,1100,11,2,1,5,1,,1,,1,,,1,,1,,,2,,2,,,1,,1,,,2,,,,,,,,2,,2,,,3,,3,,1,,,3,,3,,,3,,2,,,2,,,,,,,,,,,Good response,,,,7453d13f-4fa5-4c0a-a963-976d6297496e,2017-06-19T05:29:55,
3.60E+14,12,2017-06-12T10:14:00.636+06,23.8228727 90.3793966 0.0 1100.0,23.8228727,90.3793966,0,1100,11,2,1,5,1,,4,,4,,,1,,2,,,3,,3,,,1,,1,,,2,,,,,,,,2,,2,,,2,,2,,1,,,2,,2,,,4,,4,,,1,,1,,1,,2,,,,,Good response,,,,8f4594ce-b1d1-4121-a9a3-dad98c499344,2017-06-19T06:02:07,
3.60E+14,13,2017-06-12T10:42:00.831+06,23.8228727 90.3793966 0.0 1100.0,23.8228727,90.3793966,0,1100,11,2,1,3,1,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,1,,,,,,,,2,,2,,,3,,3,,1,,,3,,3,,,2,,2,,,2,,,,,,,,,,,Good response,,,,5dd97cf9-4801-4390-9b7a-c5219751838f,2017-06-19T05:30:08,
3.60E+14,14,2017-06-12T11:15:00.961+06,23.8228727 90.3793966 0.0 1100.0,23.8228727,90.3793966,0,1100,11,2,1,4,1,,2,,3,,,1,,2,,,2,,2,,,1,,1,,,1,,,,,,,,2,,3,,,1,,1,,1,,,3,,3,,,2,,2,,,2,,,,,,,,,,,Motamuti valo,,,,486b2034-11f0-41cc-8db8-b33f427d48aa,2017-06-19T08:48:38,
3.60E+14,15,2017-06-12T12:28:00.945+06,23.822872 90.3796909 0.0 1100.0,23.822872,90.3796909,0,1100,11,2,1,6,1,,4,,4,,,1,,1,,,3,,2,,,1,,1,,,2,,,,,,,,2,,2,,,4,,4,,,,,4,,3,,,2,,2,,,2,,,,,,,,,,,Good response,,,,9b77823d-e108-4064-a793-c5e303119cbd,2017-06-15T08:19:07,
3.60E+14,16,2017-06-13T08:42:00.998+06,23.822872 90.3796909 0.0 1100.0,23.822872,90.3796909,0,1100,11,2,1,6,1,,4,,3,,,2,,2,,,2,,2,,,1,,1,,,2,,,,,,,,2,,2,,,2,,2,,1,,,2,,2,,,4,,4,,,1,,1,,1,,2,,,,,Good response,,,,8acd60e9-d35c-44f5-a71d-d577a25b3aaf,2017-06-19T06:03:59,
3.60E+14,17,2017-06-13T09:21:00.191+06,23.8228756 90.3782195 0.0 1100.0,23.8228756,90.3782195,0,1100,11,2,1,8,1,,3,,2,,,6,could not be reached,6,could not be reached,,2,,2,,,2,,2,,,2,,,,,,,,2,,2,,,2,,2,,1,,,3,,3,,,2,,2,,,2,,,,,,,,,,,Good,,,,f771d346-7fa5-4be8-bac3-b0927617d1a8,2017-06-19T05:30:42,
3.60E+14,18,2017-06-13T10:09:00.196+06,23.8228756 90.3782195 0.0 1100.0,23.8228756,90.3782195,0,1100,11,2,1,5,1,,4,,4,,,1,,1,,,3,,2,,,2,,2,,,2,,,,,,,,2,,2,,,2,,2,,1,,,3,,3,,,2,,2,,,2,,,,,,,,,,,Good response,,,,986a39e2-05a7-4eca-995e-11305e84f9d9,2017-06-19T10:05:27,
3.60E+14,19,2017-06-13T10:38:00.168+06,23.8228756 90.3782195 0.0 1100.0,23.8228756,90.3782195,0,1100,11,2,1,7,1,,4,,4,,,1,,1,,,1,,1,,,1,,1,,,2,,,,,,,,2,,2,,,3,,3,,2,,,4,,4,,,2,,2,,,2,,,,,,,,,,,Motamuti,,,,baf2220b-6d47-4509-be89-dcdefc33de30,2017-06-19T05:31:49,
3.60E+14,20,2017-06-13T11:09:00.207+06,23.8228756 90.3782195 0.0 1100.0,23.8228756,90.3782195,0,1100,11,2,1,4,1,,1,,1,,,1,,1,,,3,,2,,,1,,1,,,2,,,,,,,,2,,2,,,2,,2,,1,,,3,,3,,,2,,2,,,2,,,,,,,,,,,Good response,,,,189266c4-eaee-4b8c-99e8-5670feee2696,2017-06-19T05:32:10,
3.60E+14,21,2017-06-12T09:47:00.869+06,23.8243651 90.3773366 0.0 1100.0,23.8243651,90.3773366,0,1100,11,2,1,5,1,,4,,2,,,1,,1,,,2,,2,,,2,,2,,,2,,,,,,,,2,,2,,,4,,3,,,,,2,,3,,,3,,3,,,2,,,,,,,,,,,,,,,62e94c94-283e-48e3-b806-6996a6d8ada1,2017-06-19T05:50:52,
3.60E+14,22,2017-06-12T10:39:00.336+06,23.8243651 90.3773366 0.0 1100.0,23.8243651,90.3773366,0,1100,11,2,1,9,1,,4,,4,,,1,,1,,,3,,3,,,2,,2,,,2,,,,,,,,2,,2,,,3,,3,,1,,,3,,3,,,3,,2,,,2,,,,,,,,,,,,,,,4132030d-db83-454d-b1dc-b1cba67ea681,2017-06-15T08:02:50,
3.60E+14,23,2017-06-12T11:10:00.709+06,23.8243651 90.3773366 0.0 1100.0,23.8243651,90.3773366,0,1100,11,2,1,4,1,,4,,3,,,1,,1,,,3,,3,,,1,,1,,,2,,,,,,,,1,,2,,,4,,3,,1,,,4,,2,,,2,,1,,,2,,,,,,,,,,,,,,,5497473d-a3d4-4c91-8089-8b4c5b55c58b,2017-06-19T07:24:40,
3.60E+14,24,2017-06-12T12:01:00.479+06,23.822872 90.3796909 0.0 1100.0,23.822872,90.3796909,0,1100,11,2,1,2,1,,2,,2,,,1,,1,,,3,,3,,,2,,2,,,2,,,,,,,,2,,2,,,3,,3,,1,,,3,,3,,,2,,2,,,2,,,,,,,,,,,,,,,74a9d02d-f490-44e2-8d49-93083b8557e5,2017-06-15T08:09:23,
