deviceid,s_school,s_start,s_coordinates,_s_coordinates_latitude,_s_coordinates_longitude,_s_coordinates_altitude,_s_coordinates_precision,s_neighborhood,s_1_note,s_rainweek,s_participant_num,s_participant_gender,s_participant_female_obs,s_participant_male_obs,s_participant_female,s_participant_male,s_neighborhood_y,s_neighborhood_n,s_s_c,s_s_c_note,s_s_c_note_2,s_s_c_3,s_s_c_2,s_s_c_1,s_s_c_0,s_s_c_na,s_s_a,s_s_a_note,s_s_a_note_2,s_s_a_3,s_s_a_2,s_s_a_1,s_s_a_0,s_s_a_na,s_d_c,s_d_c_note,s_d_c_note_2,s_d_c_3,s_d_c_2,s_d_c_1,s_d_c_0,s_d_c_na,s_d_a,s_d_a_note,s_d_a_note_2,s_d_a_3,s_d_a_2,s_d_a_1,s_d_a_0,s_d_a_na,s_f_c,s_f_c_note,s_f_c_note_2,s_f_c_3,s_f_c_2,s_f_c_1,s_f_c_0,s_f_c_na,s_f_a,s_f_a_note,s_f_a_note_2,s_f_a_3,s_f_a_2,s_f_a_1,s_f_a_0,s_f_a_na,s_dw_c,s_dw_c_note,s_dw_c_note_2,s_dw_c_3,s_dw_c_2,s_dw_c_1,s_dw_c_0,s_dw_c_na,s_dw_a,s_dw_a_note,s_dw_a_note_2,s_dw_a_3,s_dw_a_2,s_dw_a_1,s_dw_a_0,s_dw_a_na,s_dw_e_wt,s_dw_e_wt_note,s_dw_e_wt_note_2,s_dw_e_wt_1,s_dw_e_wt_0,s_dw_e_wt_na,s_o_c,s_o_c_note,s_o_c_note_2,s_o_c_3,s_o_c_2,s_o_c_1,s_o_c_0,s_o_c_na,s_o_a,s_o_a_note,s_o_a_note_2,s_o_a_3,s_o_a_2,s_o_a_1,s_o_a_0,s_o_a_na,s_bw_c,s_bw_c_note,s_bw_c_note_2,s_bw_c_3,s_bw_c_2,s_bw_c_1,s_bw_c_0,s_bw_c_na,s_bw_a,s_bw_a_note,s_bw_a_note_2,s_bw_a_3,s_bw_a_2,s_bw_a_1,s_bw_a_0,s_bw_a_na,s_p_c,s_p_c_note,s_p_c_note_2,s_p_c_3,s_p_c_2,s_p_c_1,s_p_c_0,s_p_c_na,s_p_a,s_p_a_note,s_p_a_note_2,s_p_a_3,s_p_a_2,s_p_a_1,s_p_a_0,s_p_a_na,s_p_e_note,s_p_e_note_2,s_p_e_2,s_p_e_1,s_p_e_na,s_sf_c,s_sf_c_note,s_sf_c_note_2,s_sf_c_3,s_sf_c_2,s_sf_c_1,s_sf_c_0,s_sf_c_na,s_sf_a,s_sf_a_note,s_sf_a_note_2,s_sf_a_3,s_sf_a_2,s_sf_a_1,s_sf_a_0,s_sf_a_na,s_l_c,s_l_c_note,s_l_c_note_2,s_l_c_3,s_l_c_2,s_l_c_1,s_l_c_0,s_l_c_na,s_l_a,s_l_a_note,s_l_a_note_2,s_l_a_3,s_l_a_2,s_l_a_1,s_l_a_0,s_l_a_na,s_pl_a_th,s_pl_a_th_note,s_pl_a_th_note_2,s_pl_a_th_1,s_pl_a_th_0,s_pl_a_th_na,s_pl_a_tu_note,s_pl_a_tu_1,s_pl_a_tu_0,s_pl_a_tu_na,s_pl_a_tu_nl,s_pl_a_tw_note,s_pl_a_tw_note_2,s_pl_a_tw_1,s_pl_a_tw_0,s_pl_a_tw_na,s_pl_a_tw_nl,s_pl_a_tf_note,s_pl_a_tf_note_2,s_pl_a_tf_1,s_pl_a_tf_0,s_pl_a_tf_na,s_pl_a_tf_nl,s_end,s_participant_female_obs_end,s_participant_male_obs_end,s_notes,s_enum,__version__,_id,_uuid,_submission_time,_index
3.54E+14,Dummy data,2017-08-15T14:01:00.000-04,,,,,,11,,1,15,2,10,5,10,5,15,0,,,,5,3,1,2,0,,,,5,5,3,2,0,,,,2,6,5,1,0,,,,2,3,0,7,1,,,,5,5,5,0,0,,,,1,2,3,0,0,,,,5,4,3,1,0,,,,5,4,3,1,0,,,,5,10,0,,,,,,,,,,,,,,,,,,,,5,6,4,0,0,,,,5,5,5,0,0,,,,5,5,4,1,0,,,,5,5,5,0,0,,,5,10,0,,,,5,5,5,0,0,,,,5,4,5,1,0,,,,5,5,5,0,0,,,,5,5,5,0,0,,,,5,5,5,,6,5,1,5,,,5,1,2,5,,,5,5,1,4,,5,10,THIS IS A TEST- NOT REAL DATA- JAMIE,1,,5298,3a4ef34e-8b44-4ff8-8733-cb25496b33a9,2017-08-15T18:32:00,1
3.60E+14,Holy Flower High School( school-1),2017-06-26T11:03:00.000+06,,,,,,33,,1,15,2,10,5,10,5,15,0,,,,2,7,4,1,1,,,,1,2,5,5,2,,,,4,2,8,1,0,,,,3,2,3,2,5,,,,1,4,7,1,2,,,,7,4,0,2,2,,,,0,3,7,4,1,,,,1,3,3,4,4,,,,0,9,6,,,,,,,,,,,,,,,,,,,,7,5,3,0,0,,,,5,9,0,0,1,,,,3,7,5,0,0,,,,2,6,5,0,2,,,13,0,2,,,,6,6,3,0,0,,,,3,4,5,2,1,,,,5,8,2,0,0,,,,4,6,1,0,4,,,,1,14,0,,1,0,0,14,,,1,0,0,14,,,0,1,0,14,,10,5,,16,,5299,56c03637-b22b-4d0d-b9c3-a05499330f2e,2017-08-17T11:28:42,2
3.60E+14,Arban School C Block (School-14),2017-07-31T10:10:00.000+06,,,,,,11,,1,18,2,11,7,11,7,18,0,,,,2,3,6,7,0,,,,6,1,4,5,2,,,,10,1,4,2,1,,,,13,0,2,0,3,,,,8,4,5,1,0,,,,9,5,2,0,2,,,,15,3,0,0,0,,,,16,2,0,0,0,,,,17,0,1,,,,,,,,,,,,,,,,,,,,10,4,2,0,2,,,,10,4,1,0,3,,,,4,10,0,1,3,,,,6,6,2,0,4,,,16,0,2,,,,15,1,0,2,0,,,,5,4,3,2,4,,,,9,2,4,1,2,,,,6,5,1,1,5,,,,4,14,0,,4,0,0,14,,,4,0,0,14,,,4,14,0,14,,11,7,,9,,5300,3fbc357f-d904-4948-a754-47d1c0dde611,2017-08-17T11:45:48,3
3.60E+14,Bitul Moin jame Mosjid/Madrasha(School-15),2017-08-17T10:20:00.000+06,,,,,,11,,1,20,0,,,,,20,0,,,,0,1,2,17,0,,,,0,0,1,18,1,,,,13,1,3,2,1,,,,10,0,5,4,1,,,,6,3,2,8,1,,,,3,3,6,3,5,,,,12,3,1,3,1,,,,14,1,5,0,0,,,,11,9,0,,,,,,,,,,,,,,,,,,,,9,8,3,0,0,,,,7,13,0,0,0,,,,5,1,6,8,0,,,,5,1,8,6,0,,,14,5,1,,,,5,2,6,3,4,,,,3,1,3,13,0,,,,7,8,2,2,1,,,,6,6,5,3,0,,,,8,10,2,,9,2,1,8,,,20,0,0,0,,,5,15,0,0,,,,,21,,5301,c3ae9dd7-81e0-4147-a3a9-29b2c81cd897,2017-08-17T11:46:42,4
3.60E+14,Bisho kobi robindronath tagor grameen school(school-16),2017-07-31T10:33:00.000+06,,,,,,11,,1,13,2,8,5,8,5,13,0,,,,5,7,1,0,0,,,,0,7,5,1,0,,,,8,0,4,1,0,,,,12,0,0,0,1,,,,13,0,0,0,0,,,,9,0,0,0,4,,,,13,0,0,0,0,,,,13,0,0,0,0,,,,6,7,0,,,,,,,,,,,,,,,,,,,,5,6,1,0,1,,,,7,6,0,0,0,,,,7,2,2,1,1,,,,5,1,3,4,0,,,13,0,0,,,,5,4,3,1,0,,,,0,1,5,7,0,,,,6,0,0,7,0,,,,6,0,0,7,0,,,,7,6,0,,7,0,0,6,,,0,7,0,6,,,5,2,0,6,,8,5,,17,,5302,5f968026-7e51-4404-9ae3-fc1826e8ae94,2017-08-17T11:47:38,5
3.60E+14,Kash full shishu bandob shikkha kendo (school-13),2017-07-31T10:28:00.000+06,,,,,,11,,1,17,2,4,13,4,13,17,0,,,,5,0,1,9,2,,,,3,1,2,8,3,,,,4,6,2,2,3,,,,4,1,4,5,3,,,,8,2,3,2,2,,,,4,1,4,2,6,,,,0,1,4,10,2,,,,1,3,0,13,0,,,,9,6,2,,,,,,,,,,,,,,,,,,,,14,3,0,0,0,,,,6,11,0,0,0,,,,10,3,3,0,1,,,,10,3,2,1,1,,,15,0,2,,,,10,4,0,1,2,,,,8,5,0,2,2,,,,11,1,5,0,0,,,,10,3,3,0,1,,,,3,14,0,,3,0,0,14,,,3,0,0,14,,,0,4,0,13,,4,13,,11,,5303,77a5c2bd-feef-429b-83a7-43ed000d249b,2017-08-17T11:48:21,6
3.60E+14,Mirpur Labroatory High School (School-2),2017-07-27T11:50:00.000+06,,,,,,33,,1,16,2,7,9,7,9,14,2,,,,4,2,3,3,4,,,,0,0,5,7,4,,,,6,2,5,0,3,,,,3,2,6,2,3,,,,8,3,4,1,0,,,,5,3,4,0,4,,,,10,3,1,2,0,,,,6,6,1,1,2,,,,7,5,4,,,,,,,,,,,,,,,,,,,,9,5,1,0,1,,,,5,7,1,0,3,,,,5,3,3,3,2,,,,2,7,1,2,4,,,14,0,2,,,,1,4,3,6,2,,,,0,3,2,8,3,,,,3,4,2,3,4,,,,2,0,6,3,5,,,,4,11,1,,5,0,1,10,,,5,0,1,10,,,0,5,1,10,,6,9,,11,,5304,f7a35857-9c01-4e02-8961-68f0dc51fabc,2017-08-17T11:48:59,7
3.60E+14,Bagh bari government praimary school (school-3),2017-07-27T10:27:00.000+06,,,,,,33,,1,19,2,11,8,11,8,18,1,,,,6,4,4,4,1,,,,4,7,1,7,0,,,,14,0,0,2,3,,,,8,4,4,2,1,,,,8,7,1,3,0,,,,3,7,3,2,4,,,,15,3,0,0,1,,,,16,1,1,0,1,,,,2,16,1,,,,,,,,,,,,,,,,,,,,15,3,0,0,1,,,,15,4,0,0,0,,,,11,4,2,2,0,,,,10,2,4,2,1,,,18,0,1,,,,16,1,2,0,0,,,,9,4,1,3,2,,,,11,2,2,0,4,,,,11,0,3,1,4,,,,0,0,19,,0,0,0,19,,,0,0,0,19,,,7,12,0,0,,11,8,,31,,5305,733e9847-cf9a-4cde-bb9c-9bbaad4542e2,2017-08-17T11:49:31,8
3.60E+14,Prime Modal School (School-25),2017-08-03T22:30:00.000+06,,,,,,44,,1,20,2,8,12,8,12,20,0,,,,0,3,3,14,0,,,,0,2,0,17,1,,,,3,4,3,10,0,,,,2,1,2,14,1,,,,7,4,3,6,0,,,,6,4,3,5,2,,,,16,0,1,3,0,,,,16,1,0,3,0,,,,17,3,0,,,,,,,,,,,,,,,,,,,,7,13,0,0,0,,,,11,9,0,0,0,,,,8,3,3,5,1,,,,7,6,2,5,0,,,17,2,1,,,,7,3,5,5,0,,,,5,2,5,4,4,,,,0,0,0,20,0,,,,0,0,0,20,0,,,,20,0,0,,20,0,0,0,,,20,0,0,0,,,0,20,0,0,,8,12,,1,,5306,50efbc35-3f82-45a1-bb83-ca8c7595a358,2017-08-24T05:36:09,9
3.60E+14,Post office High School (School-28),2017-08-09T10:30:00.000+06,,,,,,99,,1,17,2,9,8,9,8,17,0,,,,4,2,0,8,3,,,,5,3,4,4,1,,,,12,2,3,0,0,,,,12,3,1,1,0,,,,8,7,2,0,0,,,,10,3,3,1,0,,,,16,0,0,0,1,,,,16,0,0,0,1,,,,8,9,0,,,,,,,,,,,,,,,,,,,,4,13,0,0,0,,,,11,4,2,0,0,,,,10,2,3,2,0,,,,5,2,2,5,3,,,17,0,0,,,,12,0,4,1,0,,,,5,2,5,4,0,,,,8,1,0,8,0,,,,8,1,0,8,0,,,,8,9,0,,8,0,0,9,,,8,0,0,9,,,0,8,0,9,,9,8,,25,,5307,e26edecc-6f02-487f-87f9-e3130df40f00,2017-08-24T05:36:11,10
